entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-12 03:00,2023-10-12 18:00,GBPJPY,long,183.81450,182.47900,186.48550,loss,-1.0,100.00,-100.00,9900.00,2023-10-12 03:00,,,
2023-10-17 13:00,2023-10-24 08:00,USDJPY,long,149.77300,149.35100,150.61700,loss,-1.0,99.00,-99.00,9801.00,2023-10-17 13:00,,,
2023-10-23 08:00,2023-10-24 15:00,GBPJPY,long,182.40550,181.29000,184.63650,partial,0.5,99.00,49.50,9751.50,2023-10-23 08:00,,yes,
2023-10-23 10:00,2023-10-24 09:00,AUDCHF,short,0.56175,0.56808,0.54909,loss,-1.0,99.00,-99.00,9702.00,2023-10-23 10:00,,,
2023-10-25 10:00,2023-10-26 07:00,USDJPY,long,149.93700,149.31200,151.18700,partial,0.5,97.52,48.76,9800.26,2023-10-25 10:00,yes,yes,
2023-10-25 17:00,2023-10-27 09:00,AUDCHF,short,0.56646,0.57142,0.55654,loss,-1.0,97.52,-97.52,9702.74,2023-10-25 17:00,,,
2023-10-26 19:00,2023-10-27 19:00,GBPJPY,long,182.47800,181.13000,185.17400,loss,-1.0,98.00,-98.00,9604.74,2023-10-26 19:00,,,
2023-10-30 12:00,2023-12-01 16:00,EURCHF,long,0.95725,0.94585,0.98005,loss,-1.0,96.05,-96.05,9750.98,2023-10-30 12:00,,,
2023-10-31 04:00,2023-11-03 16:00,GBPJPY,long,182.04200,180.75950,184.60700,win,1.5,96.05,144.07,9748.81,2023-10-31 04:00,,yes,
2023-10-31 20:00,2023-11-08 16:00,AUDCHF,long,0.57700,0.57220,0.58660,partial,0.5,96.05,48.02,9700.79,2023-10-31 20:00,,yes,
2023-11-03 13:00,2023-11-07 12:00,AUDUSD,long,0.64936,0.64119,0.66570,loss,-1.0,96.05,-96.05,9652.76,2023-11-03 13:00,,,
2023-11-03 13:00,2023-12-27 15:00,EURUSD,long,1.07096,1.05159,1.10970,win,1.5,96.05,144.07,9697.15,2023-11-03 13:00,,yes,
2023-11-06 09:00,2024-04-16 07:00,GBPUSD,long,1.24118,1.20948,1.30458,partial,0.5,97.49,48.74,9581.60,2023-11-06 09:00,,yes,
2023-11-06 11:00,2023-12-07 09:00,GBPJPY,long,185.79650,182.72900,191.93150,loss,-1.0,97.49,-97.49,9555.98,2023-11-06 11:00,,,
2023-11-08 09:00,2023-11-20 03:00,USDJPY,long,150.70750,149.18050,153.76150,loss,-1.0,96.53,-96.53,9604.26,2023-11-08 09:00,,,
2023-11-14 14:00,2023-11-27 11:00,AUDUSD,long,0.64419,0.63611,0.66035,win,1.5,97.01,145.51,9749.77,2023-11-14 14:00,,yes,
2023-11-14 22:00,2023-11-29 17:00,AUDCHF,long,0.57852,0.57215,0.59126,partial,0.5,97.01,48.50,9847.02,2023-11-14 22:00,,yes,
2023-11-21 01:00,2023-12-07 16:00,USDJPY,short,148.07200,150.00100,144.21400,win,1.5,96.04,144.06,9603.51,2023-11-21 01:00,,yes,
2023-11-28 02:00,2023-11-29 12:00,AUDUSD,long,0.66189,0.65658,0.67251,partial,0.5,97.50,48.75,9798.52,2023-11-28 02:00,,yes,
2023-12-01 16:00,2024-03-18 20:00,EURCHF,short,0.94531,0.96558,0.90477,loss,-1.0,97.51,-97.51,9073.37,2023-12-01 16:00,,,
2023-12-01 17:00,2023-12-05 08:00,AUDUSD,long,0.66590,0.65700,0.68370,loss,-1.0,97.51,-97.51,9653.47,2023-12-01 17:00,,,
2023-12-07 03:00,2023-12-07 15:00,AUDCHF,short,0.57190,0.57715,0.56140,loss,-1.0,96.53,-96.53,9459.44,2023-12-07 03:00,,,
2023-12-07 03:00,2023-12-07 17:00,AUDUSD,short,0.65343,0.65985,0.64059,loss,-1.0,96.53,-96.53,9506.97,2023-12-07 03:00,,,
2023-12-07 16:00,2024-01-04 11:00,USDJPY,short,144.03300,147.50950,137.08000,partial,0.5,96.04,48.02,9695.96,2023-12-07 16:00,,yes,
2023-12-13 14:00,2023-12-13 21:00,GBPJPY,short,182.11500,183.03450,180.27600,win,1.5,95.07,142.60,9649.58,2023-12-13 14:00,,yes,
2023-12-13 22:00,2023-12-19 09:00,GBPJPY,short,180.28900,183.16750,174.53200,loss,-1.0,96.50,-96.50,9553.08,2023-12-13 22:00,,,
2023-12-14 01:00,2023-12-28 10:00,AUDCHF,long,0.58227,0.57276,0.60129,loss,-1.0,96.50,-96.50,9745.40,2023-12-14 01:00,,,
2023-12-18 10:00,2023-12-28 02:00,AUDUSD,long,0.67295,0.66621,0.68643,win,1.5,96.50,144.74,9841.90,2023-12-18 10:00,,yes,
2023-12-28 10:00,2024-03-20 21:00,AUDCHF,short,0.57052,0.58410,0.54336,loss,-1.0,97.45,-97.45,9121.36,2023-12-28 10:00,,,
2023-12-28 10:00,2024-01-02 03:00,EURUSD,long,1.11294,1.10276,1.13330,loss,-1.0,97.45,-97.45,9647.95,2023-12-28 10:00,,,
2024-01-04 11:00,2024-03-20 01:00,USDJPY,long,144.25450,140.78900,151.18550,win,1.5,96.96,145.44,9218.81,2024-01-04 11:00,,yes,
2024-01-05 15:00,2024-04-26 07:00,GBPJPY,long,184.28750,178.73100,195.40050,win,1.5,96.96,145.44,10010.49,2024-01-05 15:00,,yes,
2024-01-17 09:00,2024-03-08 14:00,AUDUSD,short,0.65396,0.66647,0.62894,loss,-1.0,96.96,-96.96,9216.95,2024-01-17 09:00,,,
2024-01-24 14:00,2024-01-26 08:00,EURUSD,long,1.09251,1.08206,1.11341,loss,-1.0,96.96,-96.96,9599.01,2024-01-24 14:00,,,
2024-01-30 13:00,2024-02-01 07:00,EURUSD,long,1.08478,1.07949,1.09536,loss,-1.0,95.99,-95.99,9503.02,2024-01-30 13:00,,,
2024-02-02 10:00,2024-02-05 00:00,EURUSD,long,1.08909,1.07790,1.11147,loss,-1.0,95.03,-95.03,9407.99,2024-02-02 10:00,,,
2024-02-05 14:00,2024-03-06 16:00,EURUSD,short,1.07375,1.08986,1.04153,loss,-1.0,94.08,-94.08,9313.91,2024-02-05 14:00,,,
2024-03-06 16:00,2024-03-12 13:00,EURUSD,long,1.09052,1.08394,1.10368,partial,0.5,93.14,46.57,9263.52,2024-03-06 16:00,,yes,
2024-03-13 17:00,2024-03-14 15:00,EURUSD,long,1.09491,1.09014,1.10445,loss,-1.0,92.64,-92.64,9170.88,2024-03-13 17:00,,,
2024-03-18 20:00,2024-03-21 09:00,EURCHF,long,0.96560,0.96049,0.97582,win,1.5,90.73,136.10,9257.46,2024-03-18 20:00,,yes,
2024-03-20 21:00,2024-03-22 21:00,AUDCHF,long,0.58414,0.57725,0.59792,partial,0.5,91.21,45.61,9303.06,2024-03-20 21:00,,yes,
2024-03-21 09:00,2024-04-05 16:00,EURCHF,long,0.97469,0.96522,0.99363,partial,0.5,92.57,46.29,9580.76,2024-03-21 09:00,,yes,
2024-03-22 02:00,2024-04-22 17:00,USDJPY,long,151.78350,150.25500,154.84050,win,1.5,92.57,138.86,9766.93,2024-03-22 02:00,,yes,
2024-03-25 14:00,2024-03-28 15:00,AUDCHF,long,0.58710,0.58381,0.59368,partial,0.5,93.03,46.52,9349.58,2024-03-25 14:00,,yes,
2024-03-27 02:00,2024-04-01 16:00,EURUSD,short,1.08234,1.08654,1.07394,win,1.5,93.03,139.55,9489.12,2024-03-27 02:00,,yes,
2024-03-31 23:00,2024-04-04 04:00,AUDCHF,long,0.58888,0.58613,0.59438,win,1.5,93.50,140.24,9534.48,2024-03-31 23:00,,yes,
2024-04-02 04:00,2024-04-03 15:00,EURUSD,short,1.07301,1.08071,1.05761,loss,-1.0,94.89,-94.89,9394.23,2024-04-02 04:00,,,
2024-04-08 08:00,2024-04-10 13:00,AUDCHF,long,0.59579,0.59204,0.60329,partial,0.5,95.81,47.90,9628.67,2024-04-08 08:00,,yes,
2024-04-08 11:00,2024-04-12 07:00,EURCHF,long,0.98122,0.97449,0.99468,loss,-1.0,95.81,-95.81,9532.86,2024-04-08 11:00,,,
2024-04-10 13:00,2024-05-03 13:00,EURUSD,short,1.07808,1.08861,1.05702,partial,0.5,96.29,48.14,10055.47,2024-04-10 13:00,,yes,
2024-04-15 18:00,2024-04-18 03:00,AUDUSD,short,0.64478,0.64943,0.63548,partial,0.5,95.33,47.66,9629.27,2024-04-15 18:00,,yes,
2024-04-16 02:00,2024-04-22 01:00,AUDCHF,short,0.58584,0.59333,0.57086,partial,0.5,95.33,47.66,9724.84,2024-04-16 02:00,,yes,
