entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar
2023-09-06 16:00,2023-09-08 15:00,EURUSD,short,1.07132,1.07393,1.06610,loss,-1.0,100.00,-100.00,9900.00,2023-09-06 15:00,
2023-09-12 22:00,2023-09-14 13:00,EURCHF,long,0.95829,0.95636,0.96215,loss,-1.0,99.00,-99.00,9801.00,2023-09-12 21:00,
2023-09-15 09:00,2023-09-15 09:00,AUDCHF,long,0.57785,0.57734,0.57887,loss,-1.0,98.01,-0.00,9801.00,2023-09-15 03:00,
2023-09-19 14:00,2023-09-20 11:00,AUDCHF,long,0.57953,0.57889,0.58081,win,2.0,98.01,196.02,9997.02,2023-09-19 13:00,
2023-09-20 19:00,2023-09-20 20:00,AUDCHF,long,0.58072,0.58005,0.58206,loss,-1.0,99.97,-99.97,9897.05,2023-09-20 11:00,
2023-09-20 19:00,2023-09-20 19:00,AUDUSD,long,0.64806,0.64779,0.64860,loss,-1.0,99.97,-0.00,9997.02,2023-09-20 12:00,
2023-09-22 08:00,2023-09-22 09:00,AUDCHF,long,0.58148,0.58082,0.58280,win,2.0,98.97,197.94,10094.99,2023-09-22 07:00,
2023-09-25 09:00,2023-09-25 14:00,EURCHF,long,0.96774,0.96657,0.97008,loss,-1.0,100.95,-100.95,9994.04,2023-09-25 08:00,
2023-09-25 15:00,2023-09-26 07:00,AUDCHF,long,0.58551,0.58468,0.58717,loss,-1.0,99.94,-99.94,9894.10,2023-09-25 14:00,
2023-09-26 08:00,2023-09-26 13:00,AUDUSD,short,0.64043,0.64165,0.63799,loss,-1.0,98.94,-98.94,9696.22,2023-09-26 07:00,
2023-09-26 08:00,2023-09-26 09:00,EURUSD,short,1.05754,1.05899,1.05464,loss,-1.0,98.94,-98.94,9795.16,2023-09-26 07:00,
2023-09-27 03:00,2023-09-27 04:00,AUDCHF,long,0.58663,0.58542,0.58905,loss,-1.0,96.96,-96.96,9599.26,2023-09-27 02:00,
2023-09-27 07:00,2023-09-27 07:00,AUDUSD,short,0.63803,0.63853,0.63703,loss,-1.0,95.99,-0.00,9599.26,2023-09-27 06:00,
2023-09-27 07:00,2023-09-27 08:00,EURCHF,long,0.96859,0.96827,0.96923,loss,-1.0,95.99,-95.99,9503.26,2023-09-27 06:00,
2023-09-27 12:00,2023-09-27 14:00,AUDUSD,short,0.63704,0.63786,0.63540,loss,-1.0,95.03,-95.03,9408.23,2023-09-27 11:00,
2023-09-27 20:00,2023-09-27 21:00,AUDUSD,short,0.63623,0.63679,0.63511,win,2.0,94.08,188.16,9596.40,2023-09-27 17:00,
2023-09-28 06:00,2023-09-28 08:00,AUDCHF,long,0.58693,0.58607,0.58865,loss,-1.0,95.96,-95.96,9500.43,2023-09-28 05:00,
2023-09-28 14:00,2023-09-28 14:00,AUDCHF,long,0.58709,0.58631,0.58865,loss,-1.0,95.00,-0.00,9500.43,2023-09-28 13:00,
2023-10-02 18:00,2023-10-02 18:00,EURUSD,short,1.04910,1.05004,1.04722,loss,-1.0,95.00,-0.00,9500.43,2023-10-02 17:00,
2023-10-03 09:00,2023-10-03 12:00,AUDUSD,short,0.63315,0.63468,0.63009,win,2.0,95.00,190.01,9690.44,2023-10-03 05:00,
2023-10-03 09:00,2023-10-03 12:00,EURUSD,short,1.04881,1.04951,1.04741,win,2.0,95.00,190.01,9880.45,2023-10-02 20:00,
2023-10-03 17:00,2023-10-03 19:00,EURUSD,short,1.04598,1.04768,1.04258,loss,-1.0,98.80,-98.80,9781.64,2023-10-03 16:00,
2023-10-06 14:00,2023-10-06 16:00,AUDUSD,short,0.63272,0.63648,0.62520,loss,-1.0,97.82,-97.82,9683.83,2023-10-06 13:00,
2023-10-12 08:00,2023-10-12 08:00,EURUSD,long,1.06347,1.06268,1.06505,loss,-1.0,96.84,-0.00,9683.83,2023-10-12 07:00,
2023-10-15 22:00,2023-10-16 02:00,AUDCHF,short,0.56875,0.56981,0.56663,loss,-1.0,96.84,-96.84,9586.99,2023-10-13 16:00,
2023-10-18 11:00,2023-10-18 14:00,EURCHF,short,0.94988,0.95161,0.94642,win,2.0,95.87,191.74,9778.73,2023-10-18 10:00,
2023-10-18 14:00,2023-10-18 15:00,AUDCHF,short,0.57183,0.57265,0.57019,win,2.0,97.79,195.57,9974.30,2023-10-18 13:00,
2023-10-18 18:00,2023-10-19 02:00,AUDCHF,short,0.56987,0.57103,0.56755,win,2.0,99.74,199.49,10373.28,2023-10-18 15:00,
2023-10-18 18:00,2023-10-19 01:00,AUDUSD,short,0.63511,0.63633,0.63267,win,2.0,99.74,199.49,10173.79,2023-10-18 15:00,
2023-10-19 05:00,2023-10-19 09:00,AUDCHF,short,0.56647,0.56696,0.56549,loss,-1.0,103.73,-103.73,10269.54,2023-10-19 04:00,
2023-10-19 11:00,2023-10-19 13:00,AUDUSD,short,0.63118,0.63225,0.62904,loss,-1.0,102.70,-102.70,10166.85,2023-10-19 02:00,
2023-10-19 19:00,2023-10-20 08:00,AUDCHF,short,0.56593,0.56761,0.56257,win,2.0,101.67,203.34,10370.19,2023-10-19 18:00,
2023-10-20 09:00,2023-10-20 13:00,EURCHF,short,0.94278,0.94485,0.93864,loss,-1.0,103.70,-103.70,10266.48,2023-10-20 08:00,
2023-10-23 11:00,2023-10-23 12:00,AUDUSD,short,0.62974,0.63106,0.62710,loss,-1.0,102.66,-102.66,10163.82,2023-10-23 10:00,
2023-10-23 12:00,2023-10-23 12:00,AUDCHF,short,0.56256,0.56333,0.56102,loss,-1.0,101.64,-0.00,10266.48,2023-10-23 10:00,
2023-10-25 18:00,2023-10-25 23:00,AUDCHF,short,0.56648,0.56740,0.56464,win,2.0,101.64,203.28,10367.09,2023-10-25 17:00,
2023-10-26 02:00,2023-10-26 06:00,AUDCHF,short,0.56381,0.56486,0.56171,loss,-1.0,103.67,-103.67,10263.42,2023-10-26 01:00,
2023-10-30 13:00,2023-10-30 13:00,EURCHF,long,0.95652,0.95617,0.95722,loss,-1.0,102.63,-0.00,10263.42,2023-10-30 12:00,
2023-10-30 17:00,2023-10-30 17:00,EURCHF,long,0.95738,0.95676,0.95862,loss,-1.0,102.63,-0.00,10263.42,2023-10-30 16:00,
2023-10-31 11:00,2023-11-01 11:00,EURCHF,long,0.96149,0.95873,0.96701,loss,-1.0,102.63,-102.63,10261.37,2023-10-31 10:00,
2023-10-31 15:00,2023-10-31 16:00,AUDUSD,short,0.63414,0.63481,0.63280,win,2.0,102.63,205.27,10468.69,2023-10-31 14:00,
2023-10-31 17:00,2023-10-31 19:00,AUDUSD,short,0.63312,0.63400,0.63136,loss,-1.0,104.69,-104.69,10364.01,2023-10-31 16:00,
2023-10-31 22:00,2023-10-31 22:00,AUDCHF,long,0.57669,0.57638,0.57731,loss,-1.0,103.64,-0.00,10364.01,2023-10-31 20:00,
2023-11-01 14:00,2023-11-01 15:00,AUDCHF,long,0.57722,0.57636,0.57894,win,2.0,102.61,205.23,10466.60,2023-11-01 13:00,
2023-11-02 22:00,2023-11-03 01:00,AUDCHF,long,0.58265,0.58228,0.58339,loss,-1.0,104.67,-104.67,10361.93,2023-11-02 21:00,
2023-11-03 08:00,2023-11-03 13:00,AUDCHF,long,0.58298,0.58230,0.58434,win,2.0,103.62,207.24,10569.17,2023-11-03 07:00,
2023-11-03 10:00,2023-11-03 10:00,EURCHF,long,0.96314,0.96271,0.96400,loss,-1.0,103.62,-0.00,10361.93,2023-11-03 09:00,
2023-11-03 15:00,2023-11-03 15:00,AUDUSD,long,0.65010,0.64889,0.65252,loss,-1.0,105.69,-0.00,10569.17,2023-11-03 14:00,
2023-11-03 15:00,2023-11-07 10:00,EURCHF,long,0.96379,0.96210,0.96717,loss,-1.0,105.69,-105.69,10147.46,2023-11-03 14:00,
2023-11-03 18:00,2023-11-06 14:00,AUDUSD,long,0.65114,0.64970,0.65402,loss,-1.0,105.69,-105.69,10357.79,2023-11-03 17:00,
2023-11-03 18:00,2023-11-03 20:00,EURUSD,long,1.07369,1.07244,1.07619,loss,-1.0,105.69,-105.69,10463.48,2023-11-03 17:00,
2023-11-06 10:00,2023-11-06 16:00,EURUSD,long,1.07468,1.07306,1.07792,loss,-1.0,104.63,-104.63,10253.15,2023-11-06 09:00,
2023-11-08 17:00,2023-11-09 12:00,EURUSD,long,1.07049,1.06817,1.07513,loss,-1.0,101.47,-101.47,10045.99,2023-11-08 16:00,
2023-11-09 16:00,2023-11-10 11:00,EURCHF,long,0.96345,0.96283,0.96469,loss,-1.0,100.46,-100.46,9845.07,2023-11-09 14:00,
2023-11-09 16:00,2023-11-09 19:00,EURUSD,long,1.07157,1.06993,1.07485,loss,-1.0,100.46,-100.46,9945.53,2023-11-09 15:00,
