entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-12 03:00,2023-10-12 18:00,GBPJPY,long,183.81450,182.47900,186.48550,loss,-1.0,100.00,-100.00,9900.00,2023-10-12 03:00,,,
2023-10-17 13:00,2023-10-24 08:00,USDJPY,long,149.77300,149.35100,150.61700,loss,-1.0,99.00,-99.00,9801.00,2023-10-17 13:00,,,
2023-10-23 08:00,2023-10-24 15:00,GBPJPY,long,182.40550,181.29000,184.63650,partial,0.5,99.00,49.50,9751.50,2023-10-23 08:00,,yes,
2023-10-23 10:00,2023-10-24 09:00,AUDCHF,short,0.56175,0.56808,0.54909,loss,-1.0,99.00,-99.00,9702.00,2023-10-23 10:00,,,
2023-10-25 10:00,2023-10-26 07:00,USDJPY,long,149.93700,149.31200,151.18700,partial,0.5,97.52,48.76,9800.26,2023-10-25 10:00,yes,yes,
2023-10-25 17:00,2023-10-27 09:00,AUDCHF,short,0.56646,0.57142,0.55654,loss,-1.0,97.52,-97.52,9702.74,2023-10-25 17:00,,,
2023-10-26 19:00,2023-10-27 19:00,GBPJPY,long,182.47800,181.13000,185.17400,loss,-1.0,98.00,-98.00,9604.74,2023-10-26 19:00,,,
2023-10-27 14:00,2023-11-02 14:00,USDCAD,long,1.38500,1.37887,1.39726,loss,-1.0,97.03,-97.03,9507.71,2023-10-27 14:00,,,
2023-10-30 12:00,2023-12-01 16:00,EURCHF,long,0.95725,0.94585,0.98005,loss,-1.0,96.05,-96.05,9412.65,2023-10-30 12:00,,,
2023-10-31 04:00,2023-11-03 16:00,GBPJPY,long,182.04200,180.75950,184.60700,win,1.5,96.05,144.07,9651.78,2023-10-31 04:00,,yes,
2023-11-01 13:00,2023-11-07 15:00,AUDCHF,long,0.57753,0.57220,0.58819,partial,0.5,96.05,48.02,9509.65,2023-11-01 13:00,,yes,
2023-11-03 13:00,2023-11-07 12:00,AUDUSD,long,0.64936,0.64119,0.66570,loss,-1.0,95.08,-95.08,9461.63,2023-11-03 13:00,,,
2023-11-03 13:00,2023-12-27 15:00,EURUSD,long,1.07096,1.05159,1.10970,win,1.5,95.08,142.62,9928.32,2023-11-03 13:00,,yes,
2023-11-03 13:00,2023-12-12 01:00,NAS100,long,14969.62000,14330.81000,16247.24000,win,1.5,95.08,142.62,9546.81,2023-11-03 13:00,,yes,
2023-11-03 13:00,2023-11-06 21:00,XAUUSD,long,2000.23500,1978.82000,2043.06500,loss,-1.0,95.08,-95.08,9556.71,2023-11-03 13:00,,,
2023-11-06 09:00,2024-04-16 07:00,GBPUSD,long,1.24118,1.20948,1.30458,partial,0.5,96.52,48.26,9071.50,2023-11-06 09:00,,yes,
2023-11-06 11:00,2023-12-07 09:00,GBPJPY,long,185.79650,182.72900,191.93150,loss,-1.0,96.52,-96.52,9410.29,2023-11-06 11:00,,,
2023-11-08 09:00,2023-11-20 03:00,USDJPY,long,150.70750,149.18050,153.76150,loss,-1.0,95.10,-95.10,9271.44,2023-11-08 09:00,,,
2023-11-09 10:00,2023-11-15 09:00,XAUUSD,short,1946.89000,1971.23000,1898.21000,loss,-1.0,95.10,-95.10,9319.46,2023-11-09 10:00,,,
2023-11-10 14:00,2023-11-14 15:00,USDCAD,long,1.38219,1.37456,1.39745,loss,-1.0,95.10,-95.10,9414.56,2023-11-10 14:00,,,
2023-11-14 14:00,2023-11-30 14:00,AUDCHF,long,0.57735,0.57240,0.58725,partial,0.5,95.10,47.55,9508.70,2023-11-14 14:00,,yes,
2023-11-14 14:00,2023-11-27 11:00,AUDUSD,long,0.64419,0.63611,0.66035,win,1.5,95.10,142.64,9414.08,2023-11-14 14:00,,yes,
2023-11-15 03:00,2023-11-16 14:00,CADJPY,long,110.07100,109.56200,111.08900,partial,0.5,94.15,47.07,9366.53,2023-11-15 03:00,,yes,
2023-11-20 04:00,2023-12-07 18:00,CADJPY,short,108.70200,110.68600,104.73400,win,1.5,92.71,139.07,9498.30,2023-11-20 04:00,,yes,
2023-11-21 01:00,2023-12-07 16:00,USDJPY,short,148.07200,150.00100,144.21400,win,1.5,92.71,139.07,9454.29,2023-11-21 01:00,,yes,
2023-11-28 01:00,2023-12-01 19:00,XAUUSD,long,2017.19500,1989.75350,2072.07800,win,1.5,94.14,141.21,9553.86,2023-11-28 01:00,,yes,
2023-11-28 02:00,2023-11-29 12:00,AUDUSD,long,0.66189,0.65658,0.67251,partial,0.5,94.14,47.07,9461.15,2023-11-28 02:00,,yes,
2023-11-28 10:00,2023-12-05 13:00,USDCAD,short,1.35862,1.36622,1.34342,partial,0.5,94.14,47.07,9506.81,2023-11-28 10:00,,yes,
2023-12-01 16:00,2024-03-18 20:00,EURCHF,short,0.94531,0.96558,0.90477,loss,-1.0,94.13,-94.13,8380.92,2023-12-01 16:00,,,
2023-12-01 17:00,2023-12-05 08:00,AUDUSD,long,0.66590,0.65700,0.68370,loss,-1.0,94.13,-94.13,9459.74,2023-12-01 17:00,,,
2023-12-07 03:00,2023-12-07 15:00,AUDCHF,short,0.57190,0.57715,0.56140,loss,-1.0,95.07,-95.07,9315.22,2023-12-07 03:00,,,
2023-12-07 03:00,2023-12-07 17:00,AUDUSD,short,0.65343,0.65985,0.64059,loss,-1.0,95.07,-95.07,9359.22,2023-12-07 03:00,,,
2023-12-07 14:00,2023-12-08 15:00,XAUUSD,long,2037.23350,2009.87850,2091.94350,loss,-1.0,94.10,-94.10,9404.19,2023-12-07 14:00,,,
2023-12-07 16:00,2024-01-04 11:00,USDJPY,short,144.03300,147.50950,137.08000,partial,0.5,94.54,47.27,9728.32,2023-12-07 16:00,,yes,
2023-12-08 02:00,2023-12-13 20:00,USDCAD,short,1.35813,1.36205,1.35029,win,1.5,94.98,142.47,9593.82,2023-12-08 02:00,,yes,
2023-12-11 08:00,2023-12-14 01:00,XAUUSD,short,1992.90000,2034.14950,1910.40100,loss,-1.0,94.04,-94.04,9642.98,2023-12-11 08:00,,,
2023-12-12 14:00,2023-12-13 20:00,AUDCHF,short,0.57529,0.57866,0.56855,loss,-1.0,95.47,-95.47,9451.34,2023-12-12 14:00,,,
2023-12-13 14:00,2023-12-13 21:00,GBPJPY,short,182.11500,183.03450,180.27600,win,1.5,95.47,143.20,9737.02,2023-12-13 14:00,,yes,
2023-12-13 19:00,2023-12-18 12:00,CADJPY,short,106.79400,108.04500,104.29200,partial,0.5,95.47,47.73,9690.71,2023-12-13 19:00,,yes,
2023-12-13 20:00,2023-12-21 20:00,USDCAD,short,1.35026,1.36095,1.32888,win,1.5,95.94,143.91,9785.70,2023-12-13 20:00,,yes,
2023-12-13 22:00,2023-12-19 09:00,GBPJPY,short,180.28900,183.16750,174.53200,loss,-1.0,97.37,-97.37,9593.34,2023-12-13 22:00,,,
2023-12-14 01:00,2023-12-28 10:00,AUDCHF,long,0.58227,0.57276,0.60129,loss,-1.0,96.43,-96.43,9976.53,2023-12-14 01:00,,,
2023-12-18 10:00,2023-12-28 02:00,AUDUSD,long,0.67295,0.66621,0.68643,win,1.5,96.43,144.64,10072.96,2023-12-18 10:00,,yes,
2023-12-18 17:00,2023-12-20 20:00,NAS100,long,16697.86500,16544.10500,17005.38500,partial,0.5,96.91,48.45,9641.79,2023-12-18 17:00,,yes,
2023-12-22 11:00,2024-01-05 07:00,USDCAD,short,1.32744,1.33722,1.30788,loss,-1.0,97.86,-97.86,9630.47,2023-12-22 11:00,,,
2023-12-22 14:00,2024-01-02 15:00,NAS100,long,16803.07500,16616.75500,17175.71500,loss,-1.0,97.86,-97.86,9778.91,2023-12-22 14:00,,,
2023-12-26 21:00,2024-01-03 15:00,XAUUSD,long,2068.41150,2032.16150,2140.91150,loss,-1.0,97.86,-97.86,9681.05,2023-12-26 21:00,,,
2023-12-28 10:00,2024-03-20 21:00,AUDCHF,short,0.57052,0.58410,0.54336,loss,-1.0,99.77,-99.77,8382.42,2023-12-28 10:00,,,
2023-12-28 10:00,2024-01-02 03:00,EURUSD,long,1.11294,1.10276,1.13330,loss,-1.0,99.77,-99.77,9876.77,2023-12-28 10:00,,,
2024-01-04 11:00,2024-03-20 01:00,USDJPY,long,144.25450,140.78900,151.18550,win,1.5,97.28,145.92,8482.19,2024-01-04 11:00,,yes,
2024-01-04 13:00,2024-01-18 16:00,NAS100,short,16354.20500,16945.73500,15171.14500,loss,-1.0,97.28,-97.28,9533.18,2024-01-04 13:00,,,
2024-01-05 15:00,2024-04-26 07:00,GBPJPY,long,184.28750,178.73100,195.40050,win,1.5,96.30,144.46,9122.94,2024-01-05 15:00,,yes,
