entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-12 04:00,2023-10-12 18:00,GBPJPY,long,183.75100,182.47900,186.29500,loss,-1.0,100.00,-100.00,9900.00,2023-10-12 03:00,,,
2023-10-17 14:00,2023-10-24 08:00,USDJPY,long,149.76600,149.35100,150.59600,loss,-1.0,99.00,-99.00,9801.00,2023-10-17 13:00,,,
2023-10-23 09:00,2023-10-24 15:00,GBPJPY,long,182.37450,181.29000,184.54350,partial,0.5,99.00,49.50,9751.50,2023-10-23 08:00,,yes,
2023-10-23 12:00,2023-10-24 09:00,AUDCHF,short,0.56256,0.56808,0.55152,loss,-1.0,99.00,-99.00,9702.00,2023-10-23 10:00,,,
2023-10-25 11:00,2023-10-26 07:00,USDJPY,long,149.93250,149.31200,151.17350,partial,0.5,97.52,48.76,9800.26,2023-10-25 10:00,yes,yes,
2023-10-25 18:00,2023-10-27 09:00,AUDCHF,short,0.56648,0.57142,0.55660,loss,-1.0,97.52,-97.52,9702.74,2023-10-25 17:00,,,
2023-10-26 20:00,2023-10-27 19:00,GBPJPY,long,182.45500,181.13000,185.10500,loss,-1.0,98.00,-98.00,9604.74,2023-10-26 19:00,,,
2023-10-27 15:00,2023-11-02 14:00,USDCAD,long,1.38442,1.37887,1.39552,loss,-1.0,97.03,-97.03,9507.71,2023-10-27 14:00,,,
2023-10-30 13:00,2023-11-30 08:00,EURCHF,long,0.95652,0.94585,0.97786,partial,0.5,96.05,48.02,9225.36,2023-10-30 12:00,,yes,
2023-10-31 12:00,2023-12-07 07:00,GBPJPY,long,183.76000,180.75950,189.76100,partial,0.5,96.05,48.02,9456.00,2023-10-31 11:00,,yes,
2023-11-01 14:00,2023-11-08 16:00,AUDCHF,long,0.57722,0.57220,0.58726,partial,0.5,96.05,48.02,9365.58,2023-11-01 13:00,,yes,
2023-11-03 14:00,2023-11-06 21:00,XAUUSD,long,1991.08000,1978.82000,2015.60000,loss,-1.0,95.08,-95.08,9412.64,2023-11-03 13:00,,,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,95.08,-95.08,9317.56,2023-11-03 14:00,,,
2023-11-03 15:00,2023-12-13 15:00,NAS100,long,15029.50000,14330.81000,16426.88000,win,1.5,95.08,142.62,9684.67,2023-11-03 14:00,,yes,
2023-11-03 18:00,2023-12-08 14:00,EURUSD,long,1.07369,1.05159,1.11789,partial,0.5,95.08,47.54,9683.39,2023-11-03 17:00,,yes,
2023-11-06 13:00,2024-04-16 03:00,GBPUSD,long,1.24215,1.20948,1.30749,partial,0.5,95.08,47.54,9547.17,2023-11-06 12:00,,yes,
2023-11-09 11:00,2023-11-15 09:00,XAUUSD,short,1947.48350,1971.23000,1899.99050,loss,-1.0,93.66,-93.66,9178.27,2023-11-09 10:00,,,
2023-11-09 14:00,2023-11-20 03:00,USDJPY,long,151.05900,149.18050,154.81600,loss,-1.0,93.66,-93.66,9130.97,2023-11-09 11:00,,,
2023-11-10 18:00,2023-11-14 15:00,USDCAD,long,1.38165,1.37456,1.39583,loss,-1.0,93.66,-93.66,9271.93,2023-11-10 14:00,,,
2023-11-14 23:00,2023-11-29 17:00,AUDCHF,long,0.57851,0.57215,0.59123,partial,0.5,92.72,46.36,9177.33,2023-11-14 22:00,,yes,
