entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-09-06 16:00,2023-09-27 12:00,EURUSD,short,1.07132,1.07994,1.05408,win,2.0,100.00,200.00,10001.00,2023-09-06 15:00,,yes,
2023-09-12 22:00,2023-09-14 14:00,EURCHF,long,0.95829,0.95437,0.96613,loss,-1.0,100.00,-100.00,9900.00,2023-09-12 21:00,,,
2023-09-15 09:00,2023-09-29 12:00,AUDCHF,long,0.57785,0.57063,0.59229,win,2.0,99.00,198.00,10199.00,2023-09-15 03:00,,yes,
2023-09-20 19:00,2023-09-21 01:00,AUDUSD,long,0.64806,0.64268,0.65882,loss,-1.0,99.00,-99.00,9801.00,2023-09-20 12:00,,,
2023-09-25 09:00,2023-10-02 10:00,EURCHF,long,0.96774,0.96233,0.97856,loss,-1.0,98.01,-98.01,10100.99,2023-09-25 08:00,,,
2023-09-26 08:00,2023-09-28 13:00,AUDUSD,short,0.64043,0.64665,0.62799,scratch,0.0,98.01,0.00,10001.00,2023-09-26 07:00,,yes,SL
2023-10-02 18:00,2023-10-06 16:00,EURUSD,short,1.04910,1.05929,1.02872,loss,-1.0,101.01,-101.01,9999.98,2023-10-02 17:00,,,
2023-10-03 09:00,2023-11-03 13:00,AUDUSD,short,0.63315,0.65020,0.59905,loss,-1.0,101.01,-101.01,9796.02,2023-10-03 05:00,,,
2023-10-12 08:00,2023-10-12 13:00,EURUSD,long,1.06347,1.05800,1.07441,loss,-1.0,100.00,-100.00,9899.98,2023-10-12 07:00,,,
2023-10-15 22:00,2023-10-24 13:00,AUDCHF,short,0.56875,0.57463,0.55699,scratch,0.0,99.00,0.00,9997.00,2023-10-13 16:00,,yes,SL
2023-10-18 11:00,2023-10-20 08:00,EURCHF,short,0.94988,0.95349,0.94266,win,2.0,99.00,198.00,10097.98,2023-10-18 10:00,,yes,
2023-10-20 09:00,2023-10-23 15:00,EURCHF,short,0.94278,0.94860,0.93114,loss,-1.0,100.98,-100.98,9997.00,2023-10-20 08:00,,,
2023-10-25 18:00,2023-10-27 09:00,AUDCHF,short,0.56648,0.57142,0.55660,loss,-1.0,99.97,-99.97,9897.03,2023-10-25 17:00,,,
2023-10-30 13:00,2023-11-30 08:00,EURCHF,long,0.95652,0.94585,0.97786,scratch,0.0,98.97,0.00,9894.02,2023-10-30 12:00,,yes,SL
2023-10-31 22:00,2023-11-03 15:00,AUDCHF,long,0.57669,0.57220,0.58567,win,2.0,98.97,197.94,9993.96,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,99.94,-99.94,9894.02,2023-11-03 14:00,,,
2023-11-03 18:00,2023-12-08 14:00,EURUSD,long,1.07369,1.05159,1.11789,scratch,0.0,99.94,0.00,9795.08,2023-11-03 17:00,,yes,TP
2023-11-14 23:00,2023-11-29 17:00,AUDCHF,long,0.57851,0.57215,0.59123,scratch,0.0,98.94,0.00,9894.02,2023-11-14 22:00,,yes,SL
2023-11-14 23:00,2023-12-21 14:00,AUDUSD,long,0.65023,0.63595,0.67879,win,2.0,98.94,197.88,9798.04,2023-11-14 20:00,,yes,
2023-11-30 10:00,2023-12-27 17:00,EURCHF,short,0.95568,0.96558,0.93588,win,2.0,98.94,197.88,9995.92,2023-11-30 09:00,,yes,
2023-12-07 04:00,2023-12-07 15:00,AUDCHF,short,0.57194,0.57715,0.56152,loss,-1.0,98.94,-98.94,9795.08,2023-12-07 03:00,,,
2023-12-08 16:00,2023-12-12 14:00,EURUSD,short,1.07553,1.08186,1.06287,loss,-1.0,97.95,-97.95,9697.13,2023-12-08 14:00,,,
2023-12-13 14:00,2023-12-13 20:00,AUDCHF,short,0.57566,0.57866,0.56966,loss,-1.0,96.97,-96.97,9600.16,2023-12-12 14:00,,,
2023-12-14 14:00,2023-12-28 10:00,AUDCHF,long,0.58142,0.57276,0.59874,loss,-1.0,96.00,-96.00,9899.92,2023-12-14 01:00,,,
2023-12-21 15:00,2024-01-02 15:00,AUDUSD,long,0.67746,0.67233,0.68772,scratch,0.0,97.98,0.00,9899.92,2023-12-21 14:00,,yes,SL
2023-12-21 23:00,2024-01-02 11:00,EURUSD,long,1.10092,1.09343,1.11590,scratch,0.0,97.98,0.00,9899.92,2023-12-21 22:00,,yes,SL
2023-12-28 11:00,2024-03-20 21:00,AUDCHF,short,0.57286,0.58410,0.55038,loss,-1.0,99.00,-99.00,9601.91,2023-12-28 10:00,,,
2023-12-29 14:00,2024-01-11 14:00,EURCHF,short,0.92582,0.93524,0.90698,loss,-1.0,99.00,-99.00,9800.92,2023-12-29 13:00,,,
2024-01-17 10:00,2024-03-08 14:00,AUDUSD,short,0.65414,0.66647,0.62948,loss,-1.0,98.01,-98.01,9506.91,2024-01-17 09:00,,,
2024-01-17 16:00,2024-01-18 00:00,EURUSD,short,1.08622,1.08856,1.08154,loss,-1.0,98.01,-98.01,9702.91,2024-01-17 15:00,,,
2024-01-23 01:00,2024-01-23 07:00,EURUSD,short,1.08800,1.09106,1.08188,loss,-1.0,97.03,-97.03,9605.88,2024-01-23 00:00,,,
2024-01-23 14:00,2024-01-24 14:00,EURUSD,short,1.08657,1.09106,1.07759,loss,-1.0,96.06,-96.06,9509.82,2024-01-23 13:00,,,
2024-02-05 15:00,2024-03-06 16:00,EURUSD,short,1.07416,1.08986,1.04276,loss,-1.0,95.10,-95.10,9604.92,2024-02-05 14:00,,,
2024-02-07 14:00,2024-02-13 14:00,EURCHF,long,0.93905,0.93379,0.94957,win,2.0,95.10,190.20,9700.02,2024-02-07 11:00,,yes,
2024-02-13 17:00,2024-03-18 15:00,EURCHF,long,0.94993,0.94282,0.96415,win,2.0,97.00,194.00,9700.91,2024-02-13 16:00,,yes,
2024-03-07 09:00,2024-03-14 16:00,EURUSD,long,1.08883,1.08394,1.09861,scratch,0.0,96.05,0.00,9506.91,2024-03-06 16:00,,yes,SL
2024-03-18 21:00,2024-03-21 09:00,EURCHF,long,0.96548,0.96049,0.97546,win,2.0,97.01,194.02,9795.93,2024-03-18 20:00,,yes,
2024-03-20 22:00,2024-03-22 21:00,AUDCHF,long,0.58400,0.57725,0.59750,scratch,0.0,96.02,0.00,9795.93,2024-03-20 21:00,,yes,TP
2024-03-25 15:00,2024-03-28 15:00,AUDCHF,long,0.58706,0.58381,0.59356,scratch,0.0,97.96,0.00,9795.93,2024-03-25 14:00,,yes,TP
2024-03-26 15:00,2024-04-12 13:00,EURCHF,long,0.97878,0.96900,0.99834,loss,-1.0,97.96,-97.96,10088.75,2024-03-26 12:00,,,
2024-03-27 03:00,2024-04-01 15:00,EURUSD,short,1.08243,1.08654,1.07421,win,2.0,97.96,195.92,9991.85,2024-03-27 02:00,,yes,
2024-04-01 03:00,2024-04-03 17:00,AUDCHF,long,0.58857,0.58613,0.59345,win,2.0,97.96,195.92,10087.85,2024-03-31 23:00,,yes,
2024-04-02 05:00,2024-04-03 15:00,EURUSD,short,1.07321,1.08071,1.05821,loss,-1.0,99.92,-99.92,9891.93,2024-04-02 04:00,,,
2024-04-03 18:00,2024-04-04 11:00,AUDCHF,long,0.59332,0.59055,0.59886,win,2.0,100.88,201.76,10289.61,2024-04-03 17:00,,yes,
2024-04-09 15:00,2024-04-12 13:00,AUDCHF,long,0.59863,0.59121,0.61347,loss,-1.0,102.90,-102.90,10186.71,2024-04-09 14:00,,,
2024-04-10 15:00,2024-05-03 13:00,EURUSD,short,1.07641,1.08861,1.05201,scratch,0.0,102.90,0.00,9981.81,2024-04-10 14:00,,yes,SL
2024-04-15 19:00,2024-04-19 02:00,AUDCHF,short,0.58871,0.59333,0.57947,win,2.0,100.89,201.78,10290.53,2024-04-15 18:00,,yes,
2024-04-15 20:00,2024-04-17 19:00,AUDUSD,short,0.64427,0.64943,0.63395,scratch,0.0,100.89,0.00,10088.75,2024-04-15 19:00,,yes,SL
2024-04-16 09:00,2024-04-19 02:00,EURCHF,short,0.96835,0.97414,0.95677,scratch,0.0,100.89,0.00,10290.53,2024-04-16 08:00,yes,yes,TP
2024-04-19 04:00,2024-04-22 02:00,AUDCHF,short,0.57735,0.58730,0.55745,loss,-1.0,102.91,-102.91,10187.62,2024-04-19 03:00,,,
2024-04-19 04:00,2024-04-23 01:00,AUDUSD,short,0.63892,0.64575,0.62526,loss,-1.0,102.91,-102.91,9981.81,2024-04-19 02:00,,,
2024-04-19 04:00,2024-04-22 04:00,EURCHF,short,0.96208,0.97243,0.94138,loss,-1.0,102.91,-102.91,10084.72,2024-04-19 03:00,,,
2024-04-24 02:00,2024-04-30 14:00,AUDUSD,long,0.64933,0.64401,0.65997,scratch,0.0,99.82,0.00,9981.81,2024-04-24 01:00,,yes,TP
2024-04-24 08:00,2024-05-22 07:00,EURCHF,long,0.97638,0.96893,0.99128,win,2.0,99.82,199.64,10279.27,2024-04-24 07:00,,yes,
2024-05-03 15:00,2024-06-04 01:00,EURUSD,long,1.07529,1.06733,1.09121,win,2.0,99.82,199.64,10276.32,2024-05-03 13:00,,yes,
2024-05-07 02:00,2024-07-22 14:00,AUDUSD,long,0.66385,0.65160,0.68835,scratch,0.0,99.82,0.00,9971.11,2024-05-07 01:00,,yes,SL
2024-05-07 05:00,2024-05-07 08:00,AUDCHF,long,0.60051,0.59768,0.60617,loss,-1.0,99.82,-99.82,9881.99,2024-05-07 00:00,,,
2024-05-14 00:00,2024-05-17 14:00,AUDCHF,long,0.60021,0.59715,0.60633,win,2.0,98.82,197.64,10079.63,2024-05-13 23:00,,yes,
2024-05-22 04:00,2024-05-22 19:00,AUDCHF,long,0.60794,0.60525,0.61332,loss,-1.0,100.80,-100.80,10178.47,2024-05-22 03:00,,,
2024-05-24 12:00,2024-05-29 15:00,EURCHF,long,0.99155,0.98806,0.99853,loss,-1.0,101.78,-101.78,10076.69,2024-05-24 11:00,,,
2024-05-30 22:00,2024-06-26 09:00,AUDCHF,short,0.59922,0.60844,0.58078,scratch,0.0,100.77,0.00,10071.82,2024-05-30 21:00,,yes,TP
2024-06-05 15:00,2024-06-05 17:00,EURUSD,long,1.08878,1.08580,1.09474,loss,-1.0,102.76,-102.76,10173.56,2024-06-05 14:00,,,
