entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-23 12:00,2023-10-24 09:00,AUDCHF,short,0.56256,0.56808,0.55152,loss,-1.0,100.00,-100.00,9900.00,2023-10-23 10:00,,,
2023-10-25 18:00,2023-10-27 09:00,AUDCHF,short,0.56648,0.57142,0.55660,loss,-1.0,99.00,-99.00,9801.00,2023-10-25 17:00,,,
2023-10-30 13:00,2023-12-01 16:00,EURCHF,long,0.95652,0.94585,0.97786,loss,-1.0,98.01,-98.01,9799.04,2023-10-30 12:00,,,
2023-10-31 22:00,2023-11-03 15:00,AUDCHF,long,0.57669,0.57220,0.58567,win,2.0,98.01,196.02,9997.02,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,99.97,-99.97,9897.05,2023-11-03 14:00,,,
2023-11-03 18:00,2024-08-23 15:00,EURUSD,long,1.07369,1.05159,1.11789,win,2.0,99.97,199.94,10347.50,2023-11-03 17:00,,yes,
2023-11-14 23:00,2023-12-05 23:00,AUDCHF,long,0.57851,0.57215,0.59123,loss,-1.0,98.97,-98.97,9700.07,2023-11-14 22:00,,,
2023-11-14 23:00,2023-12-21 14:00,AUDUSD,long,0.65023,0.63595,0.67879,win,2.0,98.97,197.94,9801.01,2023-11-14 20:00,,yes,
2023-12-01 17:00,2024-03-18 20:00,EURCHF,short,0.94712,0.96558,0.91020,loss,-1.0,97.99,-97.99,9412.91,2023-12-01 16:00,,,
2023-12-07 04:00,2023-12-07 15:00,AUDCHF,short,0.57194,0.57715,0.56152,loss,-1.0,97.00,-97.00,9603.07,2023-12-07 03:00,,,
2023-12-14 14:00,2023-12-28 10:00,AUDCHF,long,0.58142,0.57276,0.59874,loss,-1.0,96.03,-96.03,9704.98,2023-12-14 01:00,,,
2023-12-21 15:00,2024-01-03 14:00,AUDUSD,long,0.67746,0.67233,0.68772,loss,-1.0,98.01,-98.01,9606.97,2023-12-21 14:00,,,
2023-12-28 11:00,2024-03-20 21:00,AUDCHF,short,0.57286,0.58410,0.55038,loss,-1.0,97.05,-97.05,9315.86,2023-12-28 10:00,,,
2024-01-17 10:00,2024-03-08 14:00,AUDUSD,short,0.65414,0.66647,0.62948,loss,-1.0,96.07,-96.07,9510.90,2024-01-17 09:00,,,
2024-03-18 21:00,2024-03-21 09:00,EURCHF,long,0.96548,0.96049,0.97546,win,2.0,94.13,188.26,9504.12,2024-03-18 20:00,,yes,
2024-03-20 22:00,2024-04-04 07:00,AUDCHF,long,0.58400,0.57725,0.59750,win,2.0,93.16,186.32,9690.43,2024-03-20 21:00,,yes,
2024-03-26 15:00,2024-04-12 13:00,EURCHF,long,0.97878,0.96900,0.99834,loss,-1.0,95.04,-95.04,9498.49,2024-03-26 12:00,,,
2024-04-09 15:00,2024-04-12 13:00,AUDCHF,long,0.59863,0.59121,0.61347,loss,-1.0,96.90,-96.90,9593.53,2024-04-09 14:00,,,
2024-04-15 20:00,2024-04-24 01:00,AUDUSD,short,0.64427,0.64943,0.63395,loss,-1.0,94.98,-94.98,9496.59,2024-04-15 19:00,,,
2024-04-16 05:00,2024-04-24 02:00,AUDCHF,short,0.58624,0.59333,0.57206,loss,-1.0,94.98,-94.98,9401.60,2024-04-16 02:00,,,
2024-04-16 09:00,2024-04-19 03:00,EURCHF,short,0.96835,0.97414,0.95677,win,2.0,94.98,189.97,9688.46,2024-04-16 08:00,,yes,
2024-04-19 04:00,2024-04-22 04:00,EURCHF,short,0.96208,0.97243,0.94138,loss,-1.0,96.88,-96.88,9591.57,2024-04-19 03:00,,,
2024-04-24 02:00,2024-05-03 13:00,AUDUSD,long,0.64933,0.64401,0.65997,win,2.0,94.02,188.03,9589.64,2024-04-24 01:00,,yes,
2024-04-24 08:00,2024-05-22 07:00,EURCHF,long,0.97638,0.96893,0.99128,win,2.0,94.02,188.03,9777.67,2024-04-24 07:00,,yes,
2024-05-07 02:00,2024-07-25 13:00,AUDUSD,long,0.66385,0.65160,0.68835,loss,-1.0,95.90,-95.90,9489.06,2024-05-07 01:00,,,
2024-05-16 22:00,2024-05-30 07:00,AUDCHF,long,0.60485,0.60122,0.61211,loss,-1.0,95.90,-95.90,9584.00,2024-05-16 21:00,,,
2024-05-24 12:00,2024-05-29 15:00,EURCHF,long,0.99155,0.98806,0.99853,loss,-1.0,97.78,-97.78,9679.89,2024-05-24 11:00,,,
2024-05-30 22:00,2024-07-25 01:00,AUDCHF,short,0.59922,0.60844,0.58078,win,2.0,95.84,191.68,9584.95,2024-05-30 21:00,,yes,
2024-06-11 13:00,2024-07-02 14:00,EURCHF,short,0.96257,0.97128,0.94515,loss,-1.0,95.84,-95.84,9488.16,2024-06-11 12:00,,,
2024-07-02 17:00,2024-07-24 13:00,EURCHF,long,0.97107,0.96087,0.99147,loss,-1.0,94.88,-94.88,9393.27,2024-07-02 16:00,,,
2024-07-24 15:00,2024-08-01 09:00,EURCHF,short,0.96097,0.96928,0.94435,win,2.0,93.93,187.87,9866.70,2024-07-24 13:00,,yes,
2024-07-25 13:00,2024-08-05 07:00,AUDCHF,short,0.57416,0.59191,0.53866,win,2.0,94.89,189.78,10250.06,2024-07-25 10:00,,yes,
2024-07-29 09:00,2024-07-31 02:00,AUDUSD,short,0.65451,0.65695,0.64963,win,2.0,94.89,189.78,9678.84,2024-07-29 08:00,,yes,
2024-07-31 14:00,2024-08-05 06:00,AUDUSD,short,0.65291,0.65634,0.64605,win,2.0,96.79,193.58,10060.28,2024-07-31 02:00,,yes,
2024-08-01 12:00,2025-03-05 18:00,EURCHF,short,0.94687,0.96071,0.91919,loss,-1.0,98.67,-98.67,10219.86,2024-08-01 09:00,,,
2024-08-05 14:00,2024-08-07 02:00,AUDUSD,short,0.64867,0.65487,0.63627,loss,-1.0,102.50,-102.50,10147.56,2024-08-05 06:00,,,
2024-08-23 17:00,2024-08-29 09:00,EURUSD,long,1.11650,1.10971,1.13008,loss,-1.0,103.48,-103.48,10140.55,2024-08-23 15:00,,,
2024-08-27 22:00,2024-08-29 09:00,AUDCHF,short,0.57295,0.57516,0.56853,loss,-1.0,103.48,-103.48,10244.03,2024-08-27 13:00,,,
2024-09-04 02:00,2024-09-18 19:00,AUDUSD,short,0.66972,0.68176,0.64564,loss,-1.0,101.41,-101.41,9735.94,2024-09-04 01:00,,,
2024-09-06 04:00,2024-09-12 15:00,AUDCHF,short,0.56776,0.57147,0.56034,loss,-1.0,101.41,-101.41,9937.74,2024-09-06 03:00,,,
2024-09-06 08:00,2024-09-06 14:00,EURUSD,long,1.11198,1.10753,1.12088,loss,-1.0,101.41,-101.41,10039.15,2024-09-06 07:00,,,
2024-09-11 15:00,2024-09-12 18:00,EURUSD,short,1.10152,1.10507,1.09442,loss,-1.0,100.39,-100.39,9837.35,2024-09-11 14:00,,,
2024-09-20 19:00,2024-10-01 07:00,AUDCHF,long,0.57939,0.57574,0.58669,win,2.0,97.36,194.72,10125.38,2024-09-20 18:00,,yes,
2024-09-23 06:00,2024-09-27 13:00,AUDUSD,long,0.68288,0.67820,0.69224,win,2.0,97.36,194.72,9930.66,2024-09-23 05:00,,yes,
2024-09-24 22:00,2024-10-01 09:00,EURUSD,long,1.11788,1.11024,1.13316,loss,-1.0,97.36,-97.36,10028.02,2024-09-24 21:00,,,
2024-09-27 17:00,2024-10-04 13:00,AUDUSD,long,0.69049,0.68171,0.70805,loss,-1.0,99.31,-99.31,9928.72,2024-09-27 13:00,,,
2024-10-01 08:00,2024-10-07 13:00,AUDCHF,long,0.58648,0.57973,0.59998,loss,-1.0,101.25,-101.25,9827.46,2024-10-01 07:00,,,
2024-10-03 07:00,2024-10-10 09:00,EURUSD,short,1.10326,1.10839,1.09300,win,2.0,100.28,200.56,10028.02,2024-10-03 06:00,,yes,
