entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-23 12:00,2023-10-24 09:00,AUDCHF,short,0.56256,0.56808,0.55152,loss,-1.0,100.00,-100.00,9900.00,2023-10-23 10:00,,,
2023-10-25 18:00,2023-10-27 09:00,AUDCHF,short,0.56648,0.57142,0.55660,loss,-1.0,99.00,-99.00,9801.00,2023-10-25 17:00,,,
2023-10-31 22:00,2023-11-03 15:00,AUDCHF,long,0.57669,0.57220,0.58567,win,2.0,98.01,196.02,9997.02,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,99.97,-99.97,9897.05,2023-11-03 14:00,,,
2023-11-15 13:00,2023-12-27 16:00,AUDUSD,long,0.65230,0.63595,0.68500,win,2.0,98.97,197.94,9510.03,2023-11-15 12:00,,yes,
2023-11-20 02:00,2023-11-22 18:00,EURCHF,long,0.96561,0.96223,0.97237,loss,-1.0,98.97,-98.97,9798.08,2023-11-17 21:00,,,
2023-11-20 16:00,2023-12-04 15:00,EURUSD,long,1.09396,1.08238,1.11712,loss,-1.0,98.97,-98.97,9406.15,2023-11-20 15:00,,,
2023-11-24 02:00,2023-11-29 23:00,AUDCHF,long,0.58054,0.57763,0.58636,loss,-1.0,97.98,-97.98,9505.12,2023-11-24 01:00,,,
2023-11-24 20:00,2023-11-27 15:00,EURCHF,long,0.96491,0.96249,0.96975,loss,-1.0,97.98,-97.98,9700.10,2023-11-24 19:00,,,
2023-11-28 12:00,2023-11-29 10:00,EURCHF,long,0.96491,0.96219,0.97035,loss,-1.0,97.00,-97.00,9603.10,2023-11-28 11:00,,,
2023-11-30 10:00,2023-12-27 17:00,EURCHF,short,0.95568,0.96558,0.93588,win,2.0,95.05,190.10,9700.13,2023-11-30 09:00,,yes,
2023-12-07 04:00,2023-12-07 15:00,AUDCHF,short,0.57194,0.57715,0.56152,loss,-1.0,94.06,-94.06,9312.08,2023-12-07 03:00,,,
2023-12-29 14:00,2024-01-11 14:00,EURCHF,short,0.92582,0.93524,0.90698,loss,-1.0,97.00,-97.00,9603.13,2023-12-29 13:00,,,
2024-01-17 10:00,2024-03-08 14:00,AUDUSD,short,0.65414,0.66647,0.62948,loss,-1.0,96.03,-96.03,9696.24,2024-01-17 09:00,,,
2024-01-30 14:00,2024-02-01 06:00,AUDCHF,short,0.56866,0.57062,0.56474,win,2.0,96.03,192.06,9795.19,2024-01-30 13:00,,yes,
2024-02-01 23:00,2024-02-07 10:00,AUDCHF,short,0.56431,0.56884,0.55525,loss,-1.0,97.95,-97.95,9697.24,2024-02-01 09:00,,,
2024-02-09 12:00,2024-02-13 08:00,EURCHF,long,0.94237,0.93958,0.94795,win,2.0,96.97,193.94,9891.18,2024-02-09 08:00,,yes,
2024-02-13 17:00,2024-03-18 15:00,EURCHF,long,0.94993,0.94282,0.96415,win,2.0,98.91,197.82,9894.06,2024-02-13 16:00,,yes,
2024-02-14 11:00,2024-02-20 11:00,EURUSD,short,1.07005,1.08001,1.05013,loss,-1.0,98.91,-98.91,9792.27,2024-02-14 10:00,,,
2024-03-07 16:00,2024-03-19 10:00,EURUSD,long,1.09153,1.08394,1.10671,loss,-1.0,97.92,-97.92,9796.14,2024-03-07 15:00,,,
2024-03-19 04:00,2024-03-21 09:00,EURCHF,long,0.96596,0.96049,0.97690,win,2.0,98.94,197.88,9994.02,2024-03-19 03:00,,yes,
2024-03-26 15:00,2024-04-12 13:00,EURCHF,long,0.97878,0.96900,0.99834,loss,-1.0,99.94,-99.94,9794.14,2024-03-26 12:00,,,
2024-03-29 05:00,2024-04-04 00:00,EURUSD,short,1.07752,1.08401,1.06454,loss,-1.0,99.94,-99.94,9894.08,2024-03-29 04:00,,,
2024-04-03 05:00,2024-04-16 02:00,AUDCHF,long,0.59197,0.58614,0.60363,loss,-1.0,99.94,-99.94,9694.20,2024-04-03 04:00,,,
2024-04-16 08:00,2024-04-17 18:00,EURUSD,short,1.06227,1.06662,1.05357,loss,-1.0,96.94,-96.94,9597.26,2024-04-16 01:00,,,
2024-04-16 09:00,2024-04-19 03:00,EURCHF,short,0.96835,0.97414,0.95677,win,2.0,96.94,193.88,9791.14,2024-04-16 08:00,,yes,
2024-04-19 04:00,2024-04-22 04:00,EURCHF,short,0.96208,0.97243,0.94138,loss,-1.0,97.91,-97.91,9693.23,2024-04-19 03:00,,,
2024-05-09 14:00,2024-05-13 14:00,EURUSD,long,1.07575,1.07341,1.08043,win,2.0,96.93,193.86,9887.10,2024-05-09 13:00,,yes,
2024-05-15 05:00,2024-06-09 22:00,EURUSD,long,1.08256,1.07661,1.09446,loss,-1.0,98.87,-98.87,9591.47,2024-05-15 04:00,,,
2024-05-16 22:00,2024-05-30 07:00,AUDCHF,long,0.60485,0.60122,0.61211,loss,-1.0,98.87,-98.87,9788.22,2024-05-16 21:00,,,
2024-06-04 15:00,2024-06-30 23:00,AUDCHF,short,0.59244,0.60118,0.57496,loss,-1.0,97.88,-97.88,9397.67,2024-06-04 14:00,,,
2024-06-06 04:00,2024-06-07 13:00,AUDUSD,long,0.66646,0.66251,0.67436,loss,-1.0,97.88,-97.88,9690.34,2024-06-06 01:00,,,
2024-06-18 11:00,2024-06-20 14:00,EURCHF,short,0.95158,0.95692,0.94090,loss,-1.0,95.91,-95.91,9495.56,2024-06-18 10:00,,,
2024-06-20 17:00,2024-07-01 02:00,EURUSD,short,1.07100,1.07544,1.06212,loss,-1.0,94.96,-94.96,9302.72,2024-06-20 16:00,,,
2024-07-31 15:00,2024-08-05 00:00,EURCHF,short,0.95205,0.96071,0.93473,win,2.0,93.03,186.05,9488.77,2024-07-31 14:00,,yes,
2024-08-02 14:00,2024-08-05 06:00,AUDCHF,short,0.56569,0.57408,0.54891,win,2.0,93.03,186.05,9674.83,2024-08-02 13:00,,yes,
2024-08-05 03:00,2024-08-07 14:00,EURCHF,short,0.93389,0.94406,0.91355,loss,-1.0,94.89,-94.89,9579.94,2024-08-05 01:00,,,
2024-08-22 08:00,2024-08-29 15:00,EURUSD,long,1.11326,1.10709,1.12560,loss,-1.0,95.80,-95.80,9578.02,2024-08-21 16:00,,,
2024-08-22 09:00,2024-08-28 09:00,EURCHF,short,0.94778,0.95188,0.93958,win,2.0,95.80,191.60,9771.54,2024-08-22 08:00,,yes,
2024-08-28 19:00,2024-08-29 09:00,AUDCHF,short,0.57072,0.57389,0.56438,loss,-1.0,97.72,-97.72,9673.82,2024-08-28 18:00,,,
2024-09-10 17:00,2024-09-12 05:00,AUDCHF,short,0.56322,0.57069,0.54828,loss,-1.0,95.78,-95.78,9290.68,2024-09-10 16:00,,,
2024-09-10 17:00,2024-09-11 19:00,EURCHF,short,0.93376,0.93815,0.92498,loss,-1.0,95.78,-95.78,9482.24,2024-09-10 16:00,,,
2024-09-11 16:00,2024-09-11 23:00,AUDUSD,short,0.66411,0.66777,0.65679,loss,-1.0,95.78,-95.78,9386.46,2024-09-11 14:00,,,
2024-09-24 06:00,2024-10-07 10:00,AUDUSD,long,0.68537,0.67820,0.69971,loss,-1.0,92.91,-92.91,9197.78,2024-09-24 05:00,,,
2024-10-03 07:00,2024-10-10 09:00,EURUSD,short,1.10326,1.10839,1.09300,win,2.0,92.91,185.81,9383.59,2024-10-03 06:00,,yes,
2024-10-10 11:00,2024-10-17 14:00,EURUSD,short,1.09363,1.09981,1.08127,win,2.0,93.84,187.67,9571.26,2024-10-10 09:00,,yes,
2024-10-22 15:00,2024-10-31 11:00,EURUSD,short,1.08112,1.08728,1.06880,loss,-1.0,95.71,-95.71,9571.26,2024-10-22 14:00,,,
2024-10-23 12:00,2024-10-30 16:00,EURCHF,short,0.93422,0.94074,0.92118,loss,-1.0,95.71,-95.71,9666.97,2024-10-23 11:00,,,
