entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-23 12:00,2023-10-24 09:00,AUDCHF,short,0.56256,0.56808,0.55152,loss,-1.0,100.00,-100.00,9900.00,2023-10-23 10:00,,,
2023-10-25 18:00,2023-10-27 09:00,AUDCHF,short,0.56648,0.57142,0.55660,loss,-1.0,99.00,-99.00,9801.00,2023-10-25 17:00,,,
2023-10-30 13:00,2023-11-30 08:00,EURCHF,long,0.95652,0.94585,0.97786,partial,0.5,98.01,49.01,9946.78,2023-10-30 12:00,,yes,
2023-10-31 22:00,2023-11-03 15:00,AUDCHF,long,0.57669,0.57220,0.58567,win,1.5,98.01,147.02,9948.01,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,99.48,-99.48,9848.53,2023-11-03 14:00,,,
2023-11-03 18:00,2023-12-08 14:00,EURUSD,long,1.07369,1.05159,1.11789,partial,0.5,99.48,49.74,9897.05,2023-11-03 17:00,,yes,
2023-11-14 23:00,2023-11-29 17:00,AUDCHF,long,0.57851,0.57215,0.59123,partial,0.5,98.49,49.24,9897.78,2023-11-14 22:00,,yes,
2023-11-14 23:00,2023-12-21 14:00,AUDUSD,long,0.65023,0.63595,0.67879,win,1.5,98.49,147.73,9945.81,2023-11-14 20:00,,yes,
2023-11-30 10:00,2023-12-27 17:00,EURCHF,short,0.95568,0.96558,0.93588,win,1.5,99.47,149.20,10095.01,2023-11-30 09:00,,yes,
2023-12-07 04:00,2023-12-07 15:00,AUDCHF,short,0.57194,0.57715,0.56152,loss,-1.0,99.47,-99.47,9847.31,2023-12-07 03:00,,,
2023-12-08 16:00,2023-12-12 14:00,EURUSD,short,1.07553,1.08186,1.06287,loss,-1.0,98.97,-98.97,9798.08,2023-12-08 14:00,,,
2023-12-14 14:00,2023-12-28 10:00,AUDCHF,long,0.58142,0.57276,0.59874,loss,-1.0,97.98,-97.98,9997.03,2023-12-14 01:00,,,
2023-12-21 15:00,2024-01-02 15:00,AUDUSD,long,0.67746,0.67233,0.68772,partial,0.5,99.46,49.73,10094.49,2023-12-21 14:00,,yes,
2023-12-27 01:00,2023-12-28 10:00,EURUSD,long,1.10402,1.09929,1.11348,win,1.5,99.46,149.19,10146.22,2023-12-26 20:00,,yes,
2023-12-28 11:00,2024-03-20 21:00,AUDCHF,short,0.57286,0.58410,0.55038,loss,-1.0,101.46,-101.46,9739.66,2023-12-28 10:00,,,
2023-12-28 11:00,2024-01-02 03:00,EURUSD,long,1.11227,1.10276,1.13129,loss,-1.0,101.46,-101.46,10044.76,2023-12-28 10:00,,,
2023-12-29 14:00,2024-01-11 14:00,EURCHF,short,0.92582,0.93524,0.90698,loss,-1.0,101.46,-101.46,9993.02,2023-12-29 13:00,,,
2024-01-17 10:00,2024-03-08 14:00,AUDUSD,short,0.65414,0.66647,0.62948,loss,-1.0,99.93,-99.93,9644.77,2024-01-17 09:00,,,
2024-01-24 15:00,2024-01-26 08:00,EURUSD,long,1.09163,1.08206,1.11077,loss,-1.0,99.93,-99.93,9893.09,2024-01-24 14:00,,,
2024-01-30 14:00,2024-02-01 07:00,EURUSD,long,1.08423,1.07949,1.09371,loss,-1.0,98.93,-98.93,9794.16,2024-01-30 13:00,,,
2024-02-02 11:00,2024-02-05 00:00,EURUSD,long,1.08875,1.07790,1.11045,loss,-1.0,97.94,-97.94,9696.22,2024-02-02 10:00,,,
2024-02-05 15:00,2024-03-06 16:00,EURUSD,short,1.07416,1.08986,1.04276,loss,-1.0,96.96,-96.96,9744.70,2024-02-05 14:00,,,
2024-02-09 12:00,2024-02-13 08:00,EURCHF,long,0.94237,0.93958,0.94795,win,1.5,96.96,145.44,9841.67,2024-02-09 08:00,,yes,
2024-02-13 17:00,2024-03-18 15:00,EURCHF,long,0.94993,0.94282,0.96415,win,1.5,98.42,147.62,9841.12,2024-02-13 16:00,,yes,
2024-03-07 09:00,2024-03-14 16:00,EURUSD,long,1.08883,1.08394,1.09861,partial,0.5,97.45,48.72,9693.50,2024-03-06 16:00,,yes,
2024-03-18 21:00,2024-03-21 09:00,EURCHF,long,0.96548,0.96049,0.97546,win,1.5,98.41,147.62,9887.28,2024-03-18 20:00,,yes,
2024-03-20 22:00,2024-03-22 21:00,AUDCHF,long,0.58400,0.57725,0.59750,partial,0.5,97.40,48.70,9935.97,2024-03-20 21:00,,yes,
2024-03-25 15:00,2024-03-28 15:00,AUDCHF,long,0.58706,0.58381,0.59356,partial,0.5,99.36,49.68,9985.65,2024-03-25 14:00,,yes,
2024-03-26 15:00,2024-04-12 13:00,EURCHF,long,0.97878,0.96900,0.99834,loss,-1.0,99.36,-99.36,10133.16,2024-03-26 12:00,,,
2024-03-27 03:00,2024-04-01 15:00,EURUSD,short,1.08243,1.08654,1.07421,win,1.5,99.36,149.04,10134.69,2024-03-27 02:00,,yes,
2024-04-01 03:00,2024-04-03 17:00,AUDCHF,long,0.58857,0.58613,0.59345,win,1.5,99.86,149.78,10183.13,2024-03-31 23:00,,yes,
2024-04-02 05:00,2024-04-03 15:00,EURUSD,short,1.07321,1.08071,1.05821,loss,-1.0,101.35,-101.35,10033.35,2024-04-02 04:00,,,
2024-04-03 18:00,2024-04-04 11:00,AUDCHF,long,0.59332,0.59055,0.59886,win,1.5,101.83,152.75,10335.88,2024-04-03 17:00,,yes,
2024-04-09 15:00,2024-04-12 13:00,AUDCHF,long,0.59863,0.59121,0.61347,loss,-1.0,103.36,-103.36,10232.52,2024-04-09 14:00,,,
2024-04-10 15:00,2024-05-03 13:00,EURUSD,short,1.07641,1.08861,1.05201,partial,0.5,103.36,51.68,10182.55,2024-04-10 14:00,,yes,
2024-04-15 20:00,2024-04-17 19:00,AUDUSD,short,0.64427,0.64943,0.63395,partial,0.5,101.33,50.67,10183.83,2024-04-15 19:00,,yes,
2024-04-16 05:00,2024-04-22 01:00,AUDCHF,short,0.58624,0.59333,0.57206,partial,0.5,101.33,50.67,10285.16,2024-04-16 02:00,,yes,
2024-04-16 09:00,2024-04-19 02:00,EURCHF,short,0.96835,0.97414,0.95677,partial,0.5,101.33,50.67,10234.49,2024-04-16 08:00,yes,yes,
2024-04-19 04:00,2024-04-23 01:00,AUDUSD,short,0.63892,0.64575,0.62526,loss,-1.0,102.34,-102.34,10080.47,2024-04-19 02:00,,,
2024-04-19 04:00,2024-04-22 04:00,EURCHF,short,0.96208,0.97243,0.94138,loss,-1.0,102.34,-102.34,10182.81,2024-04-19 03:00,,,
2024-04-24 02:00,2024-04-30 14:00,AUDUSD,long,0.64933,0.64401,0.65997,partial,0.5,100.80,50.40,10130.87,2024-04-24 01:00,,yes,
2024-04-24 08:00,2024-05-22 07:00,EURCHF,long,0.97638,0.96893,0.99128,win,1.5,100.80,151.21,10333.76,2024-04-24 07:00,,yes,
2024-05-03 15:00,2024-06-04 01:00,EURUSD,long,1.07529,1.06733,1.09121,win,1.5,101.83,152.74,10433.56,2024-05-03 13:00,,yes,
2024-05-07 02:00,2024-07-22 14:00,AUDUSD,long,0.66385,0.65160,0.68835,partial,0.5,101.83,50.91,10328.76,2024-05-07 01:00,,yes,
2024-05-16 22:00,2024-05-22 19:00,AUDCHF,long,0.60485,0.60122,0.61211,partial,0.5,101.83,50.91,10384.67,2024-05-16 21:00,,yes,
2024-05-24 12:00,2024-05-29 15:00,EURCHF,long,0.99155,0.98806,0.99853,loss,-1.0,103.85,-103.85,10280.82,2024-05-24 11:00,,,
2024-05-30 22:00,2024-06-26 09:00,AUDCHF,short,0.59922,0.60844,0.58078,partial,0.5,102.81,51.40,10277.34,2024-05-30 21:00,,yes,
2024-06-05 15:00,2024-06-05 17:00,EURUSD,long,1.08878,1.08580,1.09474,loss,-1.0,104.34,-104.34,10329.23,2024-06-05 14:00,,,
