entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-09-06 16:00,2023-09-27 01:00,EURUSD,short,1.07132,1.07994,1.05580,win,1.8,100.00,180.00,9981.00,2023-09-06 15:00,,yes,
2023-09-12 22:00,2023-09-14 14:00,EURCHF,long,0.95829,0.95437,0.96535,loss,-1.0,100.00,-100.00,9900.00,2023-09-12 21:00,,,
2023-09-15 09:00,2023-09-29 10:00,AUDCHF,long,0.57785,0.57063,0.59085,win,1.8,99.00,178.20,10061.19,2023-09-15 03:00,,yes,
2023-09-20 19:00,2023-09-21 01:00,AUDUSD,long,0.64806,0.64268,0.65774,loss,-1.0,99.00,-99.00,9801.00,2023-09-20 12:00,,,
2023-09-25 09:00,2023-10-02 10:00,EURCHF,long,0.96774,0.96233,0.97748,loss,-1.0,98.01,-98.01,9963.18,2023-09-25 08:00,,,
2023-09-26 08:00,2023-09-29 07:00,AUDUSD,short,0.64043,0.64665,0.62923,loss,-1.0,98.01,-98.01,9882.99,2023-09-26 07:00,,,
2023-10-02 18:00,2023-10-06 16:00,EURUSD,short,1.04910,1.05929,1.03076,loss,-1.0,99.63,-99.63,9863.55,2023-10-02 17:00,,,
2023-10-03 09:00,2023-11-03 13:00,AUDUSD,short,0.63315,0.65020,0.60246,loss,-1.0,99.63,-99.63,9819.38,2023-10-03 05:00,,,
2023-10-12 08:00,2023-10-12 13:00,EURUSD,long,1.06347,1.05800,1.07332,loss,-1.0,98.64,-98.64,9764.91,2023-10-12 07:00,,,
2023-10-15 22:00,2023-10-30 09:00,AUDCHF,short,0.56875,0.57463,0.55817,loss,-1.0,97.65,-97.65,9743.63,2023-10-13 16:00,,,
2023-10-18 11:00,2023-10-19 21:00,EURCHF,short,0.94988,0.95349,0.94338,win,1.8,97.65,175.77,9940.68,2023-10-18 10:00,,yes,
2023-10-20 09:00,2023-10-23 15:00,EURCHF,short,0.94278,0.94860,0.93230,loss,-1.0,99.41,-99.41,9841.27,2023-10-20 08:00,,,
2023-10-30 13:00,2023-12-01 16:00,EURCHF,long,0.95652,0.94585,0.97573,loss,-1.0,97.44,-97.44,9623.75,2023-10-30 12:00,,,
2023-10-31 22:00,2023-11-03 13:00,AUDCHF,long,0.57669,0.57220,0.58477,win,1.8,97.44,175.39,9919.01,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66614,loss,-1.0,98.19,-98.19,9721.18,2023-11-03 14:00,,,
2023-11-03 18:00,2023-12-28 10:00,EURUSD,long,1.07369,1.05159,1.11347,win,1.8,98.19,176.75,9766.53,2023-11-03 17:00,,yes,
