entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-09-06 16:00,2023-09-27 12:00,EURUSD,short,1.07132,1.07994,1.05408,win,2.0,100.00,200.00,10001.00,2023-09-06 15:00,,yes,
2023-09-12 22:00,2023-09-14 14:00,EURCHF,long,0.95829,0.95437,0.96613,loss,-1.0,100.00,-100.00,9900.00,2023-09-12 21:00,,,
2023-09-15 09:00,2023-09-29 12:00,AUDCHF,long,0.57785,0.57063,0.59229,win,2.0,99.00,198.00,10100.99,2023-09-15 03:00,,yes,
2023-09-20 19:00,2023-09-21 01:00,AUDUSD,long,0.64806,0.64268,0.65882,loss,-1.0,99.00,-99.00,9801.00,2023-09-20 12:00,,,
2023-09-25 09:00,2023-10-02 10:00,EURCHF,long,0.96774,0.96233,0.97856,loss,-1.0,98.01,-98.01,10002.98,2023-09-25 08:00,,,
2023-09-26 08:00,2023-09-29 07:00,AUDUSD,short,0.64043,0.64665,0.62799,loss,-1.0,98.01,-98.01,9902.99,2023-09-26 07:00,,,
2023-10-02 18:00,2023-10-06 16:00,EURUSD,short,1.04910,1.05929,1.02872,loss,-1.0,100.03,-100.03,9902.95,2023-10-02 17:00,,,
2023-10-03 09:00,2023-11-03 13:00,AUDUSD,short,0.63315,0.65020,0.59905,loss,-1.0,100.03,-100.03,9701.93,2023-10-03 05:00,,,
2023-10-12 08:00,2023-10-12 13:00,EURUSD,long,1.06347,1.05800,1.07441,loss,-1.0,99.03,-99.03,9803.92,2023-10-12 07:00,,,
2023-10-15 22:00,2023-10-30 09:00,AUDCHF,short,0.56875,0.57463,0.55699,loss,-1.0,98.04,-98.04,9801.96,2023-10-13 16:00,,,
2023-10-18 11:00,2023-10-20 08:00,EURCHF,short,0.94988,0.95349,0.94266,win,2.0,98.04,196.08,10000.00,2023-10-18 10:00,,yes,
2023-10-20 09:00,2023-10-23 15:00,EURCHF,short,0.94278,0.94860,0.93114,loss,-1.0,100.00,-100.00,9900.00,2023-10-20 08:00,,,
2023-10-30 13:00,2023-12-01 16:00,EURCHF,long,0.95652,0.94585,0.97786,loss,-1.0,98.02,-98.02,9700.97,2023-10-30 12:00,,,
2023-10-31 22:00,2023-11-03 15:00,AUDCHF,long,0.57669,0.57220,0.58567,win,2.0,98.02,196.04,9897.97,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,98.98,-98.98,9798.99,2023-11-03 14:00,,,
2023-11-03 18:00,2024-08-23 15:00,EURUSD,long,1.07369,1.05159,1.11789,win,2.0,98.98,197.96,10438.94,2023-11-03 17:00,,yes,
2023-11-14 23:00,2023-12-05 23:00,AUDCHF,long,0.57851,0.57215,0.59123,loss,-1.0,97.99,-97.99,9602.98,2023-11-14 22:00,,,
2023-11-14 23:00,2023-12-21 14:00,AUDUSD,long,0.65023,0.63595,0.67879,win,2.0,97.99,195.98,9607.86,2023-11-14 20:00,,yes,
2023-12-01 17:00,2024-03-18 20:00,EURCHF,short,0.94712,0.96558,0.91020,loss,-1.0,97.01,-97.01,9226.48,2023-12-01 16:00,,,
2023-12-07 04:00,2023-12-07 15:00,AUDCHF,short,0.57194,0.57715,0.56152,loss,-1.0,96.03,-96.03,9506.95,2023-12-07 03:00,,,
2023-12-13 14:00,2023-12-13 20:00,AUDCHF,short,0.57566,0.57866,0.56966,loss,-1.0,95.07,-95.07,9411.88,2023-12-12 14:00,,,
2023-12-14 14:00,2023-12-28 10:00,AUDCHF,long,0.58142,0.57276,0.59874,loss,-1.0,94.12,-94.12,9513.74,2023-12-14 01:00,,,
2023-12-21 15:00,2024-01-03 14:00,AUDUSD,long,0.67746,0.67233,0.68772,loss,-1.0,96.08,-96.08,9417.66,2023-12-21 14:00,,,
2023-12-28 11:00,2024-03-20 21:00,AUDCHF,short,0.57286,0.58410,0.55038,loss,-1.0,95.14,-95.14,9131.34,2023-12-28 10:00,,,
2024-01-17 10:00,2024-03-08 14:00,AUDUSD,short,0.65414,0.66647,0.62948,loss,-1.0,94.18,-94.18,9323.49,2024-01-17 09:00,,,
2024-03-18 21:00,2024-03-21 09:00,EURCHF,long,0.96548,0.96049,0.97546,win,2.0,92.26,184.53,9315.87,2024-03-18 20:00,,yes,
2024-03-20 22:00,2024-04-04 07:00,AUDCHF,long,0.58400,0.57725,0.59750,win,2.0,91.31,182.63,9498.50,2024-03-20 21:00,,yes,
2024-03-26 15:00,2024-04-12 13:00,EURCHF,long,0.97878,0.96900,0.99834,loss,-1.0,93.16,-93.16,9310.35,2024-03-26 12:00,,,
2024-04-09 15:00,2024-04-12 13:00,AUDCHF,long,0.59863,0.59121,0.61347,loss,-1.0,94.98,-94.98,9403.51,2024-04-09 14:00,,,
2024-04-15 19:00,2024-04-19 02:00,AUDCHF,short,0.58871,0.59333,0.57947,win,2.0,93.10,186.21,9496.56,2024-04-15 18:00,,yes,
2024-04-15 20:00,2024-04-24 01:00,AUDUSD,short,0.64427,0.64943,0.63395,loss,-1.0,93.10,-93.10,9396.01,2024-04-15 19:00,,,
2024-04-16 09:00,2024-04-19 03:00,EURCHF,short,0.96835,0.97414,0.95677,win,2.0,93.10,186.21,9682.77,2024-04-16 08:00,,yes,
2024-04-19 04:00,2024-04-22 02:00,AUDCHF,short,0.57735,0.58730,0.55745,loss,-1.0,96.83,-96.83,9585.94,2024-04-19 03:00,,,
2024-04-19 04:00,2024-04-22 04:00,EURCHF,short,0.96208,0.97243,0.94138,loss,-1.0,96.83,-96.83,9489.11,2024-04-19 03:00,,,
2024-04-24 02:00,2024-05-03 13:00,AUDUSD,long,0.64933,0.64401,0.65997,win,2.0,93.96,187.92,9583.93,2024-04-24 01:00,,yes,
2024-04-24 08:00,2024-05-22 07:00,EURCHF,long,0.97638,0.96893,0.99128,win,2.0,93.96,187.92,9865.77,2024-04-24 07:00,,yes,
2024-05-07 02:00,2024-07-25 13:00,AUDUSD,long,0.66385,0.65160,0.68835,loss,-1.0,95.84,-95.84,9576.43,2024-05-07 01:00,,,
2024-05-07 05:00,2024-05-07 08:00,AUDCHF,long,0.60051,0.59768,0.60617,loss,-1.0,95.84,-95.84,9488.09,2024-05-07 00:00,,,
2024-05-14 00:00,2024-05-17 14:00,AUDCHF,long,0.60021,0.59715,0.60633,win,2.0,94.88,189.76,9677.85,2024-05-13 23:00,,yes,
2024-05-22 04:00,2024-05-22 19:00,AUDCHF,long,0.60794,0.60525,0.61332,loss,-1.0,96.78,-96.78,9768.99,2024-05-22 03:00,,,
2024-05-24 12:00,2024-05-29 15:00,EURCHF,long,0.99155,0.98806,0.99853,loss,-1.0,97.69,-97.69,9671.30,2024-05-24 11:00,,,
2024-05-30 22:00,2024-07-25 01:00,AUDCHF,short,0.59922,0.60844,0.58078,win,2.0,96.71,193.43,9672.27,2024-05-30 21:00,,yes,
2024-06-11 13:00,2024-07-02 14:00,EURCHF,short,0.96257,0.97128,0.94515,loss,-1.0,96.71,-96.71,9574.59,2024-06-11 12:00,,,
2024-07-02 17:00,2024-07-24 13:00,EURCHF,long,0.97107,0.96087,0.99147,loss,-1.0,95.75,-95.75,9478.84,2024-07-02 16:00,,,
2024-07-24 15:00,2024-08-01 09:00,EURCHF,short,0.96097,0.96928,0.94435,win,2.0,94.79,189.58,9957.54,2024-07-24 13:00,,yes,
2024-07-25 13:00,2024-08-05 07:00,AUDCHF,short,0.57416,0.59191,0.53866,win,2.0,95.76,191.53,10344.42,2024-07-25 10:00,,yes,
2024-07-29 09:00,2024-07-31 02:00,AUDUSD,short,0.65451,0.65695,0.64963,win,2.0,95.76,191.53,9767.96,2024-07-29 08:00,,yes,
2024-07-31 14:00,2024-08-05 06:00,AUDUSD,short,0.65291,0.65634,0.64605,win,2.0,97.68,195.36,10152.89,2024-07-31 02:00,,yes,
2024-08-01 12:00,2025-03-05 18:00,EURCHF,short,0.94687,0.96071,0.91919,loss,-1.0,99.58,-99.58,10100.84,2024-08-01 09:00,,,
2024-08-05 14:00,2024-08-07 02:00,AUDUSD,short,0.64867,0.65487,0.63627,loss,-1.0,103.44,-103.44,10240.98,2024-08-05 06:00,,,
2024-08-23 17:00,2024-08-29 09:00,EURUSD,long,1.11650,1.10971,1.13008,loss,-1.0,104.39,-104.39,10230.16,2024-08-23 15:00,,,
2024-08-27 22:00,2024-08-29 09:00,AUDCHF,short,0.57295,0.57516,0.56853,loss,-1.0,104.39,-104.39,10334.55,2024-08-27 13:00,,,
2024-09-03 08:00,2024-09-18 19:00,AUDUSD,short,0.67515,0.68176,0.66193,loss,-1.0,102.30,-102.30,9821.98,2024-09-03 04:00,,,
2024-09-06 04:00,2024-09-12 15:00,AUDCHF,short,0.56776,0.57147,0.56034,loss,-1.0,102.30,-102.30,10025.56,2024-09-06 03:00,,,
2024-09-06 08:00,2024-09-06 14:00,EURUSD,long,1.11198,1.10753,1.12088,loss,-1.0,102.30,-102.30,10127.86,2024-09-06 07:00,,,
2024-09-11 15:00,2024-09-12 18:00,EURUSD,short,1.10152,1.10507,1.09442,loss,-1.0,101.28,-101.28,9924.28,2024-09-11 14:00,,,
2024-09-20 19:00,2024-10-01 07:00,AUDCHF,long,0.57939,0.57574,0.58669,win,2.0,98.22,196.44,10214.85,2024-09-20 18:00,,yes,
2024-09-23 06:00,2024-09-27 13:00,AUDUSD,long,0.68288,0.67820,0.69224,win,2.0,98.22,196.44,10018.42,2024-09-23 05:00,,yes,
2024-09-24 22:00,2024-10-01 09:00,EURUSD,long,1.11788,1.11024,1.13316,loss,-1.0,98.22,-98.22,10116.64,2024-09-24 21:00,,,
2024-09-27 17:00,2024-10-04 13:00,AUDUSD,long,0.69049,0.68171,0.70805,loss,-1.0,100.18,-100.18,10016.45,2024-09-27 13:00,,,
2024-10-01 08:00,2024-10-07 13:00,AUDCHF,long,0.58648,0.57973,0.59998,loss,-1.0,102.15,-102.15,9914.30,2024-10-01 07:00,,,
2024-10-02 16:00,2024-10-17 13:00,EURUSD,short,1.10459,1.11451,1.08475,win,2.0,101.17,202.33,10116.64,2024-10-02 15:00,,yes,
