entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-12 04:00,2023-10-12 18:00,GBPJPY,long,183.75100,182.47900,186.29500,loss,-1.0,100.00,-100.00,9900.00,2023-10-12 03:00,,,
2023-10-17 14:00,2023-10-24 08:00,USDJPY,long,149.76600,149.35100,150.59600,loss,-1.0,99.00,-99.00,9801.00,2023-10-17 13:00,,,
2023-10-23 09:00,2023-10-24 15:00,GBPJPY,long,182.37450,181.29000,184.54350,partial,0.5,99.00,49.50,9850.50,2023-10-23 08:00,,yes,
2023-10-25 11:00,2023-10-26 07:00,USDJPY,long,149.93250,149.31200,151.17350,partial,0.5,98.50,49.25,9899.75,2023-10-25 10:00,yes,yes,
2023-10-26 20:00,2023-10-27 19:00,GBPJPY,long,182.45500,181.13000,185.10500,loss,-1.0,99.00,-99.00,9800.75,2023-10-26 19:00,,,
2023-10-31 12:00,2023-12-07 07:00,GBPJPY,long,183.76000,180.75950,189.76100,partial,0.5,98.01,49.00,9751.75,2023-10-31 11:00,,yes,
2023-11-09 14:00,2023-11-20 03:00,USDJPY,long,151.05900,149.18050,154.81600,loss,-1.0,98.01,-98.01,9702.75,2023-11-09 11:00,,,
2023-11-21 02:00,2023-12-07 16:00,USDJPY,short,148.10350,150.00100,144.30850,win,1.5,97.03,145.54,9897.29,2023-11-21 01:00,,yes,
2023-12-08 11:00,2023-12-19 09:00,USDJPY,short,144.44400,147.50950,138.31300,partial,0.5,98.97,49.49,9946.78,2023-12-07 16:00,,yes,
2023-12-14 13:00,2023-12-19 09:00,GBPJPY,short,179.56600,183.16750,172.36300,loss,-1.0,98.97,-98.97,9847.81,2023-12-14 03:00,,,
2023-12-28 03:00,2024-01-03 12:00,USDJPY,short,141.43100,142.86050,138.57200,loss,-1.0,98.48,-98.48,9749.33,2023-12-28 02:00,,,
2024-01-05 09:00,2024-04-11 15:00,USDJPY,long,144.95750,140.78900,153.29450,win,1.5,97.49,146.24,9895.57,2024-01-05 07:00,,yes,
2024-01-05 16:00,2024-04-26 04:00,GBPJPY,long,184.18100,178.73100,195.08100,win,1.5,97.49,146.24,10041.81,2024-01-05 15:00,,yes,
2024-04-16 08:00,2024-04-26 21:00,USDJPY,long,154.44750,152.58400,158.17450,win,1.5,98.96,148.43,10190.24,2024-04-16 07:00,,yes,
2024-04-26 09:00,2024-04-26 21:00,GBPJPY,long,194.94800,193.59300,197.65800,win,1.5,100.42,150.63,10340.87,2024-04-26 05:00,,yes,
2024-05-01 10:00,2024-05-01 21:00,GBPJPY,long,197.37850,193.60150,204.93250,loss,-1.0,103.41,-103.41,10237.46,2024-05-01 09:00,,,
2024-05-06 01:00,2024-05-08 15:00,GBPJPY,long,192.60600,191.71050,194.39700,win,1.5,102.37,153.56,10391.02,2024-05-06 00:00,,yes,
2024-05-09 12:00,2024-05-13 15:00,GBPJPY,long,194.51400,193.83100,195.88000,win,1.5,103.91,155.87,10546.89,2024-05-09 10:00,,yes,
2024-05-15 14:00,2024-05-16 14:00,USDJPY,short,155.50600,156.79750,152.92300,partial,0.5,105.47,52.73,10599.62,2024-05-15 13:00,,yes,
2024-05-17 07:00,2024-06-13 09:00,GBPJPY,long,197.09550,195.03950,201.20750,win,1.5,106.00,158.99,10705.09,2024-05-17 02:00,,yes,
