entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-11-03 15:00,2023-12-13 15:00,NAS100,long,15029.50000,14330.81000,16426.88000,win,1.5,100.00,150.00,10150.00,2023-11-03 14:00,,yes,
2023-12-19 16:00,2024-01-02 15:00,NAS100,long,16766.91500,16544.10500,17212.53500,loss,-1.0,101.50,-101.50,10048.50,2023-12-19 15:00,,,
2024-01-04 16:00,2024-01-18 16:00,NAS100,short,16350.69000,16945.73500,15160.60000,loss,-1.0,100.48,-100.48,9948.01,2024-01-04 14:00,,,
2024-01-24 02:00,2024-01-24 22:00,NAS100,long,17453.47250,17303.70050,17753.01650,partial,0.5,99.48,49.74,9997.76,2024-01-24 01:00,,yes,
2024-01-30 16:00,2024-01-31 00:00,NAS100,long,17518.09950,17345.28250,17863.73350,loss,-1.0,99.98,-99.98,9897.78,2024-01-29 21:00,,,
2024-02-02 15:00,2024-02-08 18:00,NAS100,long,17382.01700,17164.94550,17816.16000,win,1.5,98.98,148.47,10046.24,2024-02-01 22:00,,yes,
2024-02-09 10:00,2024-02-12 17:00,NAS100,long,17816.27200,17709.31050,18030.19500,win,1.5,100.46,150.69,10196.94,2024-02-09 09:00,,yes,
2024-02-16 01:00,2024-02-20 16:00,NAS100,long,17887.62150,17474.50550,18713.85350,loss,-1.0,101.97,-101.97,10094.97,2024-02-16 00:00,,,
2024-02-22 19:00,2024-04-19 01:00,NAS100,long,17961.12200,17313.50000,19256.36600,loss,-1.0,100.95,-100.95,9994.02,2024-02-22 18:00,,,
2024-04-19 04:00,2024-04-24 14:00,NAS100,short,17165.94550,17617.11800,16263.60050,loss,-1.0,99.94,-99.94,9894.08,2024-04-19 02:00,,,
2024-05-06 12:00,2024-05-15 19:00,NAS100,long,17941.78400,17613.08250,18599.18700,win,1.5,98.94,148.41,10042.49,2024-05-06 11:00,,yes,
2024-05-16 16:00,2024-05-31 16:00,NAS100,long,18645.52850,18295.47750,19345.63050,loss,-1.0,100.42,-100.42,9942.06,2024-05-16 15:00,,,
2024-05-31 18:00,2024-06-05 10:00,NAS100,short,18296.47750,18726.43300,17436.56650,loss,-1.0,99.42,-99.42,9842.64,2024-05-31 16:00,,,
2024-06-07 18:00,2024-06-07 19:00,NAS100,long,19078.14400,18973.96200,19286.50800,loss,-1.0,98.43,-98.43,9744.22,2024-06-07 17:00,,,
2024-06-11 16:00,2024-06-12 13:00,NAS100,long,19094.36600,18937.99950,19407.09900,win,1.5,97.44,146.16,9890.38,2024-06-11 15:00,,yes,
2024-06-14 19:00,2024-06-17 19:00,NAS100,long,19636.16700,19472.79350,19962.91400,win,1.5,98.90,148.36,10038.74,2024-06-14 18:00,,yes,
2024-06-20 13:00,2024-06-20 15:00,NAS100,long,19981.59450,19839.16700,20266.44950,loss,-1.0,100.39,-100.39,9938.35,2024-06-20 04:00,,,
2024-07-02 17:00,2024-07-05 16:00,NAS100,long,19831.77350,19570.83350,20353.65350,win,1.5,99.38,149.08,10087.42,2024-07-02 15:00,,yes,
2024-07-08 15:00,2024-07-11 15:00,NAS100,long,20405.71500,20151.88850,20913.36800,partial,0.5,100.87,50.44,10137.86,2024-07-08 14:00,,yes,
2024-07-18 20:00,2024-08-02 15:00,NAS100,short,19771.38300,20483.17900,18347.79100,win,1.5,101.38,152.07,10289.93,2024-07-18 16:00,,yes,
2024-08-02 16:00,2024-08-16 07:00,NAS100,short,18389.87250,19575.32700,16018.96350,loss,-1.0,102.90,-102.90,10187.03,2024-08-02 15:00,,,
2024-08-22 00:00,2024-08-22 16:00,NAS100,long,19838.90150,19650.46150,20215.78150,loss,-1.0,101.87,-101.87,10085.16,2024-08-21 23:00,,,
2024-09-04 02:00,2024-09-18 19:00,NAS100,short,18834.66050,19636.30550,17231.37050,loss,-1.0,100.85,-100.85,9984.31,2024-09-04 01:00,,,
2024-09-24 10:00,2024-09-24 15:00,NAS100,long,19933.50750,19790.23400,20220.05450,loss,-1.0,99.84,-99.84,9884.47,2024-09-24 09:00,,,
2024-09-24 17:00,2024-09-26 13:00,NAS100,long,19956.90150,19790.23400,20290.23650,win,1.5,98.84,148.27,10032.73,2024-09-24 16:00,,yes,
