entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2012-03-08 01:00,2012-03-08 18:00,USDCAD,short,0.99884,1.00294,0.99064,win,1.5,100.00,150.00,10150.00,2012-03-07 21:00,,yes,
2012-03-13 18:00,2012-03-15 02:00,USDCAD,short,0.98988,0.99484,0.97996,loss,-1.0,101.50,-101.50,10048.50,2012-03-13 17:00,,,
2012-03-19 16:00,2012-03-20 09:00,USDCAD,short,0.99060,0.99421,0.98338,partial,0.5,100.48,50.24,10098.74,2012-03-19 15:00,,yes,
2012-03-23 13:00,2012-03-26 15:00,USDCAD,long,1.00084,0.99111,1.02030,loss,-1.0,100.99,-100.99,9997.76,2012-03-23 12:00,,,
2012-03-29 11:00,2012-04-02 15:00,USDCAD,long,1.00004,0.99457,1.01098,loss,-1.0,99.98,-99.98,9897.78,2012-03-29 10:00,,,
2012-04-10 20:00,2012-04-12 16:00,USDCAD,long,1.00346,0.99496,1.02046,loss,-1.0,98.98,-98.98,9798.80,2012-04-10 19:00,,,
2012-04-26 07:00,2012-05-04 14:00,USDCAD,short,0.98235,0.99203,0.96299,loss,-1.0,97.99,-97.99,9700.81,2012-04-26 06:00,,,
2012-05-09 07:00,2012-05-17 20:00,USDCAD,long,1.00117,0.99228,1.01895,win,1.5,97.01,145.51,9846.32,2012-05-09 04:00,,yes,
2012-05-18 09:00,2012-05-31 15:00,USDCAD,long,1.01777,1.01040,1.03251,win,1.5,98.46,147.69,9994.02,2012-05-17 20:00,,yes,
2012-05-31 20:00,2012-06-06 08:00,USDCAD,long,1.03126,1.02062,1.05254,partial,0.5,99.94,49.97,10043.99,2012-05-31 15:00,,yes,
2012-06-20 13:00,2012-06-21 16:00,USDCAD,short,1.01669,1.02451,1.00105,loss,-1.0,100.44,-100.44,9943.55,2012-06-20 12:00,,,
2012-07-17 20:00,2012-07-20 14:00,USDCAD,short,1.01296,1.01742,1.00404,partial,0.5,99.44,49.72,9993.27,2012-07-17 19:00,,yes,
2012-07-27 16:00,2012-09-11 10:00,USDCAD,short,1.00631,1.02327,0.97239,win,1.5,99.93,149.90,10143.17,2012-07-27 15:00,,yes,
2012-10-09 07:00,2012-10-09 16:00,USDCAD,short,0.97515,0.98016,0.96513,loss,-1.0,101.43,-101.43,10041.73,2012-10-09 03:00,,,
2012-10-19 08:00,2012-11-16 17:00,USDCAD,long,0.98595,0.97634,1.00517,win,1.5,100.42,150.63,10192.36,2012-10-19 07:00,,yes,
2012-11-27 15:00,2012-12-12 18:00,USDCAD,short,0.99179,0.99614,0.98309,win,1.5,101.92,152.89,10345.25,2012-11-27 14:00,,yes,
2012-12-13 14:00,2012-12-17 07:00,USDCAD,short,0.98266,0.98670,0.97458,loss,-1.0,103.45,-103.45,10241.79,2012-12-13 13:00,,,
2013-01-08 12:00,2013-01-11 22:00,USDCAD,short,0.98539,0.98860,0.97897,partial,0.5,102.42,51.21,10293.00,2013-01-08 11:00,,yes,
2013-01-25 17:00,2013-04-11 12:00,USDCAD,long,1.00848,0.99028,1.04488,partial,0.5,102.93,51.47,10344.47,2013-01-25 16:00,,yes,
2013-04-17 14:00,2013-04-25 13:00,USDCAD,long,1.02575,1.02025,1.03675,loss,-1.0,103.44,-103.44,10241.02,2013-04-17 13:00,,,
2013-05-09 09:00,2013-05-09 19:00,USDCAD,short,1.00178,1.00598,0.99338,loss,-1.0,102.41,-102.41,10138.61,2013-05-09 08:00,,,
2013-05-15 13:00,2013-06-06 16:00,USDCAD,long,1.02144,1.00812,1.04808,partial,0.5,101.39,50.69,10189.31,2013-05-15 12:00,,yes,
2013-06-12 10:00,2013-06-19 19:00,USDCAD,short,1.01754,1.02524,1.00214,loss,-1.0,101.89,-101.89,10087.41,2013-06-12 09:00,,,
2013-06-24 19:00,2013-07-11 05:00,USDCAD,long,1.04887,1.03621,1.07419,loss,-1.0,100.87,-100.87,9986.54,2013-06-24 03:00,,,
2013-07-16 20:00,2013-07-29 19:00,USDCAD,short,1.03802,1.04435,1.02536,win,1.5,99.87,149.80,10136.34,2013-07-16 17:00,,yes,
2013-08-09 11:00,2013-08-21 07:00,USDCAD,short,1.03039,1.04320,1.00477,loss,-1.0,101.36,-101.36,10034.97,2013-08-09 10:00,,,
2013-08-21 08:00,2013-09-06 13:00,USDCAD,long,1.04310,1.03149,1.06632,partial,0.5,100.35,50.17,10085.15,2013-08-21 07:00,,yes,
2013-09-10 07:00,2013-09-18 19:00,USDCAD,short,1.03599,1.04224,1.02349,win,1.5,100.85,151.28,10236.42,2013-09-10 06:00,,yes,
2013-09-19 09:00,2013-09-25 09:00,USDCAD,short,1.02016,1.03193,0.99662,loss,-1.0,102.36,-102.36,10134.06,2013-09-19 08:00,,,
2013-10-10 05:00,2013-10-17 08:00,USDCAD,long,1.04073,1.03064,1.06091,loss,-1.0,101.34,-101.34,10032.72,2013-10-10 03:00,,,
2013-10-23 20:00,2013-11-29 18:00,USDCAD,long,1.03912,1.02818,1.06100,win,1.5,100.33,150.49,10183.21,2013-10-23 19:00,,yes,
2013-12-03 12:00,2014-01-09 06:00,USDCAD,long,1.06540,1.05584,1.08452,win,1.5,101.83,152.75,10335.96,2013-12-03 11:00,,yes,
2014-01-14 17:00,2014-01-23 00:00,USDCAD,long,1.09295,1.08419,1.11047,win,1.5,103.36,155.04,10491.00,2014-01-14 16:00,,yes,
2014-01-31 15:00,2014-01-31 16:00,USDCAD,long,1.11987,1.11498,1.12965,loss,-1.0,104.91,-104.91,10386.09,2014-01-31 14:00,,,
2014-02-19 08:00,2014-02-19 14:00,USDCAD,short,1.09298,1.09777,1.08340,loss,-1.0,103.86,-103.86,10282.23,2014-02-19 07:00,,,
2014-02-21 02:00,2014-02-21 19:00,USDCAD,long,1.11195,1.10597,1.12391,partial,0.5,102.82,51.41,10333.64,2014-02-21 01:00,,yes,
2014-02-26 16:00,2014-02-28 14:00,USDCAD,long,1.10962,1.10533,1.11820,partial,0.5,103.34,51.67,10385.31,2014-02-26 14:00,,yes,
2014-03-04 17:00,2014-03-05 16:00,USDCAD,long,1.11037,1.10381,1.12349,loss,-1.0,103.85,-103.85,10281.45,2014-03-04 16:00,,,
2014-03-18 14:00,2014-03-18 18:00,USDCAD,short,1.10451,1.11089,1.09175,loss,-1.0,102.81,-102.81,10178.64,2014-03-18 13:00,,,
2014-04-08 07:00,2014-04-09 19:00,USDCAD,short,1.09670,1.10106,1.08798,win,1.5,101.79,152.68,10331.32,2014-04-08 06:00,,yes,
2014-04-29 20:00,2014-06-05 16:00,USDCAD,short,1.09600,1.10407,1.07986,partial,0.5,103.31,51.66,10382.98,2014-04-29 18:00,,yes,
2014-06-20 03:00,2014-06-20 13:00,USDCAD,short,1.08169,1.08344,1.07819,win,1.5,103.83,155.74,10538.72,2014-06-20 02:00,,yes,
2014-06-26 12:00,2014-07-01 17:00,USDCAD,short,1.07160,1.07530,1.06420,win,1.5,105.39,158.08,10696.80,2014-06-26 06:00,,yes,
2014-07-02 12:00,2014-07-03 13:00,USDCAD,short,1.06290,1.06790,1.05290,loss,-1.0,106.97,-106.97,10589.83,2014-07-02 11:00,,,
2014-07-03 18:00,2014-07-07 15:00,USDCAD,short,1.06268,1.06717,1.05370,loss,-1.0,105.90,-105.90,10483.93,2014-07-03 17:00,,,
2014-07-16 15:00,2014-07-18 13:00,USDCAD,long,1.07473,1.07093,1.08233,loss,-1.0,104.84,-104.84,10379.10,2014-07-15 15:00,,,
2014-07-24 19:00,2014-07-25 16:00,USDCAD,long,1.07458,1.07210,1.07954,win,1.5,103.79,155.69,10534.78,2014-07-24 17:00,,yes,
2014-07-30 10:00,2014-08-15 14:00,USDCAD,long,1.08658,1.07958,1.10058,partial,0.5,105.35,52.67,10587.46,2014-07-30 09:00,,yes,
2014-09-09 05:00,2014-10-15 00:00,USDCAD,long,1.09977,1.08391,1.13149,win,1.5,105.87,158.81,10746.27,2014-09-09 04:00,,yes,
2014-10-21 01:00,2014-10-21 08:00,USDCAD,long,1.12938,1.12504,1.13806,loss,-1.0,107.46,-107.46,10638.80,2014-10-21 00:00,,,
2014-10-26 23:00,2014-10-28 14:00,USDCAD,long,1.12353,1.12065,1.12929,loss,-1.0,106.39,-106.39,10532.42,2014-10-26 22:00,,,
2014-10-29 08:00,2014-10-31 13:00,USDCAD,short,1.11603,1.12563,1.09683,loss,-1.0,105.32,-105.32,10427.09,2014-10-29 07:00,,,
2014-11-05 14:00,2014-11-07 14:00,USDCAD,long,1.14272,1.13390,1.16036,loss,-1.0,104.27,-104.27,10322.82,2014-11-05 07:00,,,
2014-11-20 09:00,2014-11-20 14:00,USDCAD,long,1.13594,1.13098,1.14586,loss,-1.0,103.23,-103.23,10219.59,2014-11-20 08:00,,,
2014-11-26 21:00,2014-11-27 16:00,USDCAD,short,1.12323,1.13177,1.10615,loss,-1.0,102.20,-102.20,10117.40,2014-11-26 20:00,,,
2014-12-01 01:00,2015-01-09 14:00,USDCAD,long,1.14486,1.12347,1.18764,win,1.5,101.17,151.76,10269.16,2014-12-01 00:00,,yes,
2015-01-12 12:00,2015-01-14 08:00,USDCAD,long,1.18744,1.18042,1.20148,win,1.5,102.69,154.04,10423.20,2015-01-12 10:00,,yes,
2015-01-22 22:00,2015-02-03 19:00,USDCAD,long,1.23943,1.20620,1.30589,partial,0.5,104.23,52.12,10475.31,2015-01-22 21:00,,yes,
2015-02-10 16:00,2015-02-12 15:00,USDCAD,long,1.25228,1.24276,1.27132,partial,0.5,104.75,52.38,10527.69,2015-02-10 15:00,,yes,
2015-02-20 16:00,2015-03-18 21:00,USDCAD,long,1.25370,1.23876,1.28358,partial,0.5,105.28,52.64,10580.33,2015-02-20 15:00,,yes,
2015-03-30 04:00,2015-04-08 11:00,USDCAD,long,1.26157,1.24092,1.30287,loss,-1.0,105.80,-105.80,10474.52,2015-03-30 03:00,,,
2015-04-09 10:00,2015-04-15 16:00,USDCAD,long,1.25747,1.23869,1.29503,loss,-1.0,104.75,-104.75,10369.78,2015-04-09 09:00,,,
2015-04-16 15:00,2015-05-20 07:00,USDCAD,short,1.22511,1.25713,1.16107,partial,0.5,103.70,51.85,10421.63,2015-04-16 14:00,,yes,
2015-05-25 16:00,2015-06-10 06:00,USDCAD,long,1.23057,1.21722,1.25727,partial,0.5,104.22,52.11,10473.74,2015-05-25 15:00,,yes,
2015-06-10 07:00,2015-06-22 17:00,USDCAD,short,1.23075,1.24430,1.20365,partial,0.5,104.74,52.37,10526.10,2015-06-10 06:00,,yes,
2015-06-29 22:00,2015-07-01 18:00,USDCAD,long,1.23977,1.23029,1.25873,win,1.5,105.26,157.89,10684.00,2015-06-29 21:00,,yes,
2015-07-02 11:00,2015-07-24 12:00,USDCAD,long,1.26032,1.23621,1.30854,win,1.5,106.84,160.26,10844.26,2015-07-02 09:00,,yes,
2015-07-24 16:00,2015-07-28 16:00,USDCAD,long,1.30530,1.29471,1.32648,loss,-1.0,108.44,-108.44,10735.81,2015-07-24 12:00,,,
2015-08-04 20:00,2015-08-06 20:00,USDCAD,long,1.31767,1.31047,1.33207,loss,-1.0,107.36,-107.36,10628.45,2015-08-04 19:00,,,
2015-08-24 00:00,2015-08-27 11:00,USDCAD,long,1.31974,1.30590,1.34742,partial,0.5,106.28,53.14,10681.60,2015-08-23 23:00,,yes,
2015-08-31 15:00,2015-08-31 17:00,USDCAD,long,1.33004,1.31969,1.35074,loss,-1.0,106.82,-106.82,10574.78,2015-08-31 14:00,,,
2015-09-21 15:00,2015-10-01 14:00,USDCAD,long,1.32325,1.30116,1.36743,partial,0.5,105.75,52.87,10627.65,2015-09-21 14:00,,yes,
2015-10-15 08:00,2015-10-21 15:00,USDCAD,short,1.29017,1.30812,1.25427,loss,-1.0,106.28,-106.28,10521.38,2015-10-15 07:00,,,
2015-10-23 15:00,2015-10-28 16:00,USDCAD,long,1.31597,1.30829,1.33133,partial,0.5,105.21,52.61,10573.99,2015-10-23 14:00,,yes,
2015-11-09 06:00,2015-12-08 13:00,USDCAD,long,1.32800,1.31402,1.35596,win,1.5,105.74,158.61,10732.59,2015-11-06 16:00,,yes,
2015-12-14 14:00,,USDCAD,long,1.37578,1.35314,1.42106,open,0.0,0.00,0.00,,2015-12-14 13:00,,yes,
