entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-27 15:00,2023-11-02 14:00,USDCAD,long,1.38442,1.37887,1.39552,loss,-1.0,100.00,-100.00,9900.00,2023-10-27 14:00,,,
2023-11-10 18:00,2023-11-14 15:00,USDCAD,long,1.38165,1.37456,1.39583,loss,-1.0,99.00,-99.00,9801.00,2023-11-10 14:00,,,
2023-11-28 12:00,2023-12-05 22:00,USDCAD,short,1.35940,1.36622,1.34576,partial,0.5,98.01,49.01,9850.00,2023-11-28 10:00,,yes,
2023-12-08 08:00,2023-12-12 14:00,USDCAD,short,1.35841,1.36205,1.35113,partial,0.5,98.50,49.25,9899.26,2023-12-08 02:00,yes,yes,
2023-12-14 08:00,2023-12-22 16:00,USDCAD,short,1.34801,1.36095,1.32213,win,1.5,98.99,148.49,10047.74,2023-12-14 03:00,,yes,
2024-01-21 23:00,2024-01-24 19:00,USDCAD,short,1.34451,1.35034,1.33285,loss,-1.0,100.48,-100.48,9947.27,2024-01-19 20:00,,,
2024-01-31 17:00,2024-02-01 06:00,USDCAD,short,1.33819,1.34474,1.32509,loss,-1.0,99.47,-99.47,9847.79,2024-01-31 16:00,,,
2024-02-09 16:00,2024-02-13 14:00,USDCAD,short,1.34524,1.34942,1.33688,loss,-1.0,98.48,-98.48,9749.32,2024-02-09 14:00,,,
2024-02-20 04:00,2024-02-22 08:00,USDCAD,long,1.35079,1.34670,1.35897,loss,-1.0,97.49,-97.49,9651.82,2024-02-20 03:00,,,
2024-02-26 01:00,2024-02-28 13:00,USDCAD,long,1.35078,1.34607,1.36020,win,1.5,96.52,144.78,9796.60,2024-02-26 00:00,,yes,
2024-03-05 07:00,2024-03-06 15:00,USDCAD,long,1.35840,1.35442,1.36636,loss,-1.0,97.97,-97.97,9698.63,2024-03-05 06:00,,,
2024-03-19 14:00,2024-03-20 19:00,USDCAD,long,1.36052,1.35198,1.37760,loss,-1.0,96.99,-96.99,9601.65,2024-03-19 13:00,,,
2024-04-05 16:00,2024-04-16 03:00,USDCAD,long,1.35892,1.34771,1.38134,win,1.5,96.02,144.02,9745.67,2024-04-05 13:00,,yes,
2024-04-30 14:00,2024-05-03 13:00,USDCAD,long,1.37312,1.36309,1.39318,loss,-1.0,97.46,-97.46,9648.22,2024-04-30 13:00,,,
2024-06-05 17:00,2024-06-06 20:00,USDCAD,long,1.36992,1.36657,1.37662,loss,-1.0,96.48,-96.48,9551.73,2024-06-05 14:00,,,
2024-06-07 14:00,2024-06-12 13:00,USDCAD,long,1.37102,1.36615,1.38076,partial,0.5,95.52,47.76,9599.49,2024-06-07 13:00,,yes,
2024-07-04 14:00,2024-07-15 18:00,USDCAD,short,1.36173,1.36879,1.34761,loss,-1.0,95.99,-95.99,9503.50,2024-07-04 13:00,,,
2024-07-24 06:00,2024-07-31 15:00,USDCAD,long,1.37918,1.37517,1.38720,partial,0.5,95.03,47.52,9551.01,2024-07-24 04:00,,yes,
2024-08-02 04:00,2024-08-05 11:00,USDCAD,long,1.38589,1.37862,1.40043,partial,0.5,95.51,47.76,9598.77,2024-08-01 18:00,,yes,
2024-08-09 05:00,2024-08-19 15:00,USDCAD,short,1.37265,1.37668,1.36459,win,1.5,95.99,143.98,9742.75,2024-08-09 04:00,,yes,
2024-08-20 03:00,2024-08-23 15:00,USDCAD,short,1.36313,1.36861,1.35217,win,1.5,97.43,146.14,9888.89,2024-08-20 02:00,,yes,
2024-08-26 16:00,2024-09-11 15:00,USDCAD,short,1.34781,1.36200,1.31943,loss,-1.0,98.89,-98.89,9790.00,2024-08-26 15:00,,,
2024-09-23 21:00,2024-09-30 19:00,USDCAD,short,1.35330,1.35908,1.34174,partial,0.5,97.90,48.95,9838.95,2024-09-23 14:00,,yes,
2024-10-01 20:00,2024-10-03 12:00,USDCAD,short,1.34897,1.35389,1.33913,loss,-1.0,98.39,-98.39,9740.56,2024-10-01 19:00,,,
2024-10-10 08:00,2024-11-14 16:00,USDCAD,long,1.37189,1.35634,1.40299,win,1.5,97.41,146.11,9886.67,2024-10-10 07:00,,yes,
2024-11-15 17:00,2024-11-25 01:00,USDCAD,long,1.40717,1.39302,1.43547,loss,-1.0,98.87,-98.87,9787.81,2024-11-15 15:00,,,
2024-11-26 04:00,2024-12-19 00:00,USDCAD,long,1.41029,1.39267,1.44553,win,1.5,97.88,146.82,9934.62,2024-11-26 01:00,,yes,
2024-12-27 19:00,2024-12-30 19:00,USDCAD,long,1.44357,1.43491,1.46089,loss,-1.0,99.35,-99.35,9835.28,2024-12-27 18:00,,,
