entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2020-02-28 00:00,2020-02-28 21:00,USDJPY,short,109.65800,110.71250,107.54900,win,1.5,100.00,150.00,10150.00,2020-02-27 22:00,,yes,
2020-03-02 00:00,2020-03-09 02:00,USDJPY,short,107.65200,110.35800,102.24000,win,1.5,101.50,152.25,10302.25,2020-03-01 23:00,,yes,
2020-03-12 05:00,2020-03-12 18:00,USDJPY,short,104.09650,105.93100,100.42750,loss,-1.0,103.02,-103.02,10199.23,2020-03-12 02:00,,,
2020-03-20 18:00,2020-03-26 19:00,USDJPY,long,111.36600,109.32350,115.45100,loss,-1.0,101.99,-101.99,10097.24,2020-03-20 17:00,,,
2020-04-29 04:00,2020-04-30 20:00,USDJPY,short,106.56050,107.35000,104.98150,loss,-1.0,100.97,-100.97,9996.26,2020-04-29 03:00,,,
2020-05-05 07:00,2020-05-08 13:00,USDJPY,short,106.66950,107.08050,105.84750,partial,0.5,99.96,49.98,10046.24,2020-05-05 01:00,,yes,
2020-05-18 14:00,2020-05-20 16:00,USDJPY,long,107.37350,106.84650,108.42750,partial,0.5,100.46,50.23,10096.48,2020-05-18 13:00,,yes,
2020-05-26 09:00,2020-05-29 05:00,USDJPY,long,107.78200,107.31350,108.71900,loss,-1.0,100.96,-100.96,9995.51,2020-05-26 02:00,,,
2020-06-02 16:00,2020-06-08 15:00,USDJPY,long,108.53000,107.50400,110.58200,partial,0.5,99.96,49.98,10045.49,2020-06-02 15:00,,yes,
2020-06-18 09:00,2020-06-23 13:00,USDJPY,short,107.00050,107.45250,106.09650,partial,0.5,100.45,50.23,10095.72,2020-06-18 00:00,yes,yes,
2020-06-24 01:00,2020-06-25 03:00,USDJPY,short,106.57250,107.23200,105.25350,loss,-1.0,100.96,-100.96,9994.76,2020-06-23 14:00,,,
2020-07-07 11:00,2020-07-08 08:00,USDJPY,long,107.72450,107.45600,108.26150,loss,-1.0,99.95,-99.95,9894.81,2020-07-07 10:00,,,
2020-07-27 16:00,2021-02-02 15:00,USDJPY,short,105.14850,107.24050,100.96450,partial,0.5,98.95,49.47,9944.28,2020-07-27 15:00,,yes,
2021-02-02 16:00,2021-02-09 02:00,USDJPY,long,105.13800,104.81900,105.77600,partial,0.5,99.44,49.72,9994.01,2021-02-02 15:00,,yes,
2021-02-12 07:00,2021-02-16 01:00,USDJPY,long,104.84300,104.54100,105.44700,win,1.5,99.94,149.91,10143.92,2021-02-12 06:00,,yes,
2021-02-16 10:00,2021-02-19 09:00,USDJPY,long,105.41800,104.89550,106.46300,partial,0.5,101.44,50.72,10194.64,2021-02-16 01:00,,yes,
2021-02-24 15:00,2021-03-04 22:00,USDJPY,long,105.92550,104.91300,107.95050,win,1.5,101.95,152.92,10347.56,2021-02-24 14:00,,yes,
2021-03-05 15:00,2021-04-19 09:00,USDJPY,long,108.16500,106.66700,111.16100,partial,0.5,103.48,51.74,10399.29,2021-03-05 07:00,,yes,
2021-04-21 03:00,2021-04-27 16:00,USDJPY,short,107.97150,108.55900,106.79650,loss,-1.0,103.99,-103.99,10295.30,2021-04-21 02:00,,,
2021-05-10 07:00,2021-05-12 13:00,USDJPY,short,108.93750,109.41450,107.98350,partial,0.5,102.95,51.48,10346.78,2021-05-07 13:00,,yes,
2021-05-19 16:00,2021-05-19 19:00,USDJPY,short,108.66150,109.29400,107.39650,loss,-1.0,103.47,-103.47,10243.31,2021-05-19 15:00,,,
2021-05-21 07:00,2021-05-27 13:00,USDJPY,short,108.74850,109.31950,107.60650,loss,-1.0,102.43,-102.43,10140.88,2021-05-21 06:00,,,
2021-06-02 07:00,2021-06-04 14:00,USDJPY,long,109.70750,109.33000,110.46250,partial,0.5,101.41,50.70,10191.58,2021-06-02 06:00,,yes,
2021-06-17 01:00,2021-06-18 06:00,USDJPY,long,110.75100,109.97750,112.29800,loss,-1.0,101.92,-101.92,10089.66,2021-06-17 00:00,,,
2021-06-22 07:00,2021-07-07 01:00,USDJPY,long,110.48400,109.70650,112.03900,partial,0.5,100.90,50.45,10140.11,2021-06-22 06:00,,yes,
2021-07-14 22:00,2021-07-21 02:00,USDJPY,short,109.97800,110.70950,108.51500,partial,0.5,101.40,50.70,10190.81,2021-07-14 20:00,,yes,
2021-07-27 15:00,2021-08-04 13:00,USDJPY,short,110.01450,110.60350,108.83650,win,1.5,101.91,152.86,10343.68,2021-07-27 13:00,,yes,
2021-08-04 14:00,2021-08-06 01:00,USDJPY,short,108.87750,109.83750,106.95750,loss,-1.0,103.44,-103.44,10240.24,2021-08-04 13:00,,,
2021-08-15 23:00,2021-09-24 07:00,USDJPY,short,109.69950,110.55700,107.98450,loss,-1.0,102.40,-102.40,10137.84,2021-08-13 17:00,,,
2021-09-24 08:00,2021-10-08 16:00,USDJPY,long,110.54700,109.74650,112.14800,win,1.5,101.38,152.07,10289.90,2021-09-24 07:00,,yes,
2021-10-10 22:00,2021-10-12 01:00,USDJPY,long,112.15950,111.50150,113.47550,win,1.5,102.90,154.35,10444.25,2021-10-08 21:00,,yes,
2021-10-19 22:00,2021-10-21 13:00,USDJPY,long,114.35400,113.86950,115.32300,loss,-1.0,104.44,-104.44,10339.81,2021-10-19 21:00,,,
2021-11-15 03:00,2021-11-16 03:00,USDJPY,short,113.80700,114.31250,112.79600,loss,-1.0,103.40,-103.40,10236.41,2021-11-15 02:00,,,
2021-11-23 08:00,2021-11-26 09:00,USDJPY,long,114.97150,114.05450,116.80550,loss,-1.0,102.36,-102.36,10134.05,2021-11-23 03:00,,,
2021-11-30 12:00,2021-12-15 19:00,USDJPY,short,112.99050,113.96700,111.03750,loss,-1.0,101.34,-101.34,10032.71,2021-11-30 09:00,,,
2021-12-22 12:00,2022-01-04 12:00,USDJPY,long,114.22100,113.31700,116.02900,win,1.5,100.33,150.49,10183.20,2021-12-22 09:00,,yes,
2022-01-27 02:00,2022-02-02 09:00,USDJPY,long,114.54850,113.76800,116.10950,partial,0.5,101.83,50.92,10234.11,2022-01-26 21:00,,yes,
2022-02-10 16:00,2022-02-11 19:00,USDJPY,long,115.85150,115.31250,116.92950,loss,-1.0,102.34,-102.34,10131.77,2022-02-10 14:00,,,
2022-02-15 16:00,2022-02-17 10:00,USDJPY,long,115.74750,115.00200,117.23850,loss,-1.0,101.32,-101.32,10030.46,2022-02-15 15:00,,,
2022-02-21 17:00,2022-02-24 16:00,USDJPY,short,114.84600,115.30850,113.92100,loss,-1.0,100.30,-100.30,9930.15,2022-02-21 16:00,,,
2022-03-17 16:00,2022-03-18 08:00,USDJPY,long,118.43000,118.16550,118.95900,win,1.5,99.30,148.95,10079.10,2022-03-16 16:00,,yes,
2022-03-18 16:00,2022-03-22 10:00,USDJPY,long,119.12400,118.35750,120.65700,win,1.5,100.79,151.19,10230.29,2022-03-18 13:00,,yes,
2022-03-23 02:00,2022-03-28 09:00,USDJPY,long,121.03250,119.09450,124.90850,win,1.5,102.30,153.45,10383.74,2022-03-22 23:00,,yes,
2022-04-08 01:00,2022-04-10 22:00,USDJPY,long,124.05300,123.44600,125.26700,partial,0.5,103.84,51.92,10435.66,2022-04-07 23:00,,yes,
2022-04-13 12:00,2022-04-19 03:00,USDJPY,long,125.75950,124.75450,127.76950,win,1.5,104.36,156.53,10592.20,2022-04-13 07:00,,yes,
2022-04-22 03:00,2022-04-22 07:00,USDJPY,long,128.64000,127.79300,130.33400,loss,-1.0,105.92,-105.92,10486.28,2022-04-22 02:00,,,
2022-04-22 18:00,2022-04-25 14:00,USDJPY,long,128.69200,127.79300,130.49000,loss,-1.0,104.86,-104.86,10381.41,2022-04-22 16:00,,,
2022-05-09 02:00,2022-05-09 16:00,USDJPY,long,130.81000,130.13950,132.15100,loss,-1.0,103.81,-103.81,10277.60,2022-05-09 01:00,,,
2022-05-19 04:00,2022-05-24 14:00,USDJPY,short,128.82950,129.79250,126.90350,win,1.5,102.78,154.16,10431.76,2022-05-18 14:00,,yes,
2022-05-25 04:00,2022-05-31 01:00,USDJPY,short,127.15450,128.09700,125.26950,loss,-1.0,104.32,-104.32,10327.44,2022-05-24 14:00,,,
2022-06-03 17:00,2022-06-08 01:00,USDJPY,long,130.81350,129.67600,133.08850,win,1.5,103.27,154.91,10482.36,2022-06-03 16:00,,yes,
2022-06-08 02:00,2022-06-08 13:00,USDJPY,long,133.00050,132.30800,134.38550,win,1.5,104.82,157.24,10639.59,2022-06-08 01:00,,yes,
2022-06-13 08:00,2022-06-16 09:00,USDJPY,long,134.47850,133.35550,136.72450,loss,-1.0,106.40,-106.40,10533.20,2022-06-12 23:00,,,
2022-06-24 13:00,2022-07-01 04:00,USDJPY,long,135.22900,134.25500,137.17700,partial,0.5,105.33,52.67,10585.86,2022-06-24 12:00,,yes,
2022-07-08 15:00,2022-07-13 15:00,USDJPY,long,136.15250,135.32050,137.81650,win,1.5,105.86,158.79,10744.65,2022-07-08 13:00,,yes,
2022-07-28 22:00,2022-08-03 15:00,USDJPY,short,134.26500,137.47450,127.84600,partial,0.5,107.45,53.72,10798.37,2022-07-28 21:00,,yes,
2022-08-10 16:00,2022-08-17 13:00,USDJPY,short,132.52200,135.31550,126.93500,loss,-1.0,107.98,-107.98,10690.39,2022-08-10 15:00,,,
2022-08-22 17:00,2022-09-06 17:00,USDJPY,long,137.43750,134.63800,143.03650,win,1.5,106.90,160.36,10850.75,2022-08-22 16:00,,yes,
2022-09-14 00:00,2022-09-22 09:00,USDJPY,long,144.44550,142.15150,149.03350,loss,-1.0,108.51,-108.51,10742.24,2022-09-13 20:00,,,
2022-09-28 20:00,2022-10-03 05:00,USDJPY,short,144.06150,144.91550,142.35350,loss,-1.0,107.42,-107.42,10634.82,2022-09-28 19:00,,,
2022-10-11 20:00,2022-10-12 17:00,USDJPY,long,145.80550,145.22550,146.96550,win,1.5,106.35,159.52,10794.34,2022-10-11 19:00,,yes,
2022-10-13 14:00,2022-10-20 08:00,USDJPY,long,146.97100,145.41800,150.07700,win,1.5,107.94,161.92,10956.25,2022-10-13 13:00,,yes,
2022-10-20 22:00,2022-10-21 16:00,USDJPY,long,150.08800,148.12800,154.00800,loss,-1.0,109.56,-109.56,10846.69,2022-10-20 19:00,,,
2022-11-11 12:00,,USDJPY,short,139.91700,146.60100,126.54900,open,0.0,0.00,0.00,,2022-11-11 11:00,,yes,
