entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-17 14:00,2023-10-24 08:00,USDJPY,long,149.76600,149.35100,150.59600,loss,-1.0,100.00,-100.00,9900.00,2023-10-17 13:00,,,
2023-10-25 11:00,2023-10-26 07:00,USDJPY,long,149.93250,149.31200,151.17350,partial,0.5,99.00,49.50,9949.50,2023-10-25 10:00,yes,yes,
2023-11-09 14:00,2023-11-20 03:00,USDJPY,long,151.05900,149.18050,154.81600,loss,-1.0,99.50,-99.50,9850.00,2023-11-09 11:00,,,
2023-11-21 02:00,2023-12-07 16:00,USDJPY,short,148.10350,150.00100,144.30850,win,1.5,98.50,147.75,9997.76,2023-11-21 01:00,,yes,
2023-12-08 11:00,2023-12-19 09:00,USDJPY,short,144.44400,147.50950,138.31300,partial,0.5,99.98,49.99,10047.74,2023-12-07 16:00,,yes,
2023-12-28 03:00,2024-01-03 12:00,USDJPY,short,141.43100,142.86050,138.57200,loss,-1.0,100.48,-100.48,9947.27,2023-12-28 02:00,,,
2024-01-05 09:00,2024-04-11 15:00,USDJPY,long,144.95750,140.78900,153.29450,win,1.5,99.47,149.21,10096.48,2024-01-05 07:00,,yes,
2024-04-16 08:00,2024-04-26 21:00,USDJPY,long,154.44750,152.58400,158.17450,win,1.5,100.96,151.45,10247.92,2024-04-16 07:00,,yes,
2024-05-15 14:00,2024-05-16 14:00,USDJPY,short,155.50600,156.79750,152.92300,partial,0.5,102.48,51.24,10299.16,2024-05-15 13:00,,yes,
2024-05-28 20:00,2024-05-30 05:00,USDJPY,long,157.14750,156.61150,158.21950,partial,0.5,102.99,51.50,10350.66,2024-05-28 19:00,,yes,
2024-06-03 06:00,2024-06-03 15:00,USDJPY,long,157.36700,156.55000,159.00100,loss,-1.0,103.51,-103.51,10247.15,2024-06-03 04:00,,,
2024-06-07 16:00,2024-06-20 09:00,USDJPY,long,156.44750,155.46350,158.41550,win,1.5,102.47,153.71,10400.86,2024-06-07 13:00,,yes,
2024-06-24 11:00,2024-07-03 06:00,USDJPY,long,159.12900,157.80250,161.78200,win,1.5,104.01,156.01,10556.87,2024-06-21 14:00,,yes,
2024-07-03 07:00,2024-07-03 15:00,USDJPY,long,161.74500,161.25900,162.71700,loss,-1.0,105.57,-105.57,10451.30,2024-07-03 06:00,,,
2024-07-12 16:00,2024-07-19 06:00,USDJPY,short,157.81250,159.45850,154.52050,partial,0.5,104.51,52.26,10503.56,2024-07-12 15:00,,yes,
2024-07-22 09:00,2024-07-24 04:00,USDJPY,short,156.95650,157.87500,155.11950,win,1.5,105.04,157.55,10661.11,2024-07-22 07:00,,yes,
2024-07-24 18:00,2024-08-02 16:00,USDJPY,short,153.60000,157.18400,146.43200,win,1.5,106.61,159.92,10821.03,2024-07-24 14:00,,yes,
2024-08-02 20:00,2024-08-07 02:00,USDJPY,short,146.62200,150.90200,138.06200,partial,0.5,108.21,54.11,10875.13,2024-08-02 19:00,,yes,
2024-08-25 23:00,2024-09-02 00:00,USDJPY,short,144.05000,146.53850,139.07300,loss,-1.0,108.75,-108.75,10766.38,2024-08-25 22:00,,,
2024-09-06 10:00,2024-09-12 01:00,USDJPY,short,142.85100,144.24150,140.07000,partial,0.5,107.66,53.83,10820.22,2024-09-06 06:00,,yes,
2024-09-13 10:00,2024-09-19 01:00,USDJPY,short,140.71150,143.05550,136.02350,loss,-1.0,108.20,-108.20,10712.01,2024-09-13 09:00,,,
2024-09-27 14:00,2024-10-02 11:00,USDJPY,short,142.89250,144.69150,139.29450,loss,-1.0,107.12,-107.12,10604.89,2024-09-27 13:00,,,
2024-10-09 10:00,2024-10-23 01:00,USDJPY,long,148.68800,147.33550,151.39300,win,1.5,106.05,159.07,10763.97,2024-10-09 09:00,,yes,
2024-10-28 08:00,2024-11-05 19:00,USDJPY,long,153.18800,151.44400,156.67600,loss,-1.0,107.64,-107.64,10656.33,2024-10-28 01:00,,,
2024-11-12 03:00,2024-11-15 19:00,USDJPY,long,153.95500,152.13300,157.59900,partial,0.5,106.56,53.28,10709.61,2024-11-12 02:00,,yes,
2024-11-27 01:00,2024-11-29 19:00,USDJPY,short,152.98800,154.73450,149.49500,win,1.5,107.10,160.64,10870.25,2024-11-27 00:00,,yes,
2024-12-02 18:00,2024-12-04 10:00,USDJPY,short,149.46750,150.75950,146.88350,loss,-1.0,108.70,-108.70,10761.55,2024-12-02 17:00,,,
2024-12-11 14:00,2024-12-18 21:00,USDJPY,long,152.18300,150.88750,154.77400,win,1.5,107.62,161.42,10922.97,2024-12-11 10:00,,yes,
2024-12-19 00:00,2024-12-19 16:00,USDJPY,long,154.72450,153.32650,157.52050,win,1.5,109.23,163.84,11086.82,2024-12-18 22:00,,yes,
2024-12-19 17:00,2025-02-05 03:00,USDJPY,long,157.61300,153.32650,166.18600,loss,-1.0,110.87,-110.87,10975.95,2024-12-19 16:00,,,
2025-02-05 05:00,2025-02-12 02:00,USDJPY,short,153.33650,155.53300,148.94350,partial,0.5,109.76,54.88,11030.83,2025-02-05 04:00,,yes,
2025-02-20 17:00,2025-03-18 03:00,USDJPY,short,149.65650,152.32200,144.32550,partial,0.5,110.31,55.15,11085.98,2025-02-20 16:00,,yes,
2025-03-19 15:00,2025-03-19 19:00,USDJPY,long,149.93650,149.08800,151.63350,loss,-1.0,110.86,-110.86,10975.12,2025-03-19 14:00,,,
2025-03-27 13:00,2025-03-28 15:00,USDJPY,long,150.94500,150.00950,152.81600,loss,-1.0,109.75,-109.75,10865.37,2025-03-27 12:00,,,
2025-04-04 12:00,2025-07-31 14:00,USDJPY,short,145.19050,150.49950,134.57250,loss,-1.0,108.65,-108.65,10756.72,2025-04-04 11:00,,,
2025-07-31 15:00,2025-08-01 15:00,USDJPY,long,150.48950,147.79500,155.87850,loss,-1.0,107.57,-107.57,10649.15,2025-07-31 14:00,,,
2025-08-22 03:00,2025-08-22 15:00,USDJPY,long,148.51900,146.86250,151.83200,loss,-1.0,106.49,-106.49,10542.66,2025-08-22 02:00,,,
2025-08-27 06:00,2025-08-28 04:00,USDJPY,long,147.90850,147.09050,149.54450,loss,-1.0,105.43,-105.43,10437.23,2025-08-27 05:00,,,
2025-09-02 14:00,2025-09-05 15:00,USDJPY,long,148.77850,147.03900,152.25750,loss,-1.0,104.37,-104.37,10332.86,2025-09-02 13:00,,,
2025-09-22 03:00,2025-09-30 07:00,USDJPY,long,148.19350,147.18750,150.20550,partial,0.5,103.33,51.66,10384.53,2025-09-22 02:00,,yes,
2025-10-07 02:00,2025-11-20 02:00,USDJPY,long,150.47800,147.07800,157.27800,win,1.5,103.85,155.77,10540.29,2025-10-07 01:00,,yes,
2025-12-04 10:00,2025-12-09 08:00,USDJPY,short,155.01200,156.19100,152.65400,loss,-1.0,105.40,-105.40,10434.89,2025-12-04 09:00,,,
2025-12-26 04:00,2025-12-29 01:00,USDJPY,long,156.07450,155.54600,157.13150,partial,0.5,104.35,52.17,10487.06,2025-12-26 00:00,,yes,
2025-12-30 23:00,2026-01-05 01:00,USDJPY,long,156.33950,155.90700,157.20450,win,1.5,104.87,157.31,10644.37,2025-12-30 19:00,,yes,
