entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2012-03-05 09:00,2012-03-08 10:00,XAUUSD,short,1701.56550,1726.05800,1652.58050,partial,0.5,100.00,50.00,10050.00,2012-03-05 09:00,,yes,
2012-03-13 13:00,2012-03-14 13:00,XAUUSD,short,1687.61050,1705.91550,1651.00050,win,1.5,100.50,150.75,10200.75,2012-03-13 13:00,,yes,
2012-03-14 13:00,2012-08-22 09:00,XAUUSD,short,1644.96100,1705.91550,1523.05200,partial,0.5,102.01,51.00,10251.75,2012-03-14 13:00,,yes,
2012-08-22 09:00,2012-09-06 13:00,XAUUSD,long,1644.48600,1610.24650,1712.96500,win,1.5,102.52,153.78,10405.53,2012-08-22 09:00,,yes,
2012-09-07 13:00,2012-10-19 16:00,XAUUSD,long,1724.99250,1689.09800,1796.78150,partial,0.5,104.06,52.03,10457.56,2012-09-07 13:00,,yes,
2012-10-23 10:00,2012-11-02 17:00,XAUUSD,short,1712.90200,1730.42350,1677.85900,win,1.5,104.58,156.86,10614.42,2012-10-23 10:00,,yes,
2012-11-05 09:00,2012-11-07 07:00,XAUUSD,short,1674.55550,1727.11000,1569.44650,loss,-1.0,106.14,-106.14,10508.28,2012-11-05 09:00,,,
2012-12-05 16:00,2012-12-12 18:00,XAUUSD,short,1686.21700,1722.22950,1614.19200,loss,-1.0,105.08,-105.08,10403.19,2012-12-05 16:00,,,
2012-12-13 12:00,2013-01-02 16:00,XAUUSD,short,1693.28850,1723.54550,1632.77450,partial,0.5,104.03,52.02,10455.21,2012-12-13 12:00,,yes,
2013-01-10 14:00,2013-01-24 15:00,XAUUSD,long,1669.41450,1651.44450,1705.35450,partial,0.5,104.55,52.28,10507.49,2013-01-10 14:00,,yes,
2013-02-12 09:00,2013-02-20 13:00,XAUUSD,short,1643.00200,1669.81700,1589.37200,win,1.5,105.07,157.61,10665.10,2013-02-12 09:00,,yes,
2013-02-20 15:00,2013-02-25 09:00,XAUUSD,short,1588.46000,1615.45750,1534.46500,partial,0.5,106.65,53.33,10718.42,2013-02-20 15:00,,yes,
2013-03-01 10:00,2013-03-17 23:00,XAUUSD,short,1568.67650,1603.17750,1499.67450,loss,-1.0,107.18,-107.18,10611.24,2013-03-01 10:00,,,
2013-03-19 16:00,2013-03-25 13:00,XAUUSD,long,1612.94300,1590.53200,1657.76500,loss,-1.0,106.11,-106.11,10505.13,2013-03-19 16:00,,,
2013-04-03 17:00,2013-04-15 02:00,XAUUSD,short,1560.40250,1604.11500,1472.97750,win,1.5,105.05,157.58,10662.70,2013-04-03 17:00,,yes,
2013-04-18 02:00,2013-04-18 10:00,XAUUSD,short,1350.41050,1395.28050,1260.67050,loss,-1.0,106.63,-106.63,10556.08,2013-04-18 02:00,,,
2013-04-30 08:00,2013-05-01 13:00,XAUUSD,long,1478.39500,1463.26300,1508.65900,loss,-1.0,105.56,-105.56,10450.52,2013-04-30 08:00,,,
2013-05-14 13:00,2013-05-16 08:00,XAUUSD,short,1423.61800,1445.67550,1379.50300,win,1.5,104.51,156.76,10607.27,2013-05-14 13:00,,yes,
2013-05-16 08:00,2013-06-26 08:00,XAUUSD,short,1377.06850,1445.67550,1239.85450,win,1.5,106.07,159.11,10766.38,2013-05-16 08:00,,yes,
2013-06-27 18:00,2013-07-01 00:00,XAUUSD,short,1202.43700,1244.94500,1117.42100,loss,-1.0,107.66,-107.66,10658.72,2013-06-27 18:00,,,
2013-07-05 02:00,2013-07-05 15:00,XAUUSD,short,1243.00000,1260.26350,1208.47300,win,1.5,106.59,159.88,10818.60,2013-07-05 02:00,,yes,
2013-07-14 23:00,2013-07-23 19:00,XAUUSD,long,1292.08500,1267.85250,1340.55000,win,1.5,108.19,162.28,10980.88,2013-07-14 23:00,,yes,
2013-07-23 19:00,2013-09-12 08:00,XAUUSD,long,1343.22100,1270.31050,1489.04200,partial,0.5,109.81,54.90,11035.78,2013-07-23 19:00,,yes,
