entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-11-03 13:00,2023-11-06 21:00,XAUUSD,long,2000.23500,1978.82000,2043.06500,loss,-1.0,100.00,-100.00,9900.00,2023-11-03 13:00,,,
2023-11-09 10:00,2023-11-15 09:00,XAUUSD,short,1946.89000,1971.23000,1898.21000,loss,-1.0,99.00,-99.00,9801.00,2023-11-09 10:00,,,
2023-11-28 01:00,2023-12-01 19:00,XAUUSD,long,2017.19500,1989.75350,2072.07800,win,1.5,98.01,147.02,9948.01,2023-11-28 01:00,,yes,
2023-12-07 14:00,2023-12-08 15:00,XAUUSD,long,2037.23350,2009.87850,2091.94350,loss,-1.0,99.48,-99.48,9848.53,2023-12-07 14:00,,,
2023-12-11 08:00,2023-12-14 01:00,XAUUSD,short,1992.90000,2034.14950,1910.40100,loss,-1.0,98.49,-98.49,9750.05,2023-12-11 08:00,,,
2023-12-26 21:00,2024-01-03 15:00,XAUUSD,long,2068.41150,2032.16150,2140.91150,loss,-1.0,97.50,-97.50,9652.55,2023-12-26 21:00,,,
2024-01-24 16:00,2024-01-29 08:00,XAUUSD,short,2015.30000,2030.81650,1984.26700,loss,-1.0,96.53,-96.53,9556.02,2024-01-24 16:00,,,
2024-03-01 11:00,2024-03-04 16:00,XAUUSD,long,2054.89500,2028.06500,2108.55500,win,1.5,95.56,143.34,9699.36,2024-03-01 11:00,,yes,
2024-03-05 09:00,2024-04-02 23:00,XAUUSD,long,2120.74000,2038.99000,2284.24000,win,1.5,96.99,145.49,9844.85,2024-03-05 09:00,,yes,
2024-04-03 17:00,2024-04-12 02:00,XAUUSD,long,2293.88000,2250.85850,2379.92300,win,1.5,98.45,147.67,9992.53,2024-04-03 17:00,,yes,
2024-04-16 17:00,2024-04-17 17:00,XAUUSD,long,2397.59000,2362.92950,2466.91100,loss,-1.0,99.93,-99.93,9892.60,2024-04-16 17:00,,,
2024-04-19 02:00,2024-04-22 04:00,XAUUSD,long,2409.51500,2369.53000,2489.48500,loss,-1.0,98.93,-98.93,9793.68,2024-04-19 02:00,,,
2024-04-30 13:00,2024-05-09 21:00,XAUUSD,short,2306.18000,2346.89500,2224.75000,loss,-1.0,97.94,-97.94,9695.74,2024-04-30 13:00,,,
2024-05-10 01:00,2024-05-20 02:00,XAUUSD,long,2347.63150,2306.69300,2429.50850,win,1.5,96.96,145.44,9841.18,2024-05-10 01:00,,yes,
2024-05-20 02:00,2024-05-23 02:00,XAUUSD,long,2434.72850,2373.89650,2556.39250,loss,-1.0,98.41,-98.41,9742.76,2024-05-20 02:00,,,
2024-06-06 21:00,2024-06-07 13:00,XAUUSD,long,2375.87000,2315.58700,2496.43600,loss,-1.0,97.43,-97.43,9645.34,2024-06-06 21:00,,,
2024-06-21 12:00,2024-06-21 16:00,XAUUSD,long,2366.32650,2323.88450,2451.21050,loss,-1.0,96.45,-96.45,9548.88,2024-06-21 12:00,,,
2024-07-05 05:00,2024-07-05 13:00,XAUUSD,long,2364.01500,2350.44950,2391.14600,loss,-1.0,95.49,-95.49,9453.39,2024-07-05 05:00,,,
2024-07-05 13:00,2024-07-08 09:00,XAUUSD,long,2372.22500,2354.23000,2408.21500,partial,0.5,94.53,47.27,9500.66,2024-07-05 13:00,,yes,
2024-07-10 03:00,2024-07-11 13:00,XAUUSD,long,2369.38850,2349.51350,2409.13850,win,1.5,95.01,142.51,9643.17,2024-07-10 03:00,,yes,
2024-07-11 13:00,2024-07-17 02:00,XAUUSD,long,2406.43000,2369.87000,2479.55000,win,1.5,96.43,144.65,9787.82,2024-07-11 13:00,,yes,
2024-07-17 14:00,2024-07-19 14:00,XAUUSD,long,2483.01850,2401.31000,2646.43550,loss,-1.0,97.88,-97.88,9689.94,2024-07-17 14:00,,,
2024-08-02 06:00,2024-08-02 15:00,XAUUSD,long,2466.87500,2430.17350,2540.27800,loss,-1.0,96.90,-96.90,9593.04,2024-08-02 06:00,,,
2024-08-08 12:00,2024-08-13 00:00,XAUUSD,long,2412.33500,2380.94850,2475.10800,win,1.5,95.93,143.90,9736.94,2024-08-08 12:00,,yes,
2024-08-13 00:00,2024-08-22 15:00,XAUUSD,long,2475.63500,2423.81000,2579.28500,partial,0.5,97.37,48.68,9785.62,2024-08-13 00:00,,yes,
2024-09-11 07:00,2024-09-13 14:00,XAUUSD,long,2526.64850,2500.10450,2579.73650,win,1.5,97.86,146.78,9932.41,2024-09-11 07:00,,yes,
2024-09-19 10:00,2024-09-26 12:00,XAUUSD,long,2591.89500,2546.78050,2682.12400,win,1.5,99.32,148.99,10081.39,2024-09-19 10:00,,yes,
2024-10-15 06:00,2024-10-15 17:00,XAUUSD,short,2641.91850,2667.01050,2591.73450,loss,-1.0,100.81,-100.81,9980.58,2024-10-15 06:00,,,
2024-10-17 11:00,2024-10-30 07:00,XAUUSD,long,2687.44500,2638.04500,2786.24500,win,1.5,99.81,149.71,10130.29,2024-10-17 11:00,,yes,
2024-11-11 02:00,2024-11-11 19:00,XAUUSD,short,2673.06000,2704.19350,2610.79300,win,1.5,101.30,151.95,10282.24,2024-11-11 02:00,,yes,
2024-11-12 08:00,2024-11-22 02:00,XAUUSD,short,2598.30500,2675.52000,2443.87500,loss,-1.0,102.82,-102.82,10179.42,2024-11-12 08:00,,,
2024-12-11 15:00,2024-12-13 09:00,XAUUSD,long,2706.31950,2675.14500,2768.66850,loss,-1.0,101.79,-101.79,10077.62,2024-12-11 15:00,,,
2024-12-27 14:00,2024-12-31 16:00,XAUUSD,short,2618.85000,2639.32050,2577.90900,partial,0.5,100.78,50.39,10128.01,2024-12-27 14:00,,yes,
2025-01-07 13:00,2025-01-21 04:00,XAUUSD,long,2651.67350,2614.59550,2725.82950,win,1.5,101.28,151.92,10279.93,2025-01-07 13:00,,yes,
2025-01-21 05:00,2025-01-31 13:00,XAUUSD,long,2727.45300,2689.38000,2803.59900,win,1.5,102.80,154.20,10434.13,2025-01-21 05:00,,yes,
2025-02-03 15:00,2025-02-20 07:00,XAUUSD,long,2830.57000,2772.08500,2947.54000,win,1.5,104.34,156.51,10590.64,2025-02-03 15:00,,yes,
2025-02-20 07:00,2025-02-21 09:00,XAUUSD,long,2947.81000,2918.53000,3006.37000,loss,-1.0,105.91,-105.91,10484.74,2025-02-20 07:00,,,
2025-02-24 14:00,2025-02-25 16:00,XAUUSD,long,2954.55500,2921.30500,3021.05500,loss,-1.0,104.85,-104.85,10379.89,2025-02-24 14:00,,,
2025-03-13 04:00,2025-03-18 09:00,XAUUSD,long,2945.72000,2905.93000,3025.30000,win,1.5,103.80,155.70,10535.59,2025-03-13 04:00,,yes,
2025-03-19 06:00,2025-04-04 15:00,XAUUSD,long,3044.58000,2982.16500,3169.41000,partial,0.5,105.36,52.68,10588.27,2025-03-19 06:00,,yes,
2025-04-15 23:00,2025-04-16 19:00,XAUUSD,long,3241.65500,3193.58000,3337.80500,win,1.5,105.88,158.82,10747.09,2025-04-15 23:00,,yes,
2025-04-21 01:00,2025-04-22 20:00,XAUUSD,long,3368.82000,3283.79500,3538.87000,partial,0.5,107.47,53.74,10800.82,2025-04-21 01:00,,yes,
2025-04-28 19:00,2025-04-30 13:00,XAUUSD,long,3349.02000,3268.10000,3510.86000,loss,-1.0,108.01,-108.01,10692.82,2025-04-28 19:00,,,
2025-05-14 05:00,2025-05-15 05:00,XAUUSD,short,3223.93000,3265.79000,3140.21000,win,1.5,106.93,160.39,10853.21,2025-05-14 05:00,,yes,
2025-05-28 21:00,2025-05-29 08:00,XAUUSD,short,3287.32000,3325.78500,3210.39000,partial,0.5,108.53,54.27,10907.47,2025-05-28 21:00,,yes,
2025-06-04 15:00,2025-06-06 15:00,XAUUSD,long,3377.46650,3332.94000,3466.51950,loss,-1.0,109.07,-109.07,10798.40,2025-06-04 15:00,,,
2025-06-15 23:00,2025-06-24 01:00,XAUUSD,long,3448.47500,3338.66850,3668.08800,loss,-1.0,107.98,-107.98,10690.42,2025-06-15 23:00,,,
2025-07-03 13:00,2025-07-10 02:00,XAUUSD,short,3324.52350,3365.88500,3241.80050,partial,0.5,106.90,53.45,10743.87,2025-07-03 13:00,,yes,
2025-07-13 23:00,2025-07-17 13:00,XAUUSD,long,3369.57500,3310.09500,3488.53500,loss,-1.0,107.44,-107.44,10636.43,2025-07-13 23:00,,,
2025-07-21 13:00,2025-07-23 17:00,XAUUSD,long,3387.35500,3345.02500,3472.01500,partial,0.5,106.36,53.18,10689.61,2025-07-21 13:00,,yes,
2025-08-12 15:00,2025-08-28 12:00,XAUUSD,short,3337.56350,3405.48150,3201.72750,loss,-1.0,106.90,-106.90,10582.72,2025-08-12 15:00,,,
2025-08-28 14:00,2025-08-29 20:00,XAUUSD,long,3407.41650,3384.62500,3452.99950,win,1.5,105.83,158.74,10741.46,2025-08-28 14:00,,yes,
2025-08-29 20:00,2025-09-05 14:00,XAUUSD,long,3452.78650,3384.62500,3589.10950,win,1.5,107.41,161.12,10902.58,2025-08-29 20:00,,yes,
2025-09-08 08:00,2025-09-29 05:00,XAUUSD,long,3609.50000,3511.03850,3806.42300,win,1.5,109.03,163.54,11066.12,2025-09-08 08:00,,yes,
2025-10-01 08:00,2025-10-08 17:00,XAUUSD,long,3879.31500,3793.09500,4051.75500,win,1.5,110.66,165.99,11232.11,2025-10-01 08:00,,yes,
2025-10-13 06:00,2025-10-16 20:00,XAUUSD,long,4063.80000,3944.32000,4302.76000,win,1.5,112.32,168.48,11400.59,2025-10-13 06:00,,yes,
2025-10-28 06:00,2025-11-11 02:00,XAUUSD,short,3966.56000,4138.71500,3622.25000,loss,-1.0,114.01,-114.01,11286.58,2025-10-28 06:00,,,
2025-11-11 04:00,2025-12-23 02:00,XAUUSD,long,4146.97500,3984.03000,4472.86500,win,1.5,112.87,169.30,11455.88,2025-11-11 04:00,,yes,
2025-12-24 00:00,2025-12-29 16:00,XAUUSD,long,4503.46500,4319.67150,4871.05200,loss,-1.0,114.56,-114.56,11341.32,2025-12-24 00:00,,,
2026-01-12 01:00,2026-01-23 00:00,XAUUSD,long,4588.92650,4407.72500,4951.32950,win,1.5,113.41,170.12,11511.44,2026-01-12 01:00,,yes,
2026-01-23 17:00,2026-01-29 00:00,XAUUSD,long,4980.42500,4755.79850,5429.67800,win,1.5,115.11,172.67,11684.12,2026-01-23 17:00,,yes,
2026-02-20 22:00,2026-03-02 08:00,XAUUSD,long,5107.59000,4963.27500,5396.22000,win,1.5,116.84,175.26,11859.38,2026-02-20 22:00,,yes,
2026-03-18 21:00,2026-03-23 01:00,XAUUSD,short,4818.56500,5016.52000,4422.65500,win,1.5,118.59,177.89,12037.27,2026-03-18 21:00,,yes,
2026-03-23 01:00,2026-04-01 08:00,XAUUSD,short,4354.44500,4736.76500,3589.80500,loss,-1.0,120.37,-120.37,11916.90,2026-03-23 01:00,,,
2026-04-01 12:00,2026-04-29 14:00,XAUUSD,long,4752.53000,4529.41000,5198.77000,loss,-1.0,119.17,-119.17,11797.73,2026-04-01 12:00,,,
2026-04-29 14:00,2026-04-30 09:00,XAUUSD,short,4521.79000,4610.63500,4344.10000,loss,-1.0,117.98,-117.98,11679.75,2026-04-29 14:00,,,
2026-05-04 16:00,2026-05-06 06:00,XAUUSD,short,4521.73000,4660.47000,4244.25000,loss,-1.0,116.80,-116.80,11562.95,2026-05-04 16:00,,,
2026-05-07 07:00,2026-05-15 10:00,XAUUSD,long,4739.18000,4546.22500,5125.09000,loss,-1.0,115.63,-115.63,11447.32,2026-05-07 07:00,,,
2026-05-19 14:00,2026-05-28 17:00,XAUUSD,short,4504.19500,4589.73500,4333.11500,partial,0.5,114.47,57.24,11504.56,2026-05-19 14:00,,yes,
2026-06-03 06:00,2026-06-08 06:00,XAUUSD,short,4457.02150,4541.81000,4287.44450,win,1.5,115.05,172.57,11677.13,2026-06-03 06:00,,yes,
2026-06-08 06:00,2026-06-14 23:00,XAUUSD,short,4292.02000,4476.04500,3923.97000,partial,0.5,116.77,58.39,11735.51,2026-06-08 06:00,,yes,
2026-06-19 04:00,2026-08-10 19:00,XAUUSD,short,4153.75500,4382.48500,3696.29500,loss,-1.0,117.36,-117.36,11618.16,2026-06-19 04:00,,,
2026-08-10 19:00,2026-08-13 07:00,XAUUSD,long,4378.47500,4313.36000,4508.70500,partial,0.5,116.18,58.09,11676.25,2026-08-10 19:00,,yes,
2026-08-17 15:00,2026-08-18 15:00,XAUUSD,long,4417.39500,4367.16000,4517.86500,loss,-1.0,116.76,-116.76,11559.49,2026-08-17 15:00,,,
2026-08-19 13:00,2026-08-24 12:00,XAUUSD,long,4438.73000,4324.29500,4667.60000,win,1.5,115.59,173.39,11732.88,2026-08-19 13:00,,yes,
