entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2012-03-05 14:00,2012-03-06 15:00,XAUUSD,short,1705.49800,1726.05800,1664.37800,win,1.5,100.00,150.00,10150.00,2012-03-05 09:00,,yes,
2012-03-13 16:00,2012-03-13 19:00,XAUUSD,short,1692.92550,1705.91550,1666.94550,partial,0.5,101.50,50.75,10200.75,2012-03-13 13:00,yes,yes,
2012-03-14 00:00,2012-03-26 13:00,XAUUSD,short,1676.82350,1705.91550,1618.63950,partial,0.5,102.01,51.00,10251.75,2012-03-13 20:00,,yes,
2012-03-27 15:00,2012-03-28 18:00,XAUUSD,long,1693.70200,1655.60400,1769.89800,loss,-1.0,102.52,-102.52,10149.24,2012-03-27 14:00,,,
2012-04-03 12:00,2012-04-03 19:00,XAUUSD,long,1674.72300,1660.05350,1704.06200,loss,-1.0,101.49,-101.49,10047.74,2012-04-02 15:00,,,
2012-04-10 16:00,2012-04-10 17:00,XAUUSD,short,1636.57000,1654.75650,1600.19700,loss,-1.0,100.48,-100.48,9947.27,2012-04-10 15:00,,,
2012-04-17 15:00,2012-04-24 12:00,XAUUSD,short,1641.38800,1657.80250,1608.55900,partial,0.5,99.47,49.74,9997.00,2012-04-17 14:00,,yes,
2012-04-25 11:00,2012-04-25 18:00,XAUUSD,short,1640.51200,1649.42800,1622.68000,partial,0.5,99.97,49.99,10046.99,2012-04-25 10:00,,yes,
2012-05-04 09:00,2012-05-15 06:00,XAUUSD,short,1631.29800,1671.75550,1550.38300,win,1.5,100.47,150.70,10197.69,2012-05-04 08:00,,yes,
2012-05-16 14:00,2012-05-18 10:00,XAUUSD,short,1548.48500,1590.91550,1463.62400,loss,-1.0,101.98,-101.98,10095.72,2012-05-15 20:00,,,
2012-05-22 15:00,2012-05-23 01:00,XAUUSD,short,1584.97850,1599.42550,1556.08450,win,1.5,100.96,151.44,10247.15,2012-05-22 08:00,,yes,
2012-05-24 19:00,2012-05-25 08:00,XAUUSD,short,1552.45150,1564.89650,1527.56150,loss,-1.0,102.47,-102.47,10144.68,2012-05-24 18:00,,,
2012-05-30 07:00,2012-06-01 13:00,XAUUSD,short,1551.51950,1582.92000,1488.71850,loss,-1.0,101.45,-101.45,10043.23,2012-05-30 03:00,,,
2012-06-06 06:00,2012-06-06 19:00,XAUUSD,long,1623.75050,1612.32550,1646.60050,partial,0.5,100.43,50.22,10093.45,2012-06-06 01:00,,yes,
2012-06-13 14:00,2012-06-21 13:00,XAUUSD,long,1617.75000,1586.23400,1680.78200,loss,-1.0,100.93,-100.93,9992.51,2012-06-13 13:00,,,
2012-07-05 15:00,2012-07-06 09:00,XAUUSD,short,1611.66300,1620.06950,1594.85000,win,1.5,99.93,149.89,10142.40,2012-07-05 13:00,,yes,
2012-07-06 13:00,2012-07-17 09:00,XAUUSD,short,1597.80500,1623.95000,1545.51500,partial,0.5,101.42,50.71,10193.11,2012-07-06 09:00,,yes,
2012-07-17 16:00,2012-07-25 13:00,XAUUSD,short,1578.68400,1595.10650,1545.83900,loss,-1.0,101.93,-101.93,10091.18,2012-07-17 15:00,,,
2012-07-26 16:00,2012-09-03 16:00,XAUUSD,long,1610.59700,1568.89450,1694.00200,win,1.5,100.91,151.37,10242.55,2012-07-26 11:00,,yes,
2012-09-03 18:00,2012-09-21 13:00,XAUUSD,long,1693.18050,1646.96500,1785.61150,win,1.5,102.43,153.64,10396.19,2012-09-03 17:00,,yes,
2012-09-21 15:00,2012-09-24 10:00,XAUUSD,long,1779.55550,1755.90500,1826.85650,loss,-1.0,103.96,-103.96,10292.23,2012-09-21 13:00,,,
2012-09-25 09:00,2012-09-26 13:00,XAUUSD,long,1767.61300,1755.78950,1791.26000,loss,-1.0,102.92,-102.92,10189.31,2012-09-25 08:00,,,
2012-09-28 08:00,2012-10-12 18:00,XAUUSD,long,1780.44550,1752.91500,1835.50650,loss,-1.0,101.89,-101.89,10087.41,2012-09-28 05:00,,,
2012-10-23 11:00,2012-11-02 17:00,XAUUSD,short,1713.81000,1730.42350,1680.58300,win,1.5,100.87,151.31,10238.72,2012-10-23 10:00,,yes,
2012-11-05 10:00,2012-11-07 07:00,XAUUSD,short,1674.80450,1727.11000,1570.19350,loss,-1.0,102.39,-102.39,10136.34,2012-11-05 09:00,,,
2012-12-05 17:00,2012-12-12 18:00,XAUUSD,short,1691.40600,1722.22950,1629.75900,loss,-1.0,101.36,-101.36,10034.97,2012-12-05 16:00,,,
2012-12-13 13:00,2013-01-02 16:00,XAUUSD,short,1694.21450,1723.54550,1635.55250,partial,0.5,100.35,50.17,10085.15,2012-12-13 12:00,,yes,
2013-01-15 13:00,2013-01-17 16:00,XAUUSD,long,1677.00500,1664.14050,1702.73400,partial,0.5,100.85,50.43,10135.57,2013-01-15 09:00,yes,yes,
2013-01-22 18:00,2013-01-23 16:00,XAUUSD,long,1695.02350,1685.89050,1713.28950,loss,-1.0,101.36,-101.36,10034.22,2013-01-22 17:00,,,
2013-02-12 10:00,2013-02-20 12:00,XAUUSD,short,1643.86450,1669.81700,1591.95950,win,1.5,100.34,150.51,10184.73,2013-02-12 09:00,,yes,
2013-02-21 00:00,2013-02-26 17:00,XAUUSD,short,1568.99450,1615.45750,1476.06850,loss,-1.0,101.85,-101.85,10082.88,2013-02-20 20:00,,,
2013-03-01 14:00,2013-03-17 23:00,XAUUSD,short,1575.03000,1603.17750,1518.73500,loss,-1.0,100.83,-100.83,9982.05,2013-03-01 10:00,,,
2013-03-19 19:00,2013-03-25 13:00,XAUUSD,long,1611.21350,1590.53200,1652.57650,loss,-1.0,99.82,-99.82,9882.23,2013-03-19 16:00,,,
2013-04-03 19:00,2013-04-15 02:00,XAUUSD,short,1555.10050,1604.11500,1457.07150,win,1.5,98.82,148.23,10030.47,2013-04-03 18:00,,yes,
2013-04-18 03:00,2013-04-18 10:00,XAUUSD,short,1362.48000,1395.28050,1296.87900,loss,-1.0,100.30,-100.30,9930.16,2013-04-18 02:00,,,
2013-04-30 09:00,2013-05-01 13:00,XAUUSD,long,1478.14700,1463.26300,1507.91500,loss,-1.0,99.30,-99.30,9830.86,2013-04-30 08:00,,,
