entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-11-03 14:00,2023-11-06 21:00,XAUUSD,long,1991.08000,1978.82000,2015.60000,loss,-1.0,100.00,-100.00,9900.00,2023-11-03 13:00,,,
2023-11-09 11:00,2023-11-15 09:00,XAUUSD,short,1947.48350,1971.23000,1899.99050,loss,-1.0,99.00,-99.00,9801.00,2023-11-09 10:00,,,
2023-11-28 02:00,2023-12-01 19:00,XAUUSD,long,2016.41500,1989.75350,2069.73800,win,1.5,98.01,147.02,9948.01,2023-11-28 01:00,,yes,
2023-12-07 15:00,2023-12-08 15:00,XAUUSD,long,2035.94500,2009.87850,2088.07800,loss,-1.0,99.48,-99.48,9848.53,2023-12-07 14:00,,,
2023-12-11 09:00,2023-12-14 01:00,XAUUSD,short,1994.72500,2034.14950,1915.87600,loss,-1.0,98.49,-98.49,9750.05,2023-12-11 08:00,,,
2023-12-27 01:00,2024-01-03 15:00,XAUUSD,long,2065.22000,2032.16150,2131.33700,loss,-1.0,97.50,-97.50,9652.55,2023-12-26 21:00,,,
2024-01-25 14:00,2024-01-26 02:00,XAUUSD,short,2022.87500,2030.81650,2006.99200,partial,0.5,96.53,48.26,9700.81,2024-01-24 16:00,,yes,
2024-03-01 14:00,2024-03-04 15:00,XAUUSD,long,2050.77000,2028.06500,2096.18000,win,1.5,97.01,145.51,9846.32,2024-03-01 11:00,,yes,
2024-03-05 10:00,2024-04-02 23:00,XAUUSD,long,2119.97500,2038.99000,2281.94500,win,1.5,98.46,147.69,9994.02,2024-03-05 09:00,,yes,
2024-04-04 13:00,2024-04-09 10:00,XAUUSD,long,2288.45350,2250.85850,2363.64350,win,1.5,99.94,149.91,10143.93,2024-04-03 17:00,,yes,
2024-04-12 17:00,2024-04-15 15:00,XAUUSD,long,2365.37500,2325.69000,2444.74500,loss,-1.0,101.44,-101.44,10042.49,2024-04-11 20:00,,,
2024-04-16 18:00,2024-04-17 17:00,XAUUSD,long,2392.25000,2362.92950,2450.89100,loss,-1.0,100.42,-100.42,9942.06,2024-04-16 17:00,,,
2024-04-19 04:00,2024-04-22 04:00,XAUUSD,long,2392.81450,2369.53000,2439.38350,loss,-1.0,99.42,-99.42,9842.64,2024-04-19 02:00,,,
2024-04-30 14:00,2024-05-09 21:00,XAUUSD,short,2311.81500,2346.89500,2241.65500,loss,-1.0,98.43,-98.43,9744.22,2024-04-30 13:00,,,
2024-05-10 05:00,2024-05-20 06:00,XAUUSD,long,2352.61150,2306.69300,2444.44850,win,1.5,97.44,146.16,9890.38,2024-05-10 04:00,,yes,
2024-06-07 02:00,2024-06-07 13:00,XAUUSD,long,2375.02500,2315.58700,2493.90100,loss,-1.0,98.90,-98.90,9791.48,2024-06-06 21:00,,,
2024-06-21 13:00,2024-06-21 16:00,XAUUSD,long,2365.55500,2323.88450,2448.89600,loss,-1.0,97.91,-97.91,9693.56,2024-06-21 12:00,,,
2024-07-05 09:00,2024-07-05 13:00,XAUUSD,long,2364.99000,2350.44950,2394.07100,loss,-1.0,96.94,-96.94,9596.63,2024-07-05 08:00,,,
2024-07-07 23:00,2024-07-08 16:00,XAUUSD,long,2386.36150,2354.23000,2450.62450,loss,-1.0,95.97,-95.97,9500.66,2024-07-05 19:00,,,
2024-07-10 04:00,2024-07-11 13:00,XAUUSD,long,2368.84500,2349.51350,2407.50800,win,1.5,95.01,142.51,9643.17,2024-07-10 03:00,,yes,
2024-07-15 15:00,2024-07-17 01:00,XAUUSD,long,2418.31150,2391.42000,2472.09450,win,1.5,96.43,144.65,9787.82,2024-07-15 14:00,,yes,
2024-07-17 15:00,2024-07-19 14:00,XAUUSD,long,2482.49000,2401.31000,2644.85000,loss,-1.0,97.88,-97.88,9689.94,2024-07-17 14:00,,,
2024-08-02 08:00,2024-08-02 15:00,XAUUSD,long,2462.34000,2430.17350,2526.67300,loss,-1.0,96.90,-96.90,9593.04,2024-08-02 06:00,,,
2024-08-08 14:00,2024-08-12 16:00,XAUUSD,long,2407.11150,2380.94850,2459.43750,win,1.5,95.93,143.90,9736.94,2024-08-08 12:00,,yes,
2024-08-13 01:00,2024-08-22 15:00,XAUUSD,long,2475.00000,2423.81000,2577.38000,partial,0.5,97.37,48.68,9785.62,2024-08-13 00:00,,yes,
2024-09-11 08:00,2024-09-12 14:00,XAUUSD,long,2523.56150,2500.10450,2570.47550,partial,0.5,97.86,48.93,9834.55,2024-09-11 07:00,yes,yes,
2024-09-19 11:00,2024-09-25 03:00,XAUUSD,long,2587.03000,2546.78050,2667.52900,win,1.5,98.35,147.52,9982.07,2024-09-19 10:00,,yes,
2024-09-26 10:00,2024-09-26 14:00,XAUUSD,long,2667.53350,2649.74350,2703.11350,partial,0.5,99.82,49.91,10031.98,2024-09-26 09:00,,yes,
2024-10-15 07:00,2024-10-15 17:00,XAUUSD,short,2644.02000,2667.01050,2598.03900,loss,-1.0,100.32,-100.32,9931.66,2024-10-15 06:00,,,
2024-10-17 12:00,2024-10-30 02:00,XAUUSD,long,2685.42650,2638.04500,2780.18950,win,1.5,99.32,148.97,10080.63,2024-10-17 11:00,,yes,
2024-11-12 09:00,2024-11-22 02:00,XAUUSD,short,2602.47750,2675.52000,2456.39250,loss,-1.0,100.81,-100.81,9979.83,2024-11-12 08:00,,,
2024-12-12 02:00,2024-12-13 09:00,XAUUSD,long,2721.42500,2675.14500,2813.98500,loss,-1.0,99.80,-99.80,9880.03,2024-12-12 01:00,,,
2024-12-27 22:00,2024-12-31 16:00,XAUUSD,short,2621.81000,2639.32050,2586.78900,partial,0.5,98.80,49.40,9929.43,2024-12-27 14:00,,yes,
2025-01-07 16:00,2025-01-16 16:00,XAUUSD,long,2649.53000,2614.59550,2719.39900,win,1.5,99.29,148.94,10078.37,2025-01-07 13:00,,yes,
2025-01-21 04:00,2025-01-30 16:00,XAUUSD,long,2724.83350,2689.38000,2795.74050,win,1.5,100.78,151.18,10229.55,2025-01-21 03:00,,yes,
2025-01-30 18:00,2025-02-05 16:00,XAUUSD,long,2790.16000,2744.95600,2880.56800,win,1.5,102.30,153.44,10382.99,2025-01-30 16:00,,yes,
2025-02-10 08:00,2025-02-11 13:00,XAUUSD,long,2886.83500,2852.38000,2955.74500,partial,0.5,103.83,51.91,10434.90,2025-02-10 07:00,,yes,
2025-02-13 14:00,2025-02-25 16:00,XAUUSD,long,2909.31500,2864.04350,2999.85800,partial,0.5,104.35,52.17,10487.08,2025-02-13 04:00,,yes,
2025-03-13 05:00,2025-03-18 09:00,XAUUSD,long,2944.89650,2905.93000,3022.82950,win,1.5,104.87,157.31,10644.38,2025-03-13 04:00,,yes,
2025-03-19 07:00,2025-04-03 00:00,XAUUSD,long,3038.35150,2982.16500,3150.72450,win,1.5,106.44,159.67,10804.05,2025-03-19 06:00,,yes,
