entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-16 09:00,2023-10-16 14:00,USDJPY,long,149.49550,149.35100,149.78450,partial,0.5,100.00,50.00,10050.00,2023-10-16 09:00,yes,yes,
2023-10-19 09:00,2023-10-20 09:00,USDJPY,long,149.83400,149.65650,150.18900,loss,-1.0,100.50,-100.50,9949.50,2023-10-19 09:00,,,
2023-10-25 01:00,2023-10-25 07:00,EURUSD,long,1.05927,1.05821,1.06139,partial,0.5,99.50,49.75,9999.25,2023-10-25 01:00,,yes,
2023-10-25 01:00,2023-10-25 08:00,GBPJPY,long,182.35650,182.04500,182.97950,loss,-1.0,99.50,-99.50,9899.75,2023-10-25 01:00,,,
2023-10-31 17:00,2023-11-02 03:00,AUDCHF,long,0.57563,0.57220,0.58249,win,1.5,99.00,148.50,10048.25,2023-10-31 17:00,,yes,
2023-10-31 17:00,2023-11-29 15:00,EURCHF,long,0.96112,0.95558,0.97220,partial,0.5,99.00,49.50,10172.88,2023-10-31 17:00,,yes,
2023-11-03 01:00,2023-11-03 13:00,AUDUSD,long,0.64253,0.64119,0.64521,win,1.5,100.48,150.72,10198.97,2023-11-03 01:00,,yes,
2023-11-08 02:00,2023-11-08 16:00,AUDCHF,long,0.57932,0.57713,0.58370,loss,-1.0,101.99,-101.99,10096.98,2023-11-08 02:00,,,
2023-11-14 02:00,2023-11-14 14:00,USDJPY,long,151.73250,151.19550,152.80650,loss,-1.0,100.97,-100.97,9996.01,2023-11-14 02:00,,,
2023-11-15 22:00,2023-11-16 16:00,GBPJPY,long,187.90750,187.18600,189.35050,loss,-1.0,99.96,-99.96,9796.09,2023-11-15 22:00,,,
2023-11-16 02:00,2023-11-16 03:00,EURUSD,long,1.08438,1.08306,1.08702,loss,-1.0,99.96,-99.96,9896.05,2023-11-16 02:00,,,
2023-11-21 02:00,2023-11-22 07:00,AUDCHF,long,0.58064,0.57763,0.58666,loss,-1.0,97.96,-97.96,9698.13,2023-11-21 02:00,,,
2023-11-22 06:00,2023-11-22 07:00,GBPUSD,long,1.25254,1.25165,1.25432,loss,-1.0,97.96,-97.96,9600.17,2023-11-22 06:00,,,
2023-11-23 02:00,2023-11-28 02:00,USDJPY,short,149.18100,149.76000,148.02300,win,1.5,96.00,144.00,9744.17,2023-11-23 02:00,,yes,
2023-11-24 10:00,2023-11-28 17:00,AUDCHF,long,0.58040,0.57873,0.58374,win,1.5,96.00,144.00,10080.18,2023-11-24 10:00,,yes,
2023-11-24 14:00,2023-11-28 15:00,EURUSD,long,1.09220,1.08940,1.09780,win,1.5,96.00,144.00,9792.17,2023-11-24 14:00,,yes,
2023-11-24 18:00,2023-11-28 03:00,GBPJPY,long,188.51500,187.09700,191.35100,loss,-1.0,96.00,-96.00,9648.17,2023-11-24 18:00,,,
2023-11-27 14:00,2023-11-29 02:00,AUDUSD,long,0.66010,0.65658,0.66714,win,1.5,96.00,144.00,10224.18,2023-11-27 14:00,,yes,
2023-11-27 14:00,2023-11-28 16:00,GBPUSD,long,1.26253,1.25900,1.26959,win,1.5,96.00,144.00,9936.18,2023-11-27 14:00,,yes,
2023-11-28 18:00,2023-11-29 10:00,AUDCHF,long,0.58341,0.58106,0.58811,loss,-1.0,100.80,-100.80,10123.38,2023-11-28 18:00,,,
2023-11-28 18:00,2023-11-30 09:00,EURUSD,long,1.09870,1.09335,1.10940,loss,-1.0,100.80,-100.80,10122.94,2023-11-28 18:00,,,
2023-11-28 18:00,2023-11-30 15:00,GBPUSD,long,1.26924,1.26057,1.28658,loss,-1.0,100.80,-100.80,10022.14,2023-11-28 18:00,,,
2023-11-28 18:00,2023-12-07 10:00,USDJPY,short,147.55600,148.84250,144.98300,win,1.5,100.80,151.20,10073.12,2023-11-28 18:00,,yes,
2023-11-30 02:00,2023-11-30 03:00,AUDUSD,long,0.66206,0.66048,0.66522,partial,0.5,101.73,50.86,10223.74,2023-11-30 02:00,yes,yes,
2023-12-01 18:00,2023-12-28 09:00,EURCHF,short,0.94721,0.95466,0.93231,win,1.5,100.22,150.33,10628.28,2023-12-01 18:00,,yes,
