time,open,high,low,close
2023-08-25,0.56734,0.56739,0.56618,0.56628
2023-08-28,0.56671,0.56906,0.56561,0.56828
2023-08-29,0.56825,0.57076,0.5667,0.5692
2023-08-30,0.56927,0.57117,0.56685,0.56885
2023-08-31,0.56886,0.57292,0.56806,0.57279
2023-09-01,0.57271,0.57398,0.56947,0.57136
2023-09-04,0.57081,0.573,0.57036,0.57139
2023-09-05,0.57106,0.572,0.56489,0.56736
2023-09-06,0.56733,0.57065,0.56593,0.56885
2023-09-07,0.56881,0.57102,0.56729,0.56925
2023-09-08,0.56924,0.57092,0.56793,0.56956
2023-09-11,0.56981,0.57477,0.56875,0.57286
2023-09-12,0.57285,0.57384,0.57225,0.57282
2023-09-13,0.57279,0.574,0.57073,0.5739
2023-09-14,0.57387,0.57785,0.57281,0.57681
2023-09-15,0.57676,0.57953,0.57533,0.57724
2023-09-18,0.57719,0.57835,0.57607,0.57744
2023-09-19,0.57747,0.58072,0.57665,0.57937
2023-09-20,0.57953,0.5822,0.57905,0.57939
2023-09-21,0.57886,0.58148,0.57607,0.58032
2023-09-22,0.58028,0.58551,0.57885,0.5843
2023-09-25,0.58435,0.58675,0.58263,0.58583
2023-09-26,0.58582,0.58673,0.58408,0.58588
2023-09-27,0.58587,0.58709,0.58393,0.58525
2023-09-28,0.58526,0.58888,0.58376,0.58801
2023-09-29,0.58798,0.59244,0.58674,0.58878
2023-10-02,0.58794,0.59005,0.58339,0.58428
2023-10-03,0.58429,0.58486,0.57928,0.58055
2023-10-04,0.58103,0.58298,0.57928,0.58017
2023-10-05,0.58015,0.58268,0.57881,0.58109
2023-10-06,0.5811,0.58341,0.57886,0.58088
2023-10-09,0.57866,0.5814,0.57733,0.58123
2023-10-10,0.58127,0.58213,0.57905,0.58168
2023-10-11,0.58169,0.58262,0.5777,0.57852
2023-10-12,0.57857,0.57944,0.57313,0.57357
2023-10-13,0.57357,0.57453,0.56647,0.56826
2023-10-16,0.56827,0.5719,0.56748,0.57093
2023-10-17,0.5711,0.57414,0.56987,0.57299
2023-10-18,0.57302,0.57444,0.56868,0.56951
2023-10-19,0.56954,0.57,0.56374,0.56411
2023-10-20,0.56399,0.56451,0.5614,0.56328
2023-10-23,0.56347,0.56563,0.56136,0.56468
2023-10-24,0.56466,0.56896,0.56381,0.56764
2023-10-25,0.56768,0.57132,0.56539,0.56576
2023-10-26,0.56571,0.56915,0.56307,0.56819
2023-10-27,0.56821,0.57386,0.56752,0.57193
2023-10-30,0.57142,0.57669,0.57046,0.57496
2023-10-31,0.575,0.57712,0.5723,0.57692
2023-11-01,0.57694,0.58111,0.57456,0.58042
2023-11-02,0.58042,0.58303,0.5797,0.58292
2023-11-03,0.58291,0.58593,0.58169,0.58572
2023-11-06,0.58488,0.5861,0.5828,0.58361
2023-11-07,0.58359,0.58483,0.57723,0.57936
2023-11-08,0.57936,0.58102,0.57557,0.57571
2023-11-09,0.57571,0.57851,0.57476,0.57483
2023-11-10,0.57486,0.57575,0.5725,0.57441
2023-11-13,0.57353,0.57696,0.57326,0.57499
2023-11-14,0.57497,0.57874,0.57225,0.57852
2023-11-15,0.57853,0.57984,0.57666,0.57798
2023-11-16,0.57797,0.57827,0.57356,0.57498
2023-11-17,0.57498,0.57754,0.57376,0.57702
2023-11-20,0.57683,0.58071,0.57617,0.58022
2023-11-21,0.58021,0.58186,0.57878,0.57932
