time,open,high,low,close
2023-08-25,0.64189,0.64207,0.64018,0.6405
2023-08-28,0.6405,0.644,0.64019,0.64294
2023-08-29,0.64294,0.64868,0.64013,0.64804
2023-08-30,0.64807,0.65223,0.64494,0.64748
2023-08-31,0.64748,0.6508,0.64611,0.64842
2023-09-01,0.64844,0.6522,0.64385,0.64519
2023-09-04,0.64437,0.64806,0.64409,0.64609
2023-09-05,0.64606,0.64648,0.63576,0.63786
2023-09-06,0.63786,0.64047,0.63573,0.63823
2023-09-07,0.63826,0.6395,0.63623,0.63757
2023-09-08,0.63757,0.64149,0.63674,0.6377
2023-09-11,0.63853,0.64495,0.63784,0.6432
2023-09-12,0.64303,0.644,0.64085,0.64265
2023-09-13,0.64263,0.64342,0.63803,0.64216
2023-09-14,0.64214,0.64596,0.64172,0.64404
2023-09-15,0.644,0.64736,0.64248,0.64305
2023-09-18,0.6444,0.64489,0.64166,0.64372
2023-09-19,0.64372,0.64738,0.64278,0.64538
2023-09-20,0.64535,0.65114,0.64399,0.64478
2023-09-21,0.64477,0.64526,0.63855,0.64158
2023-09-22,0.6416,0.64655,0.64038,0.64416
2023-09-25,0.64443,0.64467,0.64043,0.64236
2023-09-26,0.64234,0.64306,0.63874,0.6397
2023-09-27,0.63972,0.64091,0.63315,0.63525
2023-09-28,0.63526,0.64324,0.63448,0.64272
2023-09-29,0.6427,0.6501,0.64162,0.64322
2023-10-02,0.6424,0.64451,0.63623,0.6363
2023-10-03,0.6363,0.63672,0.62855,0.6302
2023-10-04,0.6302,0.63425,0.62864,0.63252
2023-10-05,0.63253,0.63777,0.63217,0.637
2023-10-06,0.63701,0.64004,0.63127,0.63863
2023-10-09,0.63627,0.6415,0.63428,0.64108
2023-10-10,0.64121,0.64332,0.63902,0.64316
2023-10-11,0.64308,0.64454,0.63881,0.64139
2023-10-12,0.64152,0.64311,0.63072,0.63141
2023-10-13,0.63139,0.63345,0.62863,0.62955
2023-10-16,0.63045,0.6345,0.62999,0.63424
2023-10-17,0.63425,0.63799,0.63348,0.63648
2023-10-18,0.63648,0.63933,0.6328,0.63362
2023-10-19,0.63363,0.63567,0.6296,0.63291
2023-10-20,0.63289,0.6331,0.62974,0.63132
2023-10-23,0.6318,0.63488,0.6289,0.63362
2023-10-24,0.63362,0.63792,0.63308,0.63549
2023-10-25,0.6355,0.63997,0.63054,0.63087
2023-10-26,0.63087,0.63308,0.62702,0.63219
2023-10-27,0.63218,0.63681,0.63199,0.63353
2023-10-30,0.63404,0.6384,0.63326,0.63742
2023-10-31,0.63744,0.6377,0.63145,0.63369
2023-11-01,0.63369,0.63995,0.63184,0.63936
2023-11-02,0.63936,0.6456,0.63892,0.64342
2023-11-03,0.64342,0.65184,0.64199,0.65145
2023-11-06,0.65067,0.6523,0.64851,0.64889
2023-11-07,0.64891,0.65023,0.64041,0.64365
2023-11-08,0.64355,0.64495,0.63973,0.64021
2023-11-09,0.6402,0.64284,0.63634,0.63662
2023-11-10,0.63662,0.63716,0.63387,0.63607
2023-11-13,0.63521,0.63914,0.63514,0.63769
2023-11-14,0.63769,0.65124,0.63605,0.65071
