time,open,high,low,close
2023-08-25,0.95522,0.95539,0.95447,0.95479
2023-08-28,0.95557,0.95636,0.95405,0.95625
2023-08-29,0.95622,0.95693,0.95422,0.9557
2023-08-30,0.95569,0.95978,0.9548,0.95966
2023-08-31,0.95969,0.9603,0.9569,0.95793
2023-09-01,0.95786,0.95869,0.9541,0.95437
2023-09-04,0.95493,0.95566,0.95361,0.95488
2023-09-05,0.9547,0.95522,0.9521,0.95371
2023-09-06,0.9537,0.95768,0.95303,0.95595
2023-09-07,0.95608,0.95739,0.95461,0.95515
2023-09-08,0.95514,0.95649,0.95355,0.95568
2023-09-11,0.95599,0.95853,0.95476,0.95776
2023-09-12,0.95788,0.95912,0.95447,0.95851
2023-09-13,0.95861,0.96018,0.95721,0.9589
2023-09-14,0.95888,0.96,0.95301,0.95324
2023-09-15,0.95324,0.95721,0.95278,0.95687
2023-09-18,0.95575,0.95925,0.95491,0.95915
2023-09-19,0.95916,0.9599,0.95698,0.95877
2023-09-20,0.95877,0.9605,0.95796,0.95808
2023-09-21,0.9581,0.96774,0.95634,0.96435
2023-09-22,0.9643,0.96663,0.96243,0.96552
2023-09-25,0.96582,0.96859,0.9652,0.96607
2023-09-26,0.96606,0.9683,0.965,0.9682
2023-09-27,0.96824,0.9694,0.96581,0.96758
2023-09-28,0.96756,0.9686,0.96589,0.96664
2023-09-29,0.96664,0.9693,0.96453,0.96767
2023-10-02,0.96762,0.96835,0.96157,0.96223
2023-10-03,0.96219,0.9676,0.96157,0.96401
2023-10-04,0.96401,0.96539,0.96189,0.96347
2023-10-05,0.96351,0.96476,0.96131,0.96256
2023-10-06,0.96256,0.96379,0.96137,0.96351
2023-10-09,0.95968,0.96091,0.95591,0.95779
2023-10-10,0.95779,0.96149,0.95607,0.95937
2023-10-11,0.95941,0.96039,0.95633,0.95769
2023-10-12,0.95768,0.95841,0.95449,0.95641
2023-10-13,0.95642,0.95738,0.94571,0.94789
2023-10-16,0.94836,0.95232,0.94749,0.95058
2023-10-17,0.9506,0.95339,0.94988,0.9522
2023-10-18,0.95215,0.95303,0.94494,0.94721
2023-10-19,0.94721,0.9485,0.94278,0.9431
2023-10-20,0.94308,0.94566,0.94176,0.94508
2023-10-23,0.94485,0.95127,0.94428,0.95091
2023-10-24,0.95092,0.95159,0.94573,0.94599
2023-10-25,0.946,0.94891,0.94559,0.94756
2023-10-26,0.94755,0.95001,0.94595,0.94924
2023-10-27,0.94923,0.95652,0.94867,0.95376
