time,open,high,low,close
2023-08-25,1.08074,1.08108,1.07911,1.0794
2023-08-28,1.07975,1.08222,1.07935,1.08189
2023-08-29,1.0819,1.0892,1.07823,1.088
2023-08-30,1.08796,1.09457,1.08552,1.09232
2023-08-31,1.09234,1.09396,1.08352,1.08433
2023-09-01,1.08435,1.0882,1.07721,1.07754
2023-09-04,1.07789,1.08088,1.07717,1.07958
2023-09-05,1.07956,1.07984,1.07062,1.07222
2023-09-06,1.07221,1.0749,1.07027,1.07274
2023-09-07,1.07275,1.07319,1.06861,1.06965
2023-09-08,1.06966,1.07439,1.06942,1.06995
2023-09-11,1.07147,1.07594,1.07083,1.07503
2023-09-12,1.07505,1.07694,1.07056,1.07541
2023-09-13,1.07542,1.07649,1.07111,1.07298
2023-09-14,1.07295,1.07522,1.06319,1.06431
2023-09-15,1.06431,1.06879,1.06333,1.06597
2023-09-18,1.06628,1.06987,1.06547,1.0692
2023-09-19,1.06921,1.0718,1.06751,1.06792
2023-09-20,1.06791,1.07369,1.06502,1.06608
2023-09-21,1.06607,1.06736,1.06169,1.06621
2023-09-22,1.06622,1.06718,1.0615,1.06458
2023-09-25,1.06557,1.06559,1.05754,1.05932
2023-09-26,1.05933,1.0609,1.05621,1.05725
2023-09-27,1.05723,1.05743,1.04881,1.05025
2023-09-28,1.05025,1.05789,1.0491,1.05654
2023-09-29,1.05655,1.0617,1.0558,1.05715
2023-10-02,1.057,1.05919,1.04771,1.04775
2023-10-03,1.04775,1.04935,1.04483,1.04665
2023-10-04,1.04666,1.05322,1.04514,1.05041
2023-10-05,1.05042,1.05519,1.05001,1.05499
2023-10-06,1.0549,1.06,1.04826,1.05866
2023-10-09,1.0553,1.05744,1.05195,1.05667
2023-10-10,1.05669,1.06198,1.05544,1.06056
2023-10-11,1.06056,1.06347,1.0581,1.06201
2023-10-12,1.06198,1.06399,1.05259,1.05283
2023-10-13,1.05281,1.05585,1.04955,1.05094
2023-10-16,1.05146,1.05628,1.05074,1.05604
2023-10-17,1.05603,1.05949,1.05329,1.05774
2023-10-18,1.05773,1.05943,1.05232,1.05367
2023-10-19,1.05366,1.06164,1.05282,1.05827
2023-10-20,1.05826,1.06037,1.05651,1.05948
2023-10-23,1.05973,1.0678,1.05715,1.06696
2023-10-24,1.06698,1.06944,1.05831,1.05902
2023-10-25,1.059,1.06068,1.05656,1.05661
2023-10-26,1.05663,1.05708,1.05222,1.05625
2023-10-27,1.05625,1.05971,1.05354,1.05626
2023-10-30,1.05704,1.06251,1.05472,1.06151
2023-10-31,1.06151,1.06749,1.05575,1.05748
2023-11-01,1.05746,1.05807,1.05169,1.05703
2023-11-02,1.05702,1.06677,1.05676,1.06218
2023-11-03,1.0622,1.07468,1.06148,1.07316
2023-11-06,1.07258,1.07563,1.07163,1.07176
2023-11-07,1.07175,1.07225,1.06642,1.06999
2023-11-08,1.07,1.07161,1.06594,1.07088
2023-11-09,1.07087,1.07255,1.06602,1.06678
2023-11-10,1.06677,1.06928,1.06562,1.06868
2023-11-13,1.06852,1.07062,1.06651,1.06981
2023-11-14,1.06982,1.08876,1.06929,1.08791
2023-11-15,1.08791,1.08859,1.08316,1.08473
2023-11-16,1.08478,1.08956,1.08301,1.08522
2023-11-17,1.08524,1.09164,1.08248,1.09159
2023-11-20,1.09129,1.09518,1.08975,1.094
2023-11-21,1.094,1.09652,1.09002,1.09107
2023-11-22,1.09109,1.0923,1.08523,1.08887
2023-11-23,1.08884,1.09307,1.08835,1.09055
2023-11-24,1.09057,1.09488,1.0895,1.09406
2023-11-27,1.09451,1.09593,1.09252,1.09537
2023-11-28,1.09536,1.10089,1.09345,1.09925
2023-11-29,1.0993,1.10173,1.09602,1.09692
2023-11-30,1.09693,1.0984,1.08795,1.08878
2023-12-01,1.08872,1.09129,1.08289,1.08824
2023-12-04,1.08798,1.08949,1.08041,1.08362
2023-12-05,1.08356,1.08475,1.07782,1.07966
2023-12-06,1.07964,1.08048,1.07587,1.07641
2023-12-07,1.07639,1.08176,1.07553,1.07939
2023-12-08,1.07941,1.08007,1.07238,1.07635
2023-12-11,1.07611,1.0779,1.07416,1.07647
2023-12-12,1.07647,1.08282,1.07591,1.07943
2023-12-13,1.07946,1.08966,1.07732,1.0874
2023-12-14,1.08741,1.10092,1.08723,1.09931
2023-12-15,1.09934,1.10038,1.08886,1.08942
2023-12-18,1.08995,1.09313,1.08921,1.09235
2023-12-19,1.09235,1.09875,1.09149,1.09811
2023-12-20,1.09813,1.09846,1.09299,1.0942
2023-12-21,1.09414,1.10127,1.09353,1.10112
2023-12-22,1.10114,1.10402,1.09939,1.10141
2023-12-25,1.10159,1.1023,1.09939,1.10177
2023-12-26,1.10095,1.10451,1.10075,1.10422
2023-12-27,1.10426,1.11227,1.10286,1.11051
2023-12-28,1.11055,1.11395,1.10553,1.1061
2023-12-29,1.10608,1.10844,1.1034,1.10384
2024-01-02,1.10454,1.10469,1.09384,1.09413
2024-01-03,1.0942,1.09654,1.0893,1.09212
2024-01-04,1.09213,1.09722,1.09161,1.09444
2024-01-05,1.09451,1.09985,1.08769,1.09422
2024-01-08,1.09462,1.09789,1.09227,1.09502
2024-01-09,1.09504,1.09664,1.09104,1.09315
2024-01-10,1.09315,1.09732,1.09229,1.09728
2024-01-11,1.09729,1.10001,1.09303,1.09721
2024-01-12,1.09722,1.0987,1.0936,1.09508
2024-01-15,1.09515,1.09676,1.09336,1.09509
2024-01-16,1.0951,1.09517,1.08622,1.08752
2024-01-17,1.08752,1.08846,1.08447,1.08825
2024-01-18,1.08825,1.09069,1.08467,1.08763
2024-01-19,1.08764,1.08987,1.08657,1.08971
2024-01-22,1.08917,1.09096,1.088,1.08826
2024-01-23,1.08827,1.09163,1.08216,1.08542
2024-01-24,1.08542,1.09324,1.08481,1.08849
2024-01-25,1.08849,1.0902,1.08217,1.08464
2024-01-26,1.08459,1.08859,1.08129,1.08535
2024-01-29,1.08468,1.08501,1.07959,1.0833
2024-01-30,1.08332,1.08574,1.0812,1.08455
2024-01-31,1.08455,1.08875,1.0795,1.08186
2024-02-01,1.08189,1.08749,1.078,1.08719
2024-02-02,1.0872,1.08976,1.07805,1.07866
2024-02-05,1.07868,1.0787,1.07233,1.07424
2024-02-06,1.07425,1.07625,1.07226,1.07544
2024-02-07,1.07547,1.07839,1.07513,1.07713
2024-02-08,1.07712,1.07889,1.07417,1.07776
