time,open,high,low,close
2023-08-28,1.84406,1.84709,1.84253,1.84662
2023-08-29,1.84676,1.85268,1.84074,1.84442
2023-08-30,1.84442,1.86077,1.84349,1.8605
2023-08-31,1.86049,1.86083,1.84085,1.8445
2023-09-01,1.84451,1.84564,1.83541,1.84102
2023-09-04,1.8414,1.85088,1.83846,1.84969
2023-09-05,1.84859,1.85787,1.84073,1.856
2023-09-06,1.85625,1.85722,1.84254,1.84687
2023-09-07,1.84692,1.84776,1.83378,1.83716
2023-09-08,1.83717,1.84469,1.83068,1.84267
2023-09-11,1.83414,1.83913,1.82684,1.83368
2023-09-12,1.83413,1.83946,1.82946,1.83733
2023-09-13,1.83735,1.84392,1.83194,1.8418
2023-09-14,1.84181,1.8419,1.82519,1.83
2023-09-15,1.83013,1.83916,1.82777,1.83072
2023-09-18,1.83056,1.83347,1.82723,1.82787
2023-09-19,1.82782,1.83495,1.82721,1.83229
2023-09-20,1.8323,1.83352,1.82456,1.83116
2023-09-21,1.83114,1.83125,1.80808,1.81452
2023-09-22,1.81479,1.8231,1.8121,1.81612
2023-09-25,1.81756,1.81959,1.81409,1.81807
2023-09-26,1.81812,1.81854,1.81052,1.81237
2023-09-27,1.81235,1.81682,1.80887,1.81585
2023-09-28,1.81584,1.82428,1.81061,1.82151
2023-09-29,1.82161,1.83025,1.8189,1.82221
2023-10-02,1.82435,1.82824,1.81117,1.81129
2023-10-03,1.81168,1.81379,1.78057,1.79971
2023-10-04,1.7992,1.81261,1.79566,1.80964
2023-10-05,1.80964,1.81085,1.8029,1.81065
2023-10-06,1.8095,1.82982,1.80847,1.82688
2023-10-09,1.81983,1.8232,1.81258,1.81733
2023-10-10,1.81734,1.82791,1.81547,1.82717
2023-10-11,1.82626,1.83751,1.82489,1.83675
2023-10-12,1.83671,1.8382,1.82336,1.82387
2023-10-13,1.82388,1.82948,1.81275,1.81588
2023-10-16,1.81371,1.82741,1.81287,1.82654
2023-10-17,1.82669,1.82808,1.81029,1.82519
2023-10-18,1.82521,1.82815,1.81851,1.82017
2023-10-19,1.82018,1.82526,1.81176,1.81902
2023-10-20,1.81902,1.82375,1.813,1.82275
2023-10-23,1.82247,1.83434,1.82089,1.8338
2023-10-24,1.83381,1.8376,1.82055,1.82295
2023-10-25,1.82299,1.82455,1.81633,1.81953
2023-10-26,1.81906,1.82586,1.8114,1.82401
2023-10-27,1.82388,1.82509,1.81048,1.81432
2023-10-30,1.81271,1.81883,1.8077,1.81421
2023-10-31,1.81402,1.84396,1.81298,1.84368
2023-11-01,1.84213,1.84358,1.82946,1.83431
2023-11-02,1.83435,1.8373,1.82739,1.83583
2023-11-03,1.83574,1.85022,1.83231,1.84945
2023-11-06,1.84802,1.85966,1.84738,1.85247
2023-11-07,1.85249,1.85466,1.8465,1.84939
2023-11-08,1.84943,1.85675,1.8455,1.85459
2023-11-09,1.85482,1.85899,1.84847,1.85001
2023-11-10,1.85,1.85344,1.8464,1.85273
2023-11-13,1.85196,1.86326,1.84993,1.863
2023-11-14,1.86307,1.88292,1.86056,1.87959
2023-11-15,1.8796,1.88241,1.87196,1.87907
2023-11-16,1.8791,1.87955,1.86831,1.87114
2023-11-17,1.87116,1.87198,1.85319,1.86457
2023-11-20,1.86364,1.86794,1.84634,1.85558
2023-11-21,1.85554,1.86099,1.84464,1.86067
2023-11-22,1.85986,1.87026,1.85639,1.86841
2023-11-23,1.86831,1.87677,1.86285,1.87466
2023-11-24,1.87391,1.88666,1.87107,1.88338
2023-11-27,1.88332,1.88539,1.87607,1.87752
2023-11-28,1.8775,1.87878,1.87056,1.87214
2023-11-29,1.87214,1.87539,1.86626,1.86933
2023-11-30,1.86932,1.87568,1.86233,1.87078
2023-12-01,1.87079,1.87523,1.86196,1.86596
2023-12-04,1.86486,1.86593,1.85074,1.85974
2023-12-05,1.85974,1.86196,1.85067,1.85358
2023-12-06,1.85384,1.85813,1.84993,1.8502
2023-12-07,1.85018,1.85034,1.78572,1.81509
2023-12-08,1.81488,1.82045,1.79556,1.81905
2023-12-11,1.81723,1.8433,1.81648,1.83516
2023-12-12,1.83515,1.83589,1.82275,1.82727
2023-12-13,1.82715,1.83157,1.80199,1.80289
2023-12-14,1.80288,1.8122,1.78348,1.8114
2023-12-15,1.81117,1.8174,1.79824,1.80226
2023-12-18,1.80278,1.81183,1.79966,1.80563
2023-12-19,1.80508,1.84181,1.80046,1.83142
2023-12-20,1.8313,1.83343,1.81275,1.81454
2023-12-21,1.81452,1.8155,1.79785,1.80317
2023-12-22,1.80315,1.81339,1.79949,1.80826
2023-12-25,1.80804,1.80973,1.80261,1.80902
2023-12-26,1.8067,1.81302,1.80498,1.81207
2023-12-27,1.81211,1.82193,1.81058,1.81513
2023-12-28,1.81512,1.81512,1.79004,1.80055
2023-12-29,1.7999,1.80537,1.79312,1.79554
2024-01-02,1.79302,1.80655,1.78741,1.79136
2024-01-03,1.79135,1.81757,1.7905,1.81477
2024-01-04,1.81478,1.83786,1.81016,1.83427
2024-01-05,1.83432,1.84327,1.83285,1.83975
2024-01-08,1.83847,1.84234,1.83022,1.83869
2024-01-09,1.83868,1.83988,1.82757,1.8363
2024-01-10,1.83579,1.85756,1.83415,1.8573
2024-01-11,1.85729,1.86169,1.85257,1.85359
2024-01-12,1.85417,1.85664,1.84478,1.84787
2024-01-15,1.84769,1.85758,1.84625,1.85494
2024-01-16,1.85528,1.8619,1.84978,1.86001
2024-01-17,1.85976,1.88127,1.8584,1.8782
2024-01-18,1.87823,1.88271,1.8732,1.88255
2024-01-19,1.88267,1.88938,1.87415,1.88214
2024-01-22,1.88153,1.88401,1.87765,1.88227
2024-01-23,1.88225,1.88926,1.87349,1.88246
2024-01-24,1.8814,1.88479,1.87124,1.87713
2024-01-25,1.877,1.88197,1.87158,1.87651
2024-01-26,1.87647,1.88566,1.87338,1.88225
2024-01-29,1.88062,1.88298,1.87116,1.87453
2024-01-30,1.87451,1.87525,1.86518,1.87445
2024-01-31,1.87445,1.87626,1.85963,1.86393
2024-02-01,1.86287,1.86659,1.8523,1.86618
2024-02-02,1.86627,1.87739,1.8644,1.87463
2024-02-05,1.87502,1.87668,1.86176,1.86385
2024-02-06,1.86401,1.86787,1.86187,1.86376
2024-02-07,1.8637,1.87268,1.86191,1.87098
2024-02-08,1.87123,1.88488,1.86875,1.88399
2024-02-09,1.88401,1.88869,1.88236,1.88534
2024-02-12,1.88468,1.88725,1.87858,1.88606
2024-02-13,1.88599,1.90077,1.88444,1.89905
2024-02-14,1.89906,1.89956,1.88758,1.89241
2024-02-15,1.89132,1.89226,1.87994,1.88895
2024-02-16,1.88894,1.89519,1.88742,1.89291
2024-02-19,1.89367,1.89392,1.88909,1.89083
2024-02-20,1.89087,1.89729,1.8903,1.89351
2024-02-21,1.89348,1.89958,1.89157,1.89949
2024-02-22,1.89952,1.90843,1.89855,1.90577
2024-02-23,1.90579,1.91147,1.90405,1.90703
2024-02-26,1.90725,1.9132,1.9034,1.91173
2024-02-27,1.91175,1.91247,1.9037,1.90918
2024-02-28,1.90919,1.90997,1.90268,1.90807
2024-02-29,1.9081,1.90837,1.89049,1.89341
2024-03-01,1.89342,1.904,1.89214,1.89968
2024-03-04,1.89922,1.91195,1.89783,1.91048
2024-03-05,1.91046,1.91119,1.90314,1.90648
2024-03-06,1.90643,1.9072,1.89859,1.90182
2024-03-07,1.90168,1.90249,1.88234,1.89632
2024-03-08,1.89631,1.8972,1.88389,1.89091
2024-03-11,1.89182,1.89269,1.87961,1.88294
2024-03-12,1.88183,1.89203,1.87982,1.88922
2024-03-13,1.88813,1.89549,1.88416,1.89092
2024-03-14,1.89092,1.89522,1.88597,1.89159
2024-03-15,1.89162,1.9003,1.88592,1.89821
2024-03-18,1.89724,1.9016,1.89539,1.8986
2024-03-19,1.89859,1.92171,1.89636,1.91921
2024-03-20,1.91919,1.93538,1.91808,1.93391
2024-03-21,1.93389,1.9351,1.91846,1.91921
2024-03-22,1.91931,1.92242,1.90389,1.90801
2024-03-25,1.90875,1.91568,1.90347,1.91337
2024-03-26,1.91336,1.91679,1.91104,1.91391
2024-03-27,1.9139,1.91535,1.90509,1.9116
2024-03-28,1.91152,1.91335,1.90568,1.91039
2024-03-29,1.91047,1.91237,1.90775,1.91034
2024-04-01,1.91236,1.91358,1.9018,1.90342
2024-04-02,1.90342,1.90721,1.90043,1.90626
2024-04-03,1.90617,1.91942,1.90426,1.91931
2024-04-04,1.91925,1.9225,1.91019,1.91334
2024-04-05,1.91334,1.91647,1.9068,1.91626
2024-04-08,1.91486,1.92198,1.91376,1.92152
2024-04-09,1.92124,1.92856,1.9201,1.9244
2024-04-10,1.92389,1.93017,1.91474,1.92067
2024-04-11,1.92023,1.92585,1.91566,1.92395
2024-04-12,1.92396,1.92455,1.89994,1.90836
2024-04-15,1.90536,1.92719,1.90365,1.9201
2024-04-16,1.9201,1.92817,1.91648,1.92261
2024-04-17,1.92263,1.92845,1.91683,1.92271
2024-04-18,1.9227,1.92786,1.91905,1.92313
2024-04-19,1.92312,1.92729,1.90306,1.91279
2024-04-22,1.91392,1.91704,1.9032,1.91225
2024-04-23,1.91206,1.92852,1.90832,1.92755
2024-04-24,1.92758,1.93649,1.92416,1.93621
2024-04-25,1.93615,1.94948,1.93263,1.94779
2024-04-26,1.94762,1.97938,1.93966,1.97812
2024-04-29,1.97134,2.00576,1.93612,1.96432
2024-04-30,1.96422,1.97378,1.96078,1.97115
2024-05-01,1.97087,1.97428,1.91776,1.93593
2024-05-02,1.93777,1.95756,1.9186,1.92559
2024-05-03,1.92636,1.9278,1.91364,1.91968
2024-05-06,1.91976,1.93673,1.91698,1.93384
2024-05-07,1.934,1.94137,1.92995,1.93499
2024-05-08,1.935,1.94514,1.93277,1.94393
2024-05-09,1.94247,1.94866,1.93841,1.94714
2024-05-10,1.94663,1.95344,1.94484,1.95114
2024-05-13,1.94941,1.96283,1.94739,1.96203
2024-05-14,1.96226,1.97063,1.95725,1.96955
2024-05-15,1.96955,1.97096,1.95851,1.96474
2024-05-16,1.96475,1.96927,1.9505,1.96881
2024-05-17,1.96881,1.97863,1.96781,1.97711
2024-05-20,1.97586,1.98647,1.97392,1.98552
2024-05-21,1.98548,1.98913,1.98268,1.98481
2024-05-22,1.9848,1.99545,1.98341,1.99402
2024-05-23,1.99404,1.99899,1.99022,1.99274
2024-05-24,1.99173,2.00068,1.99046,1.99956
2024-05-27,2.00059,2.00436,1.99615,2.00349
2024-05-28,2.00352,2.0065,2.00157,2.00583
2024-05-29,2.00527,2.00745,2.00049,2.00221
2024-05-30,2.00252,2.00298,1.98756,1.99663
2024-05-31,1.9966,2.0052,1.9924,2.00432
2024-06-03,2.00293,2.0065,1.99226,1.99881
2024-06-04,1.99858,2.00422,1.97206,1.97789
2024-06-05,1.97786,1.99751,1.97662,1.99607
2024-06-06,1.99602,1.99942,1.98834,1.99029
2024-06-07,1.99015,1.99815,1.98398,1.99388
2024-06-10,1.99521,2.00051,1.98941,1.99918
2024-06-11,1.99897,2.00404,1.99684,2.00181
2024-06-12,2.00134,2.00983,1.99945,2.0057
2024-06-13,2.0057,2.01321,1.99695,2.00398
2024-06-14,2.00394,2.01619,1.98923,1.99676
2024-06-17,1.99696,2.00455,1.99064,2.00404
2024-06-18,2.00352,2.00849,1.99985,2.00617
2024-06-19,2.00617,2.01148,2.0042,2.01094
2024-06-20,2.01028,2.01392,2.00802,2.01175
2024-06-21,2.0118,2.02089,2.0048,2.02033
2024-06-24,2.01999,2.02705,2.01131,2.02512
2024-06-25,2.02499,2.02728,2.01966,2.02581
2024-06-26,2.02577,2.03153,2.02424,2.02982
2024-06-27,2.03004,2.03389,2.02503,2.03203
2024-06-28,2.03219,2.03597,2.02569,2.03425
2024-07-01,2.0354,2.04778,2.03296,2.04258
2024-07-02,2.04256,2.04867,2.03882,2.04805
2024-07-03,2.04605,2.06171,2.04563,2.06039
2024-07-04,2.05997,2.0613,2.05294,2.05771
2024-07-05,2.05816,2.06448,2.04987,2.06053
2024-07-08,2.05713,2.06669,2.05295,2.05968
2024-07-09,2.05967,2.06589,2.05866,2.06264
2024-07-10,2.06222,2.07823,2.0614,2.07753
2024-07-11,2.07756,2.08169,2.03838,2.05135
2024-07-12,2.05044,2.06343,2.03843,2.05025
2024-07-15,2.05111,2.05408,2.0415,2.05065
2024-07-16,2.04985,2.0579,2.04855,2.05415
2024-07-17,2.05323,2.05695,2.03019,2.03209
2024-07-18,2.0316,2.03871,2.02107,2.03697
2024-07-19,2.03728,2.0423,2.02954,2.03428
2024-07-22,2.03352,2.03613,2.01893,2.03095
2024-07-23,2.03085,2.03163,2.0075,2.00825
2024-07-24,2.00819,2.01187,1.97773,1.98623
2024-07-25,1.98625,1.98808,1.95867,1.97838
2024-07-26,1.97852,1.99146,1.96893,1.9786
2024-07-29,1.97751,1.98615,1.96788,1.98103
2024-07-30,1.9802,1.99474,1.95953,1.9608
2024-07-31,1.96148,1.97611,1.92172,1.92819
2024-08-01,1.92776,1.93261,1.90175,1.90286
2024-08-02,1.90361,1.90515,1.87382,1.87623
2024-08-05,1.87677,1.87767,1.801,1.8422
2024-08-06,1.84119,1.87111,1.82812,1.83195
2024-08-07,1.83156,1.88087,1.83106,1.8617
2024-08-08,1.86144,1.87881,1.84481,1.87757
2024-08-09,1.87661,1.8843,1.86477,1.87116
2024-08-12,1.87149,1.89335,1.87108,1.87929
2024-08-13,1.87982,1.89519,1.87587,1.88874
2024-08-14,1.88813,1.89448,1.87871,1.88991
2024-08-15,1.89031,1.92021,1.88756,1.91911
2024-08-16,1.91934,1.9205,1.90375,1.91066
2024-08-19,1.90974,1.91631,1.88241,1.90457
2024-08-20,1.90443,1.91275,1.89233,1.89332
2024-08-21,1.89336,1.91482,1.8894,1.90177
2024-08-22,1.90058,1.91961,1.89643,1.91508
2024-08-23,1.91421,1.92038,1.90274,1.90791
2024-08-26,1.90578,1.90792,1.89506,1.9059
2024-08-27,1.90587,1.91925,1.90246,1.90897
2024-08-28,1.90855,1.91451,1.90361,1.90731
2024-08-29,1.90702,1.91548,1.90254,1.90922
2024-08-30,1.90898,1.92023,1.90499,1.91887
2024-09-02,1.91809,1.93485,1.91336,1.93156
2024-09-03,1.93108,1.93364,1.90324,1.9078
2024-09-04,1.90841,1.90955,1.88922,1.88965
2024-09-05,1.88954,1.8979,1.88072,1.89061
2024-09-06,1.89055,1.89616,1.86513,1.86852
2024-09-09,1.86924,1.88129,1.86428,1.87211
2024-09-10,1.87194,1.88102,1.85728,1.86338
2024-09-11,1.86279,1.86401,1.83722,1.85675
2024-09-12,1.85683,1.86736,1.8529,1.86124
2024-09-13,1.86157,1.86224,1.84368,1.84869
2024-09-16,1.84788,1.86044,1.83767,1.85841
2024-09-17,1.85847,1.87454,1.85292,1.87421
2024-09-18,1.87426,1.88057,1.85829,1.88009
2024-09-19,1.88014,1.90396,1.87431,1.8947
2024-09-20,1.89469,1.91995,1.88696,1.91668
2024-09-23,1.91833,1.92443,1.90136,1.91685
2024-09-24,1.9161,1.93328,1.91342,1.92105
2024-09-25,1.92076,1.9327,1.91764,1.92873
2024-09-26,1.92872,1.94361,1.92512,1.94281
2024-09-27,1.94272,1.95976,1.90007,1.90141
2024-09-30,1.90204,1.92319,1.89563,1.92104
2024-10-01,1.92097,1.93363,1.89854,1.9073
2024-10-02,1.90729,1.94426,1.90419,1.94326
2024-10-03,1.94182,1.95179,1.92132,1.92845
2024-10-04,1.92837,1.9553,1.91738,1.95162
2024-10-07,1.95032,1.95626,1.93346,1.93876
2024-10-08,1.93885,1.94376,1.9289,1.9419
