time,open,high,low,close
2023-08-28,1.25837,1.26076,1.25727,1.2602
2023-08-29,1.26019,1.26552,1.25628,1.26439
2023-08-30,1.26436,1.27464,1.26189,1.27211
2023-08-31,1.27212,1.27346,1.26526,1.26741
2023-09-01,1.26745,1.27132,1.25774,1.25876
2023-09-04,1.25952,1.26427,1.25866,1.26268
2023-09-05,1.26269,1.26321,1.2528,1.2564
2023-09-06,1.25641,1.25881,1.2482,1.25073
2023-09-07,1.25076,1.25111,1.24459,1.24725
2023-09-08,1.24727,1.25144,1.24512,1.2469
2023-09-11,1.24946,1.2548,1.24714,1.25092
2023-09-12,1.25093,1.25305,1.24596,1.24917
2023-09-13,1.24932,1.25119,1.24347,1.249
2023-09-14,1.24899,1.25063,1.23965,1.24091
2023-09-15,1.24092,1.24459,1.23781,1.23832
2023-09-18,1.23889,1.24106,1.23704,1.23836
2023-09-19,1.23836,1.24249,1.23701,1.23922
2023-09-20,1.23931,1.24215,1.23319,1.23441
2023-09-21,1.23441,1.23515,1.22342,1.22964
2023-09-22,1.22953,1.22994,1.22308,1.22421
2023-09-25,1.22555,1.22602,1.21937,1.22116
2023-09-26,1.22111,1.22157,1.21524,1.21584
2023-09-27,1.21586,1.21646,1.21105,1.21354
2023-09-28,1.21349,1.22247,1.21201,1.22016
2023-09-29,1.2201,1.22719,1.21803,1.22002
2023-10-02,1.21997,1.222,1.20862,1.20873
2023-10-03,1.20867,1.21019,1.20524,1.20769
2023-10-04,1.2077,1.2177,1.20373,1.21342
2023-10-05,1.21348,1.2196,1.21078,1.21907
2023-10-06,1.21915,1.22614,1.21057,1.22386
2023-10-09,1.22056,1.22444,1.21632,1.22381
2023-10-10,1.22378,1.22916,1.22118,1.22862
2023-10-11,1.22865,1.23375,1.22688,1.23133
2023-10-12,1.23133,1.23318,1.21718,1.21747
2023-10-13,1.21747,1.22255,1.21227,1.2143
2023-10-16,1.21463,1.22196,1.21359,1.22167
2023-10-17,1.22168,1.22174,1.21332,1.21829
2023-10-18,1.21836,1.22111,1.21373,1.21403
2023-10-19,1.21401,1.21918,1.20901,1.21441
2023-10-20,1.21437,1.21704,1.20932,1.21621
2023-10-23,1.21573,1.22586,1.21434,1.22489
2023-10-24,1.22489,1.2289,1.21534,1.21601
2023-10-25,1.216,1.21761,1.21066,1.21116
2023-10-26,1.21117,1.21398,1.20694,1.21288
2023-10-27,1.21286,1.21626,1.21056,1.21208
2023-10-30,1.21306,1.21747,1.20903,1.21697
2023-10-31,1.21697,1.22006,1.21195,1.21536
2023-11-01,1.21531,1.21645,1.20958,1.21516
2023-11-02,1.21515,1.22257,1.21388,1.2203
2023-11-03,1.22032,1.23897,1.21847,1.23831
2023-11-06,1.237,1.24286,1.23382,1.23451
2023-11-07,1.23452,1.23492,1.22625,1.23007
2023-11-08,1.23006,1.23046,1.22418,1.22841
2023-11-09,1.22842,1.23087,1.22128,1.22234
2023-11-10,1.22234,1.22379,1.21871,1.22266
2023-11-13,1.22143,1.22803,1.22099,1.22795
2023-11-14,1.22788,1.25062,1.22655,1.24987
2023-11-15,1.24992,1.25027,1.24038,1.24165
2023-11-16,1.24167,1.2456,1.23765,1.24145
2023-11-17,1.2415,1.2465,1.2374,1.24607
2023-11-20,1.24539,1.25176,1.24459,1.25054
2023-11-21,1.2505,1.25594,1.25009,1.25386
2023-11-22,1.25388,1.25498,1.24492,1.24943
2023-11-23,1.2494,1.25697,1.2489,1.25335
2023-11-24,1.2534,1.26154,1.25245,1.26078
2023-11-27,1.26015,1.26443,1.2591,1.26272
2023-11-28,1.26276,1.2715,1.26067,1.26944
2023-11-29,1.26946,1.27335,1.26646,1.2696
2023-11-30,1.26954,1.27107,1.26035,1.26236
2023-12-01,1.26243,1.27162,1.2614,1.27105
2023-12-04,1.26912,1.27245,1.26037,1.26333
2023-12-05,1.26328,1.2652,1.25773,1.25959
2023-12-06,1.2596,1.26137,1.25517,1.25598
2023-12-07,1.25602,1.26127,1.25445,1.2594
2023-12-08,1.25941,1.26015,1.25025,1.25492
2023-12-11,1.25384,1.2591,1.25326,1.25556
2023-12-12,1.25554,1.26158,1.25143,1.25628
2023-12-13,1.25623,1.26349,1.25003,1.26181
2023-12-14,1.26178,1.27942,1.26121,1.27665
2023-12-15,1.27668,1.27906,1.26685,1.26805
2023-12-18,1.26891,1.2704,1.26289,1.26473
2023-12-19,1.26479,1.27618,1.26418,1.27323
2023-12-20,1.2732,1.27353,1.2625,1.26387
2023-12-21,1.26385,1.26961,1.26123,1.26896
2023-12-22,1.269,1.27445,1.26789,1.2698
2023-12-25,1.27259,1.27297,1.26825,1.26953
2023-12-26,1.26902,1.27304,1.26846,1.27251
2023-12-27,1.27256,1.28026,1.26987,1.27982
2023-12-28,1.27983,1.28277,1.27126,1.27329
2023-12-29,1.27323,1.27728,1.27006,1.27316
2024-01-02,1.27258,1.27601,1.26109,1.26172
