time,open,high,low,close
2023-08-30,1.35311,1.35504,1.35132,1.3532
2023-08-31,1.35319,1.35581,1.35042,1.3509
2023-09-01,1.35102,1.36128,1.34895,1.35927
2023-09-04,1.35927,1.36048,1.35755,1.35906
2023-09-05,1.35909,1.36697,1.35873,1.36414
2023-09-06,1.36415,1.36769,1.36225,1.36366
2023-09-07,1.36363,1.36947,1.36321,1.36853
2023-09-08,1.3687,1.369,1.36079,1.36403
2023-09-11,1.36339,1.3641,1.35611,1.35733
2023-09-12,1.35734,1.35932,1.35437,1.3553
2023-09-13,1.35529,1.35874,1.35209,1.3549
2023-09-14,1.35489,1.35559,1.34936,1.35082
2023-09-15,1.35081,1.355,1.34942,1.35258
2023-09-18,1.35201,1.35287,1.3472,1.34861
2023-09-19,1.34861,1.34956,1.33796,1.34484
2023-09-20,1.34484,1.34775,1.33956,1.34624
2023-09-21,1.34619,1.35238,1.3455,1.34834
2023-09-22,1.34834,1.34917,1.34238,1.34824
2023-09-25,1.34768,1.3492,1.34531,1.34536
2023-09-26,1.3454,1.35284,1.34491,1.35166
2023-09-27,1.35169,1.35432,1.34952,1.34987
2023-09-28,1.34985,1.35162,1.34707,1.34864
2023-09-29,1.34864,1.35851,1.34171,1.35782
2023-10-02,1.35756,1.36801,1.35618,1.36756
2023-10-03,1.36759,1.37363,1.36608,1.37092
2023-10-04,1.37093,1.37798,1.36903,1.3745
2023-10-05,1.37443,1.37857,1.37034,1.3705
2023-10-06,1.3705,1.3746,1.36441,1.36642
2023-10-09,1.36735,1.36795,1.35812,1.35897
2023-10-10,1.35894,1.36173,1.35695,1.35839
2023-10-11,1.3584,1.36238,1.35715,1.35926
2023-10-12,1.3594,1.37006,1.35785,1.36903
2023-10-13,1.36906,1.36976,1.36367,1.36566
2023-10-16,1.36484,1.36674,1.36064,1.36106
2023-10-17,1.36112,1.37031,1.36066,1.36477
2023-10-18,1.36482,1.37169,1.36172,1.3716
2023-10-19,1.37157,1.37411,1.36793,1.37187
