time,open,high,low,close
2023-08-29,146.514,147.3765,145.6695,145.8775
2023-08-30,145.8825,146.5375,145.56,146.245
2023-08-31,146.2455,146.2675,145.3505,145.538
2023-09-01,145.5415,146.2945,144.444,146.2305
2023-09-04,146.1785,146.4985,146.024,146.4785
2023-09-05,146.4745,147.803,146.398,147.72
2023-09-06,147.7255,147.8185,147.017,147.662
2023-09-07,147.6575,147.875,147.0445,147.295
2023-09-08,147.2965,147.8725,146.5885,147.838
2023-09-11,147.017,147.2775,145.903,146.584
2023-09-12,146.5855,147.2355,146.4385,147.08
2023-09-13,147.078,147.748,147.02,147.46
2023-09-14,147.4595,147.569,147.019,147.47
2023-09-15,147.473,147.952,147.3385,147.844
2023-09-18,147.7375,147.8795,147.5585,147.605
2023-09-19,147.5985,147.9225,147.507,147.855
2023-09-20,147.8495,148.3615,147.4745,148.3425
2023-09-21,148.339,148.4595,147.3215,147.5895
2023-09-22,147.5865,148.428,147.508,148.3805
2023-09-25,148.3095,148.964,148.246,148.888
2023-09-26,148.884,149.187,148.705,149.0645
2023-09-27,149.0635,149.7095,148.8625,149.6335
2023-09-28,149.629,149.636,149.146,149.3085
2023-09-29,149.3095,149.5025,148.5285,149.368
2023-10-02,149.6065,149.879,149.442,149.853
2023-10-03,149.8525,150.162,147.295,149.0105
2023-10-04,149.014,149.3195,148.7355,149.125
2023-10-05,149.122,149.1255,148.26,148.5145
2023-10-06,148.5145,149.537,148.361,149.3375
2023-10-09,149.107,149.2425,148.4365,148.503
2023-10-10,148.5005,149.099,148.1635,148.712
2023-10-11,148.7105,149.325,148.425,149.165
2023-10-12,149.167,149.8295,148.9545,149.8075
2023-10-13,149.804,149.8295,149.454,149.5705
2023-10-16,149.3655,149.766,149.361,149.51
2023-10-17,149.5095,149.8515,148.756,149.815
2023-10-18,149.8175,149.9395,149.4855,149.926
2023-10-19,149.9205,149.9625,149.6665,149.789
2023-10-20,149.792,149.994,149.64,149.8425
2023-10-23,149.862,149.991,149.557,149.7105
2023-10-24,149.7135,149.9325,149.322,149.9125
2023-10-25,149.9105,150.319,149.7955,150.231
2023-10-26,150.2175,150.7785,149.844,150.395
2023-10-27,150.395,150.427,149.461,149.6425
2023-10-30,149.519,149.8555,148.806,149.0945
2023-10-31,149.0955,151.73,149.0275,151.654
2023-11-01,151.648,151.6945,150.6625,150.9535
2023-11-02,150.951,150.9745,149.845,150.44
2023-11-03,150.44,150.5305,149.1905,149.385
2023-11-06,149.3625,150.083,149.3295,150.0715
2023-11-07,150.073,150.694,149.934,150.3585
2023-11-08,150.358,151.059,150.328,150.9745
2023-11-09,150.9735,151.3885,150.7705,151.3485
2023-11-10,151.3515,151.603,151.222,151.524
2023-11-13,151.4865,151.909,151.2055,151.7215
2023-11-14,151.7205,151.784,150.157,150.3755
2023-11-15,150.376,151.4225,150.05,151.3455
2023-11-16,151.3515,151.4315,150.2875,150.724
2023-11-17,150.717,150.7765,149.1985,149.5705
2023-11-20,149.685,149.991,148.1035,148.3805
2023-11-21,148.387,148.597,147.1525,148.393
2023-11-22,148.3955,149.75,148.0205,149.5395
2023-11-23,149.5395,149.693,148.8895,149.5585
2023-11-24,149.545,149.715,149.1985,149.4455
2023-11-27,149.44,149.6775,148.5475,148.6885
2023-11-28,148.687,148.8325,147.324,147.4805
2023-11-29,147.484,147.905,146.673,147.244
2023-11-30,147.244,148.522,146.846,148.196
2023-12-01,148.198,148.3485,146.661,146.81
2023-12-04,146.7185,147.453,146.2265,147.21
2023-12-05,147.2095,147.3895,146.5625,147.1545
2023-12-06,147.156,147.4995,146.896,147.3085
2023-12-07,147.309,147.3195,141.6245,144.1225
2023-12-08,144.124,145.2205,142.4995,144.9455
2023-12-11,144.943,146.591,144.8125,146.167
2023-12-12,146.169,146.2065,144.737,145.4505
2023-12-13,145.452,145.996,142.6355,142.886
2023-12-14,142.886,142.912,140.961,141.899
2023-12-15,141.891,142.4685,141.431,142.1875
2023-12-18,142.0955,143.159,142.0695,142.767
2023-12-19,142.768,144.9575,142.2485,143.8365
2023-12-20,143.833,144.099,143.2635,143.573
2023-12-21,143.571,143.6035,142.046,142.117
2023-12-22,142.1215,142.665,141.8665,142.45
2023-12-25,142.3805,142.5595,142.126,142.42
2023-12-26,142.325,142.635,142.094,142.401
2023-12-27,142.4015,142.8505,141.5515,141.8295
2023-12-28,141.827,141.8365,140.253,141.396
2023-12-29,141.4,141.9155,140.799,141.0305
2024-01-02,140.873,142.218,140.8165,141.987
2024-01-03,141.987,143.7345,141.86,143.295
2024-01-04,143.2935,144.853,142.856,144.6305
2024-01-05,144.636,145.9795,143.8085,144.658
2024-01-08,144.573,144.921,143.664,144.234
2024-01-09,144.237,144.6255,143.423,144.477
2024-01-10,144.4745,145.8325,144.3195,145.758
2024-01-11,145.761,146.417,144.9915,145.284
2024-01-12,145.286,145.569,144.355,144.909
2024-01-15,144.922,145.944,144.836,145.7425
2024-01-16,145.7425,147.3125,145.587,147.184
2024-01-17,147.1865,148.5265,147.068,148.1505
2024-01-18,148.16,148.3025,147.6575,148.158
2024-01-19,148.161,148.8065,147.841,148.1055
2024-01-22,148.277,148.308,147.6185,148.0985
2024-01-23,148.1,148.6975,146.982,148.3355
2024-01-24,148.343,148.4045,146.651,147.506
2024-01-25,147.5085,147.95,147.084,147.662
2024-01-26,147.661,148.2115,147.4045,148.181
2024-01-29,148.13,148.337,147.254,147.504
2024-01-30,147.5055,147.9285,147.099,147.6045
2024-01-31,147.605,147.8995,146.009,146.8965
2024-02-01,146.903,147.1165,145.8985,146.44
2024-02-02,146.443,148.5855,146.2435,148.3575
2024-02-05,148.4275,148.895,148.2695,148.68
2024-02-06,148.681,148.7895,147.8195,147.946
2024-02-07,147.947,148.2605,147.62,148.177
2024-02-08,148.1885,149.4805,147.9335,149.318
2024-02-09,149.317,149.5775,149.0095,149.2845
2024-02-12,149.2795,149.4795,148.928,149.3465
2024-02-13,149.35,150.886,149.24,150.787
2024-02-14,150.789,150.834,150.3455,150.561
2024-02-15,150.572,150.577,149.531,149.9255
2024-02-16,149.925,150.6495,149.8265,150.2065
2024-02-19,150.115,150.2305,149.875,150.1305
2024-02-20,150.1275,150.44,149.686,150.0005
2024-02-21,150.006,150.3945,149.8535,150.307
2024-02-22,150.3075,150.69,150.0175,150.53
2024-02-23,150.5295,150.7695,150.2935,150.506
2024-02-26,150.506,150.84,150.2945,150.7
2024-02-27,150.7005,150.7175,150.076,150.515
2024-02-28,150.512,150.8445,150.3745,150.6905
2024-02-29,150.6945,150.7015,149.2095,149.977
2024-03-01,149.9765,150.724,149.94,150.1125
2024-03-04,149.9995,150.571,149.84,150.528
2024-03-05,150.5305,150.557,149.704,150.045
2024-03-06,150.0445,150.086,149.095,149.366
2024-03-07,149.3805,149.39,147.5855,148.0475
2024-03-08,148.05,148.1195,146.483,147.0625
2024-03-11,147.0425,147.1695,146.486,146.9455
2024-03-12,146.9465,148.177,146.622,147.6825
2024-03-13,147.6795,148.0475,147.2355,147.7545
2024-03-14,147.7605,148.3585,147.435,148.328
2024-03-15,148.3285,149.166,148.0325,149.05
2024-03-18,148.9845,149.331,148.91,149.1525
2024-03-19,149.153,150.965,149.011,150.86
2024-03-20,150.8615,151.8185,150.72,151.2505
2024-03-21,151.259,151.755,150.265,151.6145
2024-03-22,151.6155,151.8655,151.005,151.442
2024-03-25,151.372,151.5465,151.055,151.4145
2024-03-26,151.415,151.605,151.2085,151.5685
2024-03-27,151.5625,151.972,151.0275,151.3215
2024-03-28,151.3275,151.5465,151.1515,151.379
2024-03-29,151.3805,151.4995,151.174,151.3425
2024-04-01,151.296,151.7745,151.224,151.6475
2024-04-02,151.646,151.8035,151.4645,151.5575
2024-04-03,151.5565,151.955,151.443,151.6915
2024-04-04,151.6935,151.7715,151.1225,151.3425
2024-04-05,151.3425,151.752,150.8115,151.629
2024-04-08,151.635,151.9435,151.568,151.8115
2024-04-09,151.8175,151.938,151.5715,151.7645
2024-04-10,151.7625,153.2395,151.6825,153.165
2024-04-11,153.1665,153.32,152.7605,153.2685
2024-04-12,153.2705,153.3855,152.594,153.286
2024-04-15,153.0725,154.4475,152.974,154.2735
2024-04-16,154.2795,154.7865,153.9005,154.717
2024-04-17,154.717,154.736,154.16,154.383
2024-04-18,154.386,154.681,153.96,154.6415
2024-04-19,154.6425,154.6745,153.591,154.6155
2024-04-22,154.602,154.851,154.4335,154.8395
2024-04-23,154.8435,154.8765,154.5525,154.8325
2024-04-24,154.832,155.375,154.732,155.345
2024-04-25,155.344,155.749,155.201,155.6515
2024-04-26,155.6475,158.445,154.969,158.3215
2024-04-29,157.8735,160.222,154.529,156.3465
2024-04-30,156.347,157.8475,156.0615,157.7995
2024-05-01,157.802,157.9875,153.002,154.58
2024-05-02,154.55,156.2865,153.0595,153.6195
2024-05-03,153.679,153.8145,151.8595,153.043
2024-05-06,152.9955,154.0085,152.798,153.9165
2024-05-07,153.914,154.749,153.8605,154.692
2024-05-08,154.687,155.686,154.5485,155.5135
2024-05-09,155.5235,155.952,155.1555,155.4885
2024-05-10,155.482,155.9055,155.2665,155.78
2024-05-13,155.6955,156.25,155.506,156.221
2024-05-14,156.222,156.7875,156.1345,156.421
2024-05-15,156.4205,156.5615,154.6935,154.8825
2024-05-16,154.8815,155.536,153.6,155.389
2024-05-17,155.3905,155.9795,155.248,155.6615
2024-05-20,155.5925,156.304,155.4965,156.2655
2024-05-21,156.262,156.5485,155.845,156.1695
2024-05-22,156.174,156.846,156.103,156.796
2024-05-23,156.7985,157.1975,156.5295,156.9255
2024-05-24,156.925,157.1475,156.823,156.973
2024-05-27,156.963,157.032,156.6655,156.874
2024-05-28,156.867,157.201,156.581,157.168
2024-05-29,157.1685,157.7095,156.897,157.6485
2024-05-30,157.6395,157.6735,156.3725,156.8115
2024-05-31,156.819,157.367,156.56,157.3145
2024-06-03,157.1925,157.4755,155.9505,156.0895
2024-06-04,156.09,156.4875,154.5505,154.883
2024-06-05,154.883,156.4865,154.786,156.105
2024-06-06,156.106,156.4475,155.3565,155.6045
2024-06-07,155.6035,157.078,155.1225,156.7645
2024-06-10,156.7825,157.196,156.675,157.0395
2024-06-11,157.04,157.404,156.8065,157.1175
2024-06-12,157.1175,157.3725,155.7195,156.716
2024-06-13,156.7165,157.313,156.582,157.0255
2024-06-14,157.025,158.2575,156.811,157.418
2024-06-17,157.37,157.962,157.157,157.739
2024-06-18,157.7445,158.2315,157.5185,157.8625
2024-06-19,157.866,158.1325,157.6055,158.0925
2024-06-20,158.0935,158.9445,157.8125,158.925
2024-06-21,158.923,159.8605,158.6705,159.8255
2024-06-24,159.7785,159.93,158.743,159.6335
2024-06-25,159.5825,159.758,159.1895,159.6895
2024-06-26,159.699,160.873,159.612,160.823
2024-06-27,160.819,160.824,160.284,160.7705
2024-06-28,160.764,161.283,160.264,160.853
2024-07-01,160.8475,161.73,160.7415,161.473
2024-07-02,161.4695,161.745,161.269,161.4475
2024-07-03,161.446,161.951,160.7715,161.703
2024-07-04,161.685,161.69,160.9485,161.2785
2024-07-05,161.282,161.3975,160.335,160.78
2024-07-08,160.7465,161.119,160.2635,160.8245
2024-07-09,160.825,161.517,160.7325,161.3155
2024-07-10,161.3185,161.8065,161.2555,161.7005
2024-07-11,161.694,161.76,157.4215,158.843
2024-07-12,158.8625,159.4485,157.362,157.7515
2024-07-15,158.1225,158.423,157.1675,158.08
2024-07-16,158.0535,158.8565,157.9965,158.34
2024-07-17,158.3355,158.6275,156.061,156.199
2024-07-18,156.197,157.4005,155.3715,157.376
2024-07-19,157.374,157.865,156.9565,157.4935
2024-07-22,157.402,157.613,156.287,157.0295
2024-07-23,157.0385,157.104,155.552,155.5885
2024-07-24,155.589,155.992,153.107,153.8895
2024-07-25,153.8915,154.3205,151.943,153.929
2024-07-26,153.931,154.7395,153.099,153.759
2024-07-29,153.7155,154.3555,153.015,154.02
2024-07-30,154.024,155.218,152.649,152.789
2024-07-31,152.769,153.9055,149.61,149.9815
2024-08-01,149.974,150.892,148.512,149.3765
2024-08-02,149.376,149.7785,146.4195,146.5675
2024-08-05,146.511,146.6525,141.6835,144.178
2024-08-06,144.1745,146.374,143.628,144.341
2024-08-07,144.3405,147.9065,144.269,146.684
2024-08-08,146.6825,147.5465,145.4315,147.2725
2024-08-09,147.234,147.822,146.27,146.6675
2024-08-12,146.618,148.225,146.5815,147.207
2024-08-13,147.2065,147.9485,146.5985,146.8335
2024-08-14,146.8325,147.5865,146.074,147.3315
2024-08-15,147.3305,149.398,147.055,149.2815
2024-08-16,149.284,149.356,147.5725,147.6445
2024-08-19,147.581,148.054,145.1875,146.6025
2024-08-20,146.603,147.3465,145.2005,145.2575
2024-08-21,145.258,146.901,144.4545,145.266
2024-08-22,145.2775,146.5285,144.8485,146.2795
2024-08-23,146.28,146.483,144.049,144.4035
2024-08-26,144.2775,144.654,143.4475,144.5275
2024-08-27,144.5255,145.177,143.919,143.9645
2024-08-28,143.967,145.041,143.6845,144.603
2024-08-29,144.6075,145.5565,144.2225,144.977
2024-08-30,144.971,146.249,144.6555,146.1755
2024-09-02,146.084,147.177,145.776,146.9105
2024-09-03,146.913,147.211,145.1245,145.4735
2024-09-04,145.473,145.561,143.7115,143.74
2024-09-05,143.7395,144.2315,142.851,143.4485
2024-09-06,143.444,144.0735,141.77,142.3135
2024-09-09,142.31,143.7985,141.9595,143.185
2024-09-10,143.182,143.713,142.1955,142.4515
2024-09-11,142.4405,142.549,140.7115,142.3605
2024-09-12,142.3595,143.0455,141.726,141.8165
2024-09-13,141.8195,141.888,140.2845,140.8275
2024-09-16,140.7675,140.942,139.5795,140.615
2024-09-17,140.614,142.4675,140.3225,142.4065
2024-09-18,142.409,142.7165,140.4405,142.2875
2024-09-19,142.288,143.947,141.884,142.6275
2024-09-20,142.625,144.4975,141.7395,143.8575
2024-09-23,143.9245,144.4625,143.1665,143.6145
2024-09-24,143.6135,144.6815,143.1135,143.2275
2024-09-25,143.2255,144.8435,142.8925,144.7545
2024-09-26,144.755,145.2165,144.1115,144.8185
2024-09-27,144.814,146.4955,142.0695,142.1995
2024-09-30,142.2905,143.9185,141.646,143.636
2024-10-01,143.6335,144.5315,142.9715,143.568
2024-10-02,143.565,146.5195,143.425,146.4675
2024-10-03,146.4665,147.243,146.286,146.933
2024-10-04,146.9335,149.0055,145.9205,148.6985
2024-10-07,148.699,149.1345,147.8365,148.1855
2024-10-08,148.187,148.3825,147.3455,148.198
2024-10-09,148.1975,149.366,148.0125,149.2965
2024-10-10,149.3025,149.5655,148.2525,148.573
2024-10-11,148.5735,149.285,148.404,149.131
2024-10-14,149.0745,149.982,149.045,149.761
2024-10-15,149.765,149.8785,148.8505,149.201
2024-10-16,149.2,149.8085,148.8625,149.634
2024-10-17,149.635,150.3225,149.2415,150.215
2024-10-18,150.2165,150.2855,149.366,149.536
2024-10-21,149.48,150.887,149.0885,150.8395
2024-10-22,150.84,151.1975,150.4975,151.0795
2024-10-23,151.079,153.188,151.005,152.7575
2024-10-24,152.7605,152.834,151.555,151.8255
2024-10-25,151.825,152.3805,151.454,152.2915
2024-10-28,153.2395,153.8835,152.4095,153.288
2024-10-29,153.2885,153.8675,152.7565,153.36
2024-10-30,153.359,153.495,152.781,153.412
2024-10-31,153.414,153.621,151.8365,152.0345
2024-11-01,152.035,153.0945,151.791,152.993
2024-11-04,152.3015,152.5715,151.535,152.139
2024-11-05,152.1335,152.546,151.3375,151.6295
2024-11-06,151.6285,154.7,151.29,154.632
2024-11-07,154.627,154.7135,152.694,152.9405
2024-11-08,152.938,153.37,152.143,152.6295
2024-11-11,152.6995,153.955,152.648,153.716
2024-11-12,153.72,154.926,153.407,154.6155
2024-11-13,154.62,155.6255,154.342,155.4685
2024-11-14,155.4575,156.419,155.337,156.2675
2024-11-15,156.269,156.751,153.8625,154.316
2024-11-18,154.415,155.3585,153.841,154.663
2024-11-19,154.6675,154.7995,153.283,154.6625
2024-11-20,154.663,155.888,154.53,155.4315
2024-11-21,155.416,155.4715,153.9095,154.5375
2024-11-22,154.539,155.026,153.968,154.7625
2024-11-25,154.1845,154.7245,153.551,154.2285
2024-11-26,154.2265,154.4935,152.988,153.0875
2024-11-27,153.0775,153.234,150.456,151.09
2024-11-28,151.092,151.9505,150.9125,151.543
2024-11-29,151.5415,151.557,149.4675,149.7785
2024-12-02,149.665,150.7495,149.08,149.5975
2024-12-03,149.6015,150.238,148.647,149.604
2024-12-04,149.6085,151.2305,149.524,150.5885
2024-12-05,150.579,150.7785,149.6565,150.102
2024-12-06,150.1,150.7,149.364,150.0295
2024-12-09,149.9705,151.349,149.693,151.2155
2024-12-10,151.215,152.183,150.8975,151.9445
2024-12-11,151.943,152.863,151.008,152.44
2024-12-12,152.4425,152.7745,151.8025,152.6255
2024-12-13,152.6235,153.8005,152.456,153.7055
2024-12-16,153.6325,154.479,153.327,154.153
2024-12-17,154.1405,154.3465,153.1625,153.505
2024-12-18,153.411,154.872,153.3365,154.825
2024-12-19,154.777,157.808,154.438,157.4455
2024-12-20,157.4445,157.929,155.9545,156.4545
2024-12-23,156.3885,157.27,156.3275,157.1755
2024-12-24,157.127,157.3965,156.8915,157.21
2024-12-25,157.15,157.377,156.979,157.172
2024-12-26,157.295,158.0865,157.075,157.9835
2024-12-27,157.9825,157.9825,157.3535,157.8225
2024-12-30,157.7415,158.075,156.6725,156.838
2024-12-31,156.8345,157.5495,156.023,157.1975
2025-01-02,157.227,157.852,156.44,157.496
2025-01-03,157.5045,157.566,156.873,157.305
2025-01-06,157.2145,157.9625,156.243,157.59
2025-01-07,157.578,158.4265,157.3665,158.0475
2025-01-08,158.0485,158.5515,157.903,158.3505
2025-01-09,158.3495,158.4005,157.577,158.1375
2025-01-10,158.1085,158.882,157.2255,157.698
2025-01-13,157.765,157.9685,156.9145,157.4765
2025-01-14,157.4755,158.1975,157.0545,157.9515
2025-01-15,157.9445,158.086,155.939,156.464
2025-01-16,156.457,156.5305,155.1015,155.1695
2025-01-17,155.1885,156.375,154.981,156.3
2025-01-20,156.2635,156.585,155.417,155.6355
2025-01-21,155.565,156.246,154.7755,155.512
2025-01-22,155.5055,156.709,155.3545,156.522
2025-01-23,156.477,156.7535,155.745,156.049
2025-01-24,156.049,156.5775,154.8425,155.951
2025-01-27,155.734,156.2485,153.714,154.5055
2025-01-28,154.5095,155.9795,154.4765,155.5375
2025-01-29,155.557,155.7905,154.941,155.224
2025-01-30,155.2215,155.257,153.791,154.295
2025-01-31,154.2935,155.2375,153.916,155.222
2025-02-03,154.8195,155.8865,154.008,154.7375
2025-02-04,154.7315,155.523,154.174,154.341
2025-02-05,154.34,154.463,152.114,152.6215
2025-02-06,152.6255,152.8985,151.2385,151.38
2025-02-07,151.4015,152.425,150.931,151.4075
2025-02-10,151.251,152.539,151.1995,151.996
2025-02-11,151.9975,152.607,151.6505,152.4925
2025-02-12,152.436,154.8035,152.382,154.415
2025-02-13,154.418,154.6685,152.702,152.8
2025-02-14,152.797,153.1535,152.026,152.285
2025-02-17,152.255,152.4035,151.3395,151.5075
2025-02-18,151.5095,152.223,151.235,152.0625
2025-02-19,152.064,152.312,151.2445,151.4745
2025-02-20,151.466,151.488,149.3985,149.6645
2025-02-21,149.692,150.7365,148.925,149.303
2025-02-24,149.2415,149.874,148.8455,149.7265
2025-02-25,149.727,150.301,148.5645,149.0375
2025-02-26,149.0385,149.888,148.6225,149.093
2025-02-27,149.0905,150.164,148.747,149.8115
2025-02-28,149.816,150.9905,149.1015,150.598
2025-03-03,150.72,151.303,149.1005,149.5025
2025-03-04,149.504,149.8785,148.0985,149.8115
2025-03-05,149.755,150.187,148.397,148.887
2025-03-06,148.8875,149.3335,147.3125,147.982
2025-03-07,147.9825,148.2015,146.948,148.0705
2025-03-10,147.9745,147.9935,146.6315,147.27
2025-03-11,147.2705,148.121,146.542,147.781
2025-03-12,147.777,149.196,147.624,148.243
