time,open,high,low,close
2012-01-02,1.02085,1.02145,1.01761,1.01884
2012-01-03,1.01886,1.02018,1.00765,1.01044
2012-01-04,1.0104,1.01622,1.01033,1.01272
2012-01-05,1.01275,1.02258,1.01212,1.01978
2012-01-06,1.01979,1.02865,1.01703,1.02831
2012-01-09,1.02807,1.03193,1.02253,1.0234
2012-01-10,1.02339,1.02412,1.01547,1.01555
2012-01-11,1.01553,1.02104,1.014,1.01955
2012-01-12,1.01958,1.02113,1.01405,1.01911
2012-01-13,1.01914,1.02837,1.01635,1.02316
2012-01-16,1.0247,1.02531,1.0165,1.01792
2012-01-17,1.01793,1.01891,1.01127,1.01517
2012-01-18,1.01519,1.01777,1.01112,1.01116
2012-01-19,1.0112,1.01282,1.00711,1.0107
2012-01-20,1.01072,1.0161,1.0107,1.0132
2012-01-23,1.01455,1.01617,1.00526,1.00845
2012-01-24,1.00849,1.01412,1.00718,1.00893
2012-01-25,1.00894,1.0148,1.00285,1.00429
2012-01-26,1.00428,1.00489,0.99816,1.00167
2012-01-27,1.00171,1.00413,0.99882,1.00146
2012-01-30,1.00152,1.00704,1.00113,1.00147
2012-01-31,1.00152,1.00538,0.99654,1.00258
2012-02-01,1.00257,1.00486,0.99639,0.99863
2012-02-02,0.99869,1.00105,0.99684,0.99927
2012-02-03,0.99925,1.00334,0.99282,0.99343
2012-02-06,0.99476,0.99938,0.99287,0.99591
2012-02-07,0.99598,0.99953,0.99411,0.99453
2012-02-08,0.99448,0.99904,0.99351,0.99595
2012-02-09,0.99596,0.99804,0.99252,0.99477
2012-02-10,0.99483,1.00389,0.99449,1.00125
2012-02-13,1.00115,1.00168,0.99721,0.99972
2012-02-14,0.99974,1.0027,0.99789,0.99907
2012-02-15,0.99908,1.00041,0.99386,0.99999
2012-02-16,1.00001,1.00516,0.99535,0.99662
2012-02-17,0.9966,0.99845,0.99413,0.99689
2012-02-20,0.9931,0.99428,0.99069,0.99353
2012-02-21,0.99358,0.99762,0.99245,0.99689
2012-02-22,0.99687,1.00199,0.99547,0.99982
2012-02-23,0.99984,1.00106,0.99535,0.99745
2012-02-24,0.99741,1.00035,0.99665,0.99928
2012-02-27,0.99878,1.00496,0.99766,0.99889
2012-02-28,0.9989,0.99933,0.99416,0.99534
2012-02-29,0.99537,0.9958,0.9844,0.98993
2012-03-01,0.98991,0.99033,0.98423,0.98558
2012-03-02,0.98544,0.98972,0.98487,0.98931
2012-03-05,0.98922,0.996,0.98853,0.99455
2012-03-06,0.99452,1.00284,0.99371,1.00194
2012-03-07,1.00195,1.00253,0.99743,0.99746
2012-03-08,0.99747,0.99909,0.98935,0.99028
2012-03-09,0.99028,0.99374,0.98728,0.99056
2012-03-12,0.99142,0.99474,0.98988,0.9924
2012-03-13,0.99241,0.99316,0.98855,0.98862
2012-03-14,0.98864,0.99449,0.98803,0.99262
2012-03-15,0.99265,0.9949,0.9906,0.99175
2012-03-16,0.99176,0.99411,0.99009,0.99174
2012-03-19,0.9912,0.99307,0.98608,0.98691
2012-03-20,0.98693,0.99691,0.98632,0.99151
2012-03-21,0.99145,0.99355,0.98747,0.99223
2012-03-22,0.99225,1.00084,0.99121,0.99931
2012-03-23,0.99931,1.00346,0.99711,0.99787
2012-03-26,0.99825,0.99994,0.9906,0.99069
2012-03-27,0.99075,0.99566,0.99007,0.99486
2012-03-28,0.99491,1.00004,0.99467,0.99833
2012-03-29,0.99835,1.00188,0.99626,0.99646
2012-03-30,0.99649,0.9999,0.9953,0.9984
2012-04-02,0.99593,0.99906,0.98886,0.99052
2012-04-03,0.9905,0.99289,0.98884,0.9911
2012-04-04,0.99113,0.99738,0.99012,0.99629
2012-04-05,0.99627,0.99982,0.99073,0.99313
2012-04-06,0.99314,0.99862,0.99168,0.99717
2012-04-09,0.99725,1.00019,0.99448,0.99763
2012-04-10,0.99761,1.00455,0.99506,1.00445
2012-04-11,1.0045,1.00527,1.00087,1.00385
2012-04-12,1.00386,1.00441,0.99406,0.9943
2012-04-13,0.99432,0.99967,0.9927,0.99965
2012-04-16,0.99933,1.00328,0.99738,0.99937
2012-04-17,0.99936,1.00117,0.98652,0.99025
2012-04-18,0.99028,0.9924,0.98823,0.99121
2012-04-19,0.99123,0.99639,0.98802,0.99561
2012-04-20,0.99568,0.99594,0.98973,0.99229
2012-04-23,0.99223,0.99789,0.99057,0.99122
2012-04-24,0.99124,0.99294,0.98703,0.98705
2012-04-25,0.98706,0.98805,0.98235,0.98328
2012-04-26,0.98333,0.98473,0.98066,0.98439
2012-04-27,0.98437,0.98703,0.98001,0.98052
2012-04-30,0.98105,0.98946,0.98006,0.98724
2012-05-01,0.98723,0.98979,0.98329,0.98576
2012-05-02,0.98537,0.9904,0.98496,0.98628
2012-05-03,0.9863,0.98925,0.98284,0.98825
2012-05-04,0.98834,0.99634,0.98618,0.99601
2012-05-07,0.99586,0.99876,0.99267,0.99315
2012-05-08,0.99314,1.00227,0.99238,0.99865
2012-05-09,0.99866,1.00628,0.99835,1.00265
2012-05-10,1.00255,1.00313,0.99771,1.00209
2012-05-11,1.0021,1.00548,0.99541,1.00065
2012-05-14,1.0002,1.00528,0.99924,1.00377
2012-05-15,1.00378,1.00737,0.99901,1.00724
2012-05-16,1.00725,1.01325,1.00541,1.01221
2012-05-17,1.01224,1.01963,1.0105,1.01958
2012-05-18,1.01957,1.02275,1.01389,1.02216
2012-05-21,1.02197,1.02466,1.01652,1.0175
2012-05-22,1.01755,1.02348,1.01523,1.02059
2012-05-23,1.02064,1.02963,1.02041,1.02523
2012-05-24,1.02523,1.02961,1.02263,1.02696
2012-05-25,1.02694,1.03121,1.02473,1.02932
2012-05-28,1.0265,1.02721,1.02236,1.02385
2012-05-29,1.02389,1.02702,1.02072,1.02219
2012-05-30,1.02215,1.03113,1.02177,1.03013
