time,open,high,low,close
2020-01-02,108.758,108.865,108.212,108.5715
2020-01-03,108.566,108.631,107.841,108.099
2020-01-06,107.8705,108.507,107.7725,108.3705
2020-01-07,108.3695,108.63,108.262,108.45
2020-01-08,108.4485,109.2445,107.652,109.112
2020-01-09,109.124,109.5825,109.0135,109.5205
2020-01-10,109.5195,109.69,109.433,109.4665
2020-01-13,109.5485,109.947,109.5085,109.9455
2020-01-14,109.944,110.214,109.854,109.99
2020-01-15,109.9855,110.0145,109.7885,109.8995
2020-01-16,109.895,110.179,109.8545,110.1645
2020-01-17,110.138,110.291,110.0485,110.1505
2020-01-20,110.092,110.218,110.085,110.183
2020-01-21,110.184,110.2235,109.762,109.866
2020-01-22,109.865,110.0985,109.8315,109.84
2020-01-23,109.8375,109.8685,109.2675,109.49
2020-01-24,109.4925,109.6535,109.173,109.2805
2020-01-27,108.9225,109.1375,108.7325,108.893
2020-01-28,108.8935,109.204,108.757,109.147
2020-01-29,109.1465,109.267,108.9765,109.015
2020-01-30,109.0145,109.0945,108.5845,108.965
2020-01-31,108.965,109.1365,108.3115,108.352
2020-02-03,108.4515,108.799,108.3175,108.691
2020-02-04,108.6945,109.5445,108.5495,109.522
2020-02-05,109.5215,109.8465,109.304,109.824
2020-02-06,109.824,110.0045,109.73,109.9915
2020-02-07,109.991,110.025,109.533,109.734
2020-02-10,109.697,109.8785,109.5625,109.7765
2020-02-11,109.771,109.963,109.727,109.7875
2020-02-12,109.7845,110.1355,109.7665,110.0995
2020-02-13,110.099,110.106,109.62,109.822
2020-02-14,109.8,109.913,109.699,109.7625
2020-02-17,109.861,109.9615,109.72,109.883
2020-02-18,109.8805,109.9475,109.658,109.8715
2020-02-19,109.8725,111.593,109.85,111.375
2020-02-20,111.372,112.225,111.112,112.095
2020-02-21,112.095,112.1865,111.4725,111.5505
2020-02-24,111.271,111.683,110.333,110.72
2020-02-25,110.7095,111.0425,109.891,110.203
2020-02-26,110.203,110.7025,110.131,110.424
2020-02-27,110.425,110.458,109.5695,109.5945
2020-02-28,109.5925,109.6815,107.511,108.039
2020-03-02,107.447,108.5795,107.3765,108.335
2020-03-03,108.334,108.5375,106.9335,107.1175
2020-03-04,107.117,107.6905,106.848,107.5315
2020-03-05,107.5325,107.7435,105.971,106.158
2020-03-06,106.157,106.3435,104.9945,105.3385
2020-03-09,104.2415,104.6005,101.182,102.3705
2020-03-10,102.37,105.921,102.0075,105.6425
2020-03-11,105.644,105.666,104.0965,104.5335
2020-03-12,104.537,106.1045,103.0855,104.642
2020-03-13,104.641,108.503,104.5075,107.9655
2020-03-16,107.1065,107.5735,105.1485,105.877
2020-03-17,105.9545,107.863,105.8595,107.693
2020-03-18,107.695,108.656,106.755,108.0775
2020-03-19,108.076,110.9555,107.8515,110.716
2020-03-20,110.717,111.5055,109.3335,110.776
2020-03-23,110.795,111.5975,109.67,111.2365
2020-03-24,111.23,111.715,110.0855,111.2285
2020-03-25,111.2275,111.6815,110.7535,111.21
2020-03-26,111.2065,111.333,109.208,109.5865
2020-03-27,109.5735,109.7275,107.759,107.9545
2020-03-30,107.719,108.296,107.1235,107.7615
2020-03-31,107.759,108.7285,107.462,107.554
2020-04-01,107.565,107.943,106.919,107.1595
2020-04-02,107.161,108.0975,107.017,107.8845
2020-04-03,107.885,108.6785,107.801,108.5475
2020-04-06,108.377,109.3825,108.366,109.2185
2020-04-07,109.219,109.28,108.6725,108.757
2020-04-08,108.754,109.103,108.505,108.8305
2020-04-09,108.83,109.0635,108.2085,108.479
2020-04-10,108.478,108.5965,108.3295,108.4325
2020-04-13,108.4175,108.53,107.501,107.7715
2020-04-14,107.773,107.782,106.9815,107.215
2020-04-15,107.2135,107.871,106.9275,107.437
2020-04-16,107.436,108.084,107.1645,107.926
2020-04-17,107.9255,108.0855,107.301,107.5575
2020-04-20,107.54,107.95,107.4625,107.616
2020-04-21,107.619,107.8935,107.282,107.7935
2020-04-22,107.795,107.939,107.516,107.7535
2020-04-23,107.751,108.0445,107.3475,107.5825
2020-04-24,107.588,107.761,107.3705,107.5155
2020-04-27,107.5675,107.6245,106.9945,107.281
2020-04-28,107.285,107.34,106.5605,106.867
2020-04-29,106.8665,106.8965,106.359,106.6945
2020-04-30,106.696,107.5005,106.407,107.1675
2020-05-01,107.168,107.4075,106.6065,106.908
2020-05-04,106.88,107.0705,106.636,106.7275
2020-05-05,106.744,106.8955,106.4175,106.5505
2020-05-06,106.532,106.635,105.9875,106.1075
2020-05-07,106.124,106.6565,105.993,106.277
2020-05-08,106.2805,106.75,106.2215,106.667
2020-05-11,106.5735,107.769,106.5235,107.668
2020-05-12,107.678,107.7025,107.1225,107.1355
2020-05-13,107.13,107.278,106.744,107.033
2020-05-14,107.0335,107.3665,106.7765,107.256
2020-05-15,107.258,107.435,106.8565,107.0545
2020-05-18,107.0915,107.5065,107.0695,107.3525
2020-05-19,107.352,108.0885,107.284,107.7075
2020-05-20,107.704,107.985,107.337,107.5305
2020-05-21,107.5185,107.849,107.5075,107.6075
2020-05-22,107.6065,107.7635,107.3235,107.624
2020-05-25,107.605,107.782,107.556,107.7125
2020-05-26,107.7105,107.9235,107.4025,107.541
2020-05-27,107.5405,107.948,107.3665,107.7255
2020-05-28,107.723,107.9025,107.5715,107.6395
2020-05-29,107.644,107.8975,107.08,107.834
2020-06-01,107.6895,107.8575,107.378,107.588
2020-06-02,107.59,108.7725,107.514,108.675
2020-06-03,108.677,108.983,108.423,108.904
2020-06-04,108.9005,109.1975,108.6165,109.1435
2020-06-05,109.1285,109.85,109.046,109.5895
2020-06-08,109.5965,109.6945,108.235,108.43
2020-06-09,108.435,108.544,107.622,107.7565
2020-06-10,107.758,107.875,106.99,107.122
2020-06-11,107.122,107.2355,106.5725,106.8645
2020-06-12,106.8635,107.554,106.5855,107.392
2020-06-15,107.3515,107.5715,107.0005,107.337
2020-06-16,107.3365,107.641,107.2125,107.321
2020-06-17,107.3235,107.4425,106.9535,107.005
2020-06-18,107.0045,107.1295,106.669,106.983
2020-06-19,106.982,107.0585,106.7675,106.8725
2020-06-22,106.792,107.012,106.7575,106.9075
2020-06-23,106.9085,107.222,106.073,106.5215
2020-06-24,106.5215,107.0715,106.3845,107.0445
2020-06-25,107.045,107.452,106.9655,107.1975
2020-06-26,107.197,107.3595,106.8,107.229
2020-06-29,107.124,107.885,107.041,107.576
2020-06-30,107.5745,107.9835,107.5225,107.927
2020-07-01,107.928,108.165,107.363,107.471
2020-07-02,107.4705,107.7245,107.3325,107.501
2020-07-03,107.502,107.568,107.4365,107.511
2020-07-06,107.5105,107.773,107.2575,107.35
2020-07-07,107.355,107.791,107.2465,107.519
2020-07-08,107.5725,107.712,107.2025,107.258
2020-07-09,107.258,107.3975,107.0985,107.2025
2020-07-10,107.2045,107.265,106.639,106.9265
2020-07-13,106.9075,107.3185,106.788,107.294
2020-07-14,107.2945,107.4365,107.1195,107.236
2020-07-15,107.2355,107.31,106.667,106.936
2020-07-16,106.9375,107.4005,106.8335,107.251
2020-07-17,107.26,107.362,106.9405,107.0285
2020-07-20,107.098,107.541,107.016,107.261
2020-07-21,107.263,107.367,106.682,106.7985
2020-07-22,106.8,107.2895,106.7115,107.1555
2020-07-23,107.1565,107.2305,106.7115,106.8615
2020-07-24,106.8605,106.9065,105.6825,106.131
2020-07-27,106.0525,106.113,105.117,105.3725
2020-07-28,105.372,105.687,104.957,105.093
2020-07-29,105.1,105.243,104.7735,104.92
2020-07-30,104.921,105.2955,104.68,104.7295
2020-07-31,104.713,106.0565,104.1875,105.866
2020-08-03,105.7955,106.473,105.5815,105.95
2020-08-04,105.951,106.195,105.6385,105.716
2020-08-05,105.716,105.8735,105.32,105.599
2020-08-06,105.5975,105.698,105.3015,105.551
2020-08-07,105.552,106.056,105.481,105.9235
2020-08-10,105.886,106.2025,105.709,105.9625
2020-08-11,105.9615,106.685,105.921,106.487
2020-08-12,106.4905,107.0155,106.4415,106.916
2020-08-13,106.907,107.0505,106.566,106.9285
2020-08-14,106.9305,107.04,106.437,106.5975
2020-08-17,106.6125,106.6765,105.9435,106.004
2020-08-18,106.0025,106.0575,105.2835,105.407
2020-08-19,105.4065,106.153,105.103,106.1105
2020-08-20,106.1085,106.217,105.7455,105.804
2020-08-21,105.7865,106.0725,105.4415,105.7995
2020-08-24,105.7745,105.9985,105.689,105.9755
2020-08-25,105.977,106.578,105.8725,106.3895
2020-08-26,106.3825,106.5575,105.9565,105.986
2020-08-27,105.991,106.7025,105.603,106.563
2020-08-28,106.566,106.9475,105.2015,105.3505
2020-08-31,105.452,106.0975,105.294,105.905
2020-09-01,105.9055,106.154,105.5925,105.954
2020-09-02,105.9595,106.303,105.851,106.186
2020-09-03,106.1865,106.553,106.0025,106.189
2020-09-04,106.19,106.5055,106.0565,106.2375
2020-09-07,106.257,106.387,106.1335,106.2575
2020-09-08,106.2545,106.383,105.8625,106.032
2020-09-09,106.028,106.274,105.791,106.179
2020-09-10,106.1815,106.3045,105.9825,106.129
2020-09-11,106.1325,106.2655,106.057,106.1565
2020-09-14,106.129,106.1665,105.549,105.725
2020-09-15,105.7275,105.8155,105.301,105.443
2020-09-16,105.4425,105.4475,104.8015,104.9495
2020-09-17,104.95,105.1745,104.526,104.742
2020-09-18,104.7435,104.8715,104.273,104.5725
2020-09-21,104.545,104.895,104.001,104.649
2020-09-22,104.648,105.078,104.406,104.9305
2020-09-23,104.9295,105.4955,104.8665,105.3945
2020-09-24,105.3975,105.5325,105.206,105.4185
2020-09-25,105.418,105.701,105.24,105.5985
2020-09-28,105.5175,105.6955,105.264,105.498
2020-09-29,105.5005,105.7355,105.342,105.657
2020-09-30,105.656,105.805,105.4035,105.454
2020-10-01,105.543,105.7285,105.4035,105.5275
2020-10-02,105.525,105.667,104.944,105.304
2020-10-05,105.3345,105.7955,105.2785,105.75
2020-10-06,105.7515,105.786,105.4705,105.6425
2020-10-07,105.6375,106.1085,105.6025,105.9775
2020-10-08,105.972,106.1075,105.9245,106.0295
2020-10-09,106.03,106.043,105.5805,105.618
2020-10-12,105.769,105.8265,105.2425,105.345
2020-10-13,105.346,105.6285,105.283,105.474
2020-10-14,105.4745,105.5255,105.0365,105.172
2020-10-15,105.1715,105.4945,105.0855,105.4285
2020-10-16,105.435,105.463,105.191,105.396
2020-10-19,105.3905,105.504,105.302,105.4415
2020-10-20,105.4365,105.748,105.3495,105.4985
2020-10-21,105.5025,105.525,104.342,104.594
2020-10-22,104.596,104.9235,104.4765,104.868
2020-10-23,104.865,104.938,104.5475,104.707
2020-10-26,104.705,105.055,104.6555,104.8375
2020-10-27,104.838,104.891,104.389,104.416
2020-10-28,104.413,104.557,104.114,104.3215
2020-10-29,104.31,104.729,104.0255,104.608
2020-10-30,104.609,104.7435,104.1255,104.657
2020-11-02,104.538,104.949,104.534,104.752
2020-11-03,104.7545,104.8155,104.433,104.476
